Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Molecular Weight	Chromosome	PFam ID	Protein Length	Ortholog count	Paralog count	PFam Description	CDD ID	Gene3D ID	Hamap ID	NCBIfam ID	PANTHER ID	PRINTS ID	SFLD ID	CDD Description	Gene3D Description	Hamap Description	NCBIfam Description	PANTHER Description	PRINTS Description	SFLD Description	PirSF ID	PirSF Description	Prositefamilies ID	Prositefamilies Description	Smart ID	Smart Description	Superfamily ID	Superfamily Description	InterPro ID	InterPro Description	Computed GO Component IDs	Computed GO Components	Computed GO Function IDs	Computed GO Functions	Computed GO Process IDs	Computed GO Processes	Curated GO Component IDs	Curated GO Components	Curated GO Function IDs	Curated GO Functions	Curated GO Process IDs	Curated GO Processes	EC numbers	EC numbers from OrthoMCL
B9J08_000011	B9J08_000011-t37_1	Candida auris strain B8441	PEKT02000001:26,758..30,399(+)	Autophagy protein ATG17-like domain | Autophagy-related protein 11 | domain-containing protein	139229	Not Assigned	PF04108, PF10377	1213	320	0	Autophagy-related protein 11	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	IPR019460, IPR045326	Autophagy-related protein 11	GO:0019898;GO:0019898;GO:0000407;GO:0000407;GO:0034045;GO:0005774	extrinsic component of membrane;extrinsic component of membrane;phagophore assembly site;phagophore assembly site;phagophore assembly site membrane;vacuolar membrane	GO:0060090;GO:0060090;GO:0000149;GO:0000149	molecular adaptor activity;molecular adaptor activity;SNARE binding;SNARE binding	GO:0000045;GO:0000045;GO:0006914;GO:0006914;GO:0000422;GO:0000422;GO:0030242;GO:0030242;GO:0032258;GO:0032258;GO:0034727;GO:0034727;GO:2000786;GO:2000786;GO:0034497;GO:0034497;GO:0015031;GO:0140255;GO:0140255;GO:0061709;GO:0061709	autophagosome assembly;autophagosome assembly;autophagy;autophagy;autophagy of mitochondrion;autophagy of mitochondrion;autophagy of peroxisome;autophagy of peroxisome;cytoplasm to vacuole targeting by the Cvt pathway;cytoplasm to vacuole targeting by the Cvt pathway;piecemeal microautophagy of the 	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_000012	B9J08_000012-t37_1	Candida auris strain B8441	PEKT02000001:30,414..31,385(-)	ribose-phosphate pyrophosphokinase 4	35535	Not Assigned	PF13793, PF14572	323	1727	3	Phosphoribosyl synthetase-associated domain	cd06223	G3DSA:3.40.50.2020	N/A	NF002320, TIGR01251	N/A	N/A	N/A	PRTases_typeI	-	N/A	ribose-phosphate diphosphokinase	N/A	N/A	N/A	N/A	N/A	N/A	N/A	SM01400	Pribosyltran_N_2	SSF53271	PRTase-like	-, IPR000836, IPR005946, IPR029057, IPR029099	Ribose-phosphate pyrophosphokinase 1	GO:0002189;GO:0002189	ribose phosphate diphosphokinase complex;ribose phosphate diphosphokinase complex	GO:0005524;GO:0016301;GO:0000287;GO:0000287;GO:0000287;GO:0004749;GO:0004749;GO:0004749	ATP binding;kinase activity;magnesium ion binding;magnesium ion binding;magnesium ion binding;ribose phosphate diphosphokinase activity;ribose phosphate diphosphokinase activity;ribose phosphate diphosphokinase activity	GO:0006015;GO:0006015;GO:0031505;GO:0031505;GO:0009116;GO:0009116;GO:0009165;GO:0009165;GO:0009165;GO:0009156	5-phosphoribose 1-diphosphate biosynthetic process;5-phosphoribose 1-diphosphate biosynthetic process;fungal-type cell wall organization;fungal-type cell wall organization;nucleoside metabolic process;nucleoside metabolic process;nucleotide biosynthetic process;nucleotide biosynthetic process;nucleo	N/A	N/A	N/A	N/A	N/A	N/A	2.7.6.1 (ribose-phosphate diphosphokinase)	N/A
B9J08_000013	B9J08_000013-t37_1	Candida auris strain B8441	PEKT02000001:31,682..33,448(-)	dihydroxy-acid dehydratase, mitochondrial	63036	Not Assigned	PF00920, PF24877	588	846	0	Dihydroxy-acid/6-phosphogluconate dehydratase N-terminal	N/A	G3DSA:3.50.30.80	MF_00012	NF002068, TIGR00110	N/A	N/A	N/A	N/A	-	Dihydroxy-acid dehydratase [ilvD].	dihydroxy-acid dehydratase	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	SSF143975, SSF52016	LeuD/IlvD-like	-, IPR000581, IPR004404, IPR037237, IPR042096, IPR056740	LeuD/IlvD-like	N/A	N/A	GO:0051539;GO:0003824;GO:0004160;GO:0004160;GO:0004160;GO:0046872	4 iron, 4 sulfur cluster binding;catalytic activity;dihydroxy-acid dehydratase activity;dihydroxy-acid dehydratase activity;dihydroxy-acid dehydratase activity;metal ion binding	GO:0009082;GO:0009082;GO:0009082	branched-chain amino acid biosynthetic process;branched-chain amino acid biosynthetic process;branched-chain amino acid biosynthetic process	N/A	N/A	N/A	N/A	N/A	N/A	4.2.1.9 (dihydroxy-acid dehydratase)	N/A
B9J08_000014	B9J08_000014-t37_1	Candida auris strain B8441	PEKT02000001:35,455..37,227(+)	hypothetical protein	70191	Not Assigned	N/A	590	21	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_000015	B9J08_000015-t37_1	Candida auris strain B8441	PEKT02000001:37,837..39,132(+)	homocitrate synthase, mitochondrial	47526	Not Assigned	PF00682, PF22617	431	372	1	Homocitrate synthase post-HMGL domain-like	cd07948	G3DSA:1.10.238.260, G3DSA:3.20.20.70	MF_02222	TIGR02146	N/A	N/A	N/A	DRE_TIM_HCS	Aldolase class I	Homocitrate synthase.	homocitrate synthase	N/A	N/A	N/A	N/A	N/A	PS50991	Pyruvate carboxyltransferase domain.	N/A	N/A	SSF51569	Aldolase	-, IPR000891, IPR011872, IPR013785, IPR048253, IPR054691	Pyruvate carboxyltransferase domain.	GO:0005634;GO:0005634	nucleus;nucleus	GO:0046912;GO:0003824;GO:0004410;GO:0004410;GO:0004410	acyltransferase activity, acyl groups converted into alkyl on transfer;catalytic activity;homocitrate synthase activity;homocitrate synthase activity;homocitrate synthase activity	GO:0019752;GO:0009085;GO:0009085;GO:0019878;GO:0019878;GO:0019878	carboxylic acid metabolic process;lysine biosynthetic process;lysine biosynthetic process;lysine biosynthetic process via aminoadipic acid;lysine biosynthetic process via aminoadipic acid;lysine biosynthetic process via aminoadipic acid	N/A	N/A	N/A	N/A	N/A	N/A	2.3.3.13 (2-isopropylmalate synthase);2.3.3.14 (homocitrate synthase)	N/A
B9J08_000016	B9J08_000016-t37_1	Candida auris strain B8441	PEKT02000001:39,735..42,545(-)	EXS family | SPX domain | domain-containing protein	108695	Not Assigned	PF03105, PF03124	936	1266	1	SPX domain	cd14475	N/A	N/A	N/A	N/A	N/A	N/A	SPX_SYG1_like	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	PS51380, PS51382	SPX domain profile.	N/A	N/A	N/A	N/A	-, IPR004331, IPR004342	SPX_SYG1_like	GO:0016020;GO:0005886;GO:0005886	membrane;plasma membrane;plasma membrane	N/A	N/A	GO:0007165;GO:0007165	signal transduction;signal transduction	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_000017	B9J08_000017-t37_1	Candida auris strain B8441	PEKT02000001:42,709..44,604(-)	Alpha/beta hydrolase family | Dual specificity phosphatase, catalytic domain | domain-containing protein	71698	Not Assigned	PF00782, PF12697	631	1186	1	Dual specificity phosphatase, catalytic domain	cd14502	G3DSA:3.40.50.1820, G3DSA:3.90.190.10	N/A	N/A	N/A	N/A	N/A	RNA_5'-triphosphatase	Protein tyrosine phosphatase superfamily	N/A	N/A	N/A	N/A	N/A	N/A	N/A	PS50056	Tyrosine specific protein phosphatases domain profile.	N/A	N/A	SSF52799, SSF53474	(Phosphotyrosine protein) phosphatases II	-, IPR000073, IPR000340, IPR000387, IPR029021, IPR029058	Tyrosine specific protein phosphatases domain profile.	GO:0005811;GO:0005811	lipid droplet;lipid droplet	GO:0016788;GO:0016788;GO:0008138;GO:0008138;GO:0004806;GO:0004806	hydrolase activity, acting on ester bonds;hydrolase activity, acting on ester bonds;protein tyrosine/serine/threonine phosphatase activity;protein tyrosine/serine/threonine phosphatase activity;triacylglycerol lipase activity;triacylglycerol lipase activity	GO:0016311;GO:0055088;GO:0055088;GO:0006470;GO:0006470	dephosphorylation;lipid homeostasis;lipid homeostasis;protein dephosphorylation;protein dephosphorylation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_000018	B9J08_000018-t37_1	Candida auris strain B8441	PEKT02000001:45,482..48,889(+)	P-type phospholipid transporter	127700	Not Assigned	PF00122, PF00702, PF13246, PF16209, PF16212	1135	3973	4	Phospholipid-translocating P-type ATPase C-terminal	N/A	G3DSA:2.70.150.10, G3DSA:3.40.1110.10, G3DSA:3.40.50.1000	N/A	TIGR01494, TIGR01652	N/A	PR00119	SFLDF00027, SFLDS00003	N/A	-	N/A	phospholipid-translocating P-type ATPase	N/A	P-type cation-transporting ATPase superfamily signature	p-type atpase	N/A	N/A	N/A	N/A	N/A	N/A	SSF56784, SSF81653, SSF81660, SSF81665	Metal cation-transporting ATPase, ATP-binding domain N	-, IPR001757, IPR006539, IPR008250, IPR023214, IPR023298, IPR023299, IPR032630, IPR032631, IPR036412, IPR044492	P-type cation-transporting ATPase superfamily signature	GO:0005768;GO:0005768;GO:0005794;GO:0005794;GO:0000139;GO:0000139;GO:0005770;GO:0005770;GO:0016020;GO:0005802;GO:0005802	endosome;endosome;Golgi apparatus;Golgi apparatus;Golgi membrane;Golgi membrane;late endosome;late endosome;membrane;trans-Golgi network;trans-Golgi network	GO:0140326;GO:0140326;GO:0140326;GO:0019829;GO:0019829;GO:0005524;GO:0005524;GO:0005524;GO:0016887;GO:0016887;GO:0016887;GO:0000287;GO:0000287;GO:0000287;GO:0046872;GO:0046872;GO:0000166;GO:0000166;GO:0000166;GO:0005215	ATPase-coupled intramembrane lipid transporter activity;ATPase-coupled intramembrane lipid transporter activity;ATPase-coupled intramembrane lipid transporter activity;ATPase-coupled monoatomic cation transmembrane transporter activity;ATPase-coupled monoatomic cation transmembrane transporter activ	GO:0006897;GO:0006897;GO:0006812;GO:0006812;GO:0045332;GO:0045332;GO:0015914;GO:0006890;GO:0006890;GO:0007033;GO:0007033	endocytosis;endocytosis;monoatomic cation transport;monoatomic cation transport;phospholipid translocation;phospholipid translocation;phospholipid transport;retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum;retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum;vac	N/A	N/A	N/A	N/A	N/A	N/A	7.6.2.1 (P-type phospholipid transporter)	N/A
B9J08_000019	B9J08_000019-t37_1	Candida auris strain B8441	PEKT02000001:51,614..52,690(-)	hypothetical protein	40065	Not Assigned	N/A	358	22	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_000020	B9J08_000020-t37_1	Candida auris strain B8441	PEKT02000001:54,031..55,981(+)	ATP synthase subunit alpha, mitochondrial	58617	Not Assigned	PF00006, PF00306, PF02874	543	721	0	ATP synthase alpha/beta family, nucleotide-binding domain	cd01132, cd18113, cd18116	G3DSA:1.20.150.20, G3DSA:2.40.30.20, G3DSA:3.40.50.300	MF_01346	NF009884, TIGR00962	N/A	N/A	N/A	F1-ATPase_alpha_CD	-	ATP synthase subunit alpha [atpA].	F0F1 ATP synthase subunit alpha	N/A	N/A	N/A	PIRSF039088	F_ATPase_subunit_alpha	N/A	N/A	N/A	N/A	SSF47917, SSF50615, SSF52540	P-loop containing nucleoside triphosphate hydrolases	-, IPR000194, IPR000793, IPR004100, IPR005294, IPR023366, IPR027417, IPR033732, IPR036121, IPR038376	P-loop containing nucleoside triphosphate hydrolases	GO:0042645;GO:0042645;GO:0005739;GO:0005739;GO:0005754;GO:0005754;GO:0045259	mitochondrial nucleoid;mitochondrial nucleoid;mitochondrion;mitochondrion;obsolete mitochondrial proton-transporting ATP synthase, catalytic core;obsolete mitochondrial proton-transporting ATP synthase, catalytic core;proton-transporting ATP synthase complex	GO:0032559;GO:0005524;GO:0005524;GO:0005524;GO:0016887;GO:0016887;GO:0046961;GO:0046961;GO:0046933;GO:0046933;GO:0046933	adenyl ribonucleotide binding;ATP binding;ATP binding;ATP binding;ATP hydrolysis activity;ATP hydrolysis activity;proton-transporting ATPase activity, rotational mechanism;proton-transporting ATPase activity, rotational mechanism;proton-transporting ATP synthase activity, rotational mechanism;proton	GO:0046034;GO:0015986;GO:0015986;GO:0015986;GO:1902600;GO:1902600;GO:1902600	ATP metabolic process;proton motive force-driven ATP synthesis;proton motive force-driven ATP synthesis;proton motive force-driven ATP synthesis;proton transmembrane transport;proton transmembrane transport;proton transmembrane transport	N/A	N/A	N/A	N/A	N/A	N/A	7.1.2.2 (H(+)-transporting two-sector ATPase)	N/A
B9J08_000021	B9J08_000021-t37_1	Candida auris strain B8441	PEKT02000001:56,212..57,663(+)	hypothetical protein	55338	Not Assigned	N/A	483	23	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_000022	B9J08_000022-t37_1	Candida auris strain B8441	PEKT02000001:57,805..58,566(+)	hypothetical protein	29232	Not Assigned	N/A	253	24	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_000023	B9J08_000023-t37_1	Candida auris strain B8441	PEKT02000001:58,583..61,180(-)	aminopeptidase 2	96939	Not Assigned	PF01433, PF11838, PF17900	865	938	1	Peptidase M1 N-terminal domain	cd09601	G3DSA:1.10.390.10, G3DSA:1.25.50.20, G3DSA:2.60.40.1730, G3DSA:2.60.40.1910	N/A	N/A	N/A	PR00756	N/A	M1_APN-Q_like	tricorn interacting facor f3 domain	N/A	N/A	N/A	Membrane alanyl dipeptidase (M1) family signature	N/A	N/A	N/A	N/A	N/A	N/A	N/A	SSF55486, SSF63737	Metalloproteases ("zincins"), catalytic domain	-, IPR001930, IPR014782, IPR024571, IPR027268, IPR034016, IPR042097, IPR045357	tricorn interacting facor f3 domain	GO:0030287;GO:0030287;GO:0005576;GO:0005576;GO:0000328;GO:0000328;GO:0005771;GO:0005771;GO:0061957;GO:0061957	cell wall-bounded periplasmic space;cell wall-bounded periplasmic space;extracellular region;extracellular region;fungal-type vacuole lumen;fungal-type vacuole lumen;multivesicular body;multivesicular body;NVT complex;NVT complex	GO:0004177;GO:0070006;GO:0070006;GO:0008237;GO:0008270;GO:0008270;GO:0008270	aminopeptidase activity;metalloaminopeptidase activity;metalloaminopeptidase activity;metallopeptidase activity;zinc ion binding;zinc ion binding;zinc ion binding	GO:0120113;GO:0120113;GO:0043171;GO:0043171;GO:0006508	cytoplasm to vacuole targeting by the NVT pathway;cytoplasm to vacuole targeting by the NVT pathway;peptide catabolic process;peptide catabolic process;proteolysis	N/A	N/A	N/A	N/A	N/A	N/A	3.4.11.- (Aminopeptidases.)	N/A
B9J08_000024	B9J08_000024-t37_1	Candida auris strain B8441	PEKT02000001:62,472..62,897(-)	Rhodanese-like domain | domain-containing protein	15823	Not Assigned	PF00581	141	644	1	Rhodanese-like domain	N/A	G3DSA:3.40.250.10	N/A	N/A	N/A	N/A	N/A	N/A	-	N/A	N/A	N/A	N/A	N/A	N/A	N/A	PS50206	Rhodanese domain profile.	SM00450	rhod_4	SSF52821	Rhodanese/Cell cycle control phosphatase	IPR001763, IPR036873	Rhodanese-like domain	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.20.4.1 (arsenate reductase (glutathione/glutaredoxin))
B9J08_000025	B9J08_000025-t37_1	Candida auris strain B8441	PEKT02000001:63,157..63,899(-)	PPIC-type PPIASE domain | domain-containing protein	21248	Not Assigned	PF00639	192	1051	0	PPIC-type PPIASE domain	N/A	G3DSA:2.20.70.10, G3DSA:3.10.50.40	N/A	N/A	N/A	N/A	N/A	N/A	-	N/A	N/A	N/A	N/A	N/A	N/A	N/A	PS50198	PpiC-type peptidyl-prolyl cis-trans isomerase family profile.	N/A	N/A	SSF54534	FKBP-like	-, IPR000297, IPR046357	PPIC-type PPIASE domain	GO:0005634;GO:0005634	nucleus;nucleus	GO:0003755;GO:0003755;GO:0003755;GO:0000993;GO:0000993	peptidyl-prolyl cis-trans isomerase activity;peptidyl-prolyl cis-trans isomerase activity;peptidyl-prolyl cis-trans isomerase activity;RNA polymerase II complex binding;RNA polymerase II complex binding	GO:0000122;GO:0000122;GO:2000059;GO:2000059;GO:0080182;GO:0080182;GO:0031064;GO:0031064;GO:0035307;GO:0035307;GO:2000749;GO:2000749;GO:0045899;GO:0045899;GO:0045944;GO:0045944;GO:0000413;GO:0000413;GO:0007346;GO:0007346;GO:0006369;GO:0006369	negative regulation of transcription by RNA polymerase II;negative regulation of transcription by RNA polymerase II;negative regulation of ubiquitin-dependent protein catabolic process;negative regulation of ubiquitin-dependent protein catabolic process;obsolete histone H3-K4 trimethylation;obsolete	N/A	N/A	N/A	N/A	N/A	N/A	5.2.1.8 (peptidylprolyl isomerase)	N/A
B9J08_000026	B9J08_000026-t37_1	Candida auris strain B8441	PEKT02000001:64,697..65,602(-)	Adenylate kinase | domain-containing protein	32749	Not Assigned	PF00406	301	2632	3	Adenylate kinase	cd01428	G3DSA:3.40.50.300	MF_00235, MF_03172	TIGR01359	N/A	PR00094	N/A	ADK	-	UMP-CMP kinase [CMPK1].	UMP-CMP kinase family	N/A	Adenylate kinase signature	N/A	N/A	N/A	N/A	N/A	N/A	N/A	SSF52540	P-loop containing nucleoside triphosphate hydrolases	-, IPR000850, IPR006266, IPR027417	UMP-CMP kinase family	GO:0005737;GO:0005737;GO:0005737;GO:0005634;GO:0005634;GO:0005634	cytoplasm;cytoplasm;cytoplasm;nucleus;nucleus;nucleus	GO:0004017;GO:0004017;GO:0005524;GO:0005524;GO:0005524;GO:0019205;GO:0004127;GO:0004127;GO:0009041;GO:0009041;GO:0016776	AMP kinase activity;AMP kinase activity;ATP binding;ATP binding;ATP binding;nucleobase-containing compound kinase activity;obsolete (d)CMP kinase activity;obsolete (d)CMP kinase activity;obsolete UMP/dUMP kinase activity;obsolete UMP/dUMP kinase activity;phosphotransferase activity, phosphate group 	GO:0006207;GO:0006207;GO:0006207;GO:0006139;GO:0006139;GO:0006139;GO:0006221;GO:0006221;GO:0006221	'de novo' pyrimidine nucleobase biosynthetic process;'de novo' pyrimidine nucleobase biosynthetic process;'de novo' pyrimidine nucleobase biosynthetic process;nucleobase-containing compound metabolic process;nucleobase-containing compound metabolic process;nucleobase-containing compound metabolic pr	N/A	N/A	N/A	N/A	N/A	N/A	2.7.4.14 (UMP/CMP kinase);2.7.4.3 (adenylate kinase)	N/A
