Gene ID,source_id,Product Description,Computed GO Component IDs,Computed GO Components,Computed GO Function IDs,Computed GO Functions,Computed GO Process IDs,Computed GO Processes,Curated GO Component IDs,Curated GO Components,Curated GO Function IDs,Curated GO Functions,Curated GO Process IDs,Curated GO Processes,EC numbers,EC numbers from OrthoMCL,ProtNLM prediction,ProtNLM score,ProtNote GO predictions,GO2SUM summary,Validation category,Notes,GO component count,GO function count,GO process count,Total computed GO count
B9J08_002400,B9J08_002400-t37_1,hypothetical protein,GO:0005634,nucleus,GO:0000824;GO:0000825;GO:0000827;GO:0008440;GO:0000823;GO:0016301;GO:0035004;GO:0030674,"inositol tetrakisphosphate 3-kinase activity;inositol tetrakisphosphate 6-kinase activity;inositol-1,3,4,5,6-pentakisphosphate kinase activity;inositol-1,4,5-trisphosphate 3-kinase activity;inositol-1,4,5-trisphosphate 6-kinase activity;kinase activity;phosphatidylinositol 3-kinase activity;protein-",GO:0032958;GO:0016236;GO:0000122;GO:0046854;GO:0045944;GO:0050821;GO:0000821,inositol phosphate biosynthetic process;macroautophagy;negative regulation of transcription by RNA polymerase II;phosphatidylinositol phosphate biosynthetic process;positive regulation of transcription by RNA polymerase II;protein stabilization;regulation of arginine metabolic process,N/A,N/A,N/A,N/A,N/A,N/A,2.7.-.- (Transferring phosphorus-containing groups.),2.7.-.- (Transferring phosphorus-containing groups.);2.7.1.151 (Inositol-polyphosphate multikinase),,,,,,,1,8,7,16
B9J08_001501,B9J08_001501-t37_1,hypothetical protein,GO:0005634,nucleus,GO:0005524;GO:0008094;GO:0015616;GO:0003690;GO:0004386;GO:0016787;GO:0070615,"ATP binding;ATP-dependent activity, acting on DNA;DNA translocase activity;double-stranded DNA binding;helicase activity;hydrolase activity;nucleosome-dependent ATPase activity",GO:0032508;GO:0032392;GO:0006310;GO:0006281;GO:0000724;GO:0030491;GO:0045144;GO:0007131,DNA duplex unwinding;DNA geometric change;DNA recombination;DNA repair;double-strand break repair via homologous recombination;heteroduplex formation;meiotic sister chromatid segregation;reciprocal meiotic recombination,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.6.1.- (In phosphorus-containing anhydrides.);3.6.1.3 (Deleted entry);3.6.4.12 (DNA helicase);5.99.1.- (Other isomerases.),,,,,,,1,7,8,16
B9J08_002580,B9J08_002580-t37_1,hypothetical protein,GO:0005634;GO:0097550,nucleus;transcription preinitiation complex,GO:0000993;GO:0001139;GO:0016251;GO:0017025;GO:0046872;GO:0003743;GO:0008270,RNA polymerase II complex binding;RNA polymerase II complex recruiting activity;RNA polymerase II general transcription initiation factor activity;TBP-class protein binding;metal ion binding;translation initiation factor activity;zinc ion binding,GO:0006352;GO:0051123;GO:0006355;GO:0006367;GO:0001113;GO:0070897;GO:0001174,"DNA-templated transcription, initiation;RNA polymerase II preinitiation complex assembly;regulation of transcription, DNA-templated;transcription initiation from RNA polymerase II promoter;transcription open complex formation at RNA polymerase II promoter;transcription preinitiation complex assembly",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,2,7,7,16
B9J08_001305,B9J08_001305-t37_1,hypothetical protein,GO:0005694;GO:0005737;GO:0005634,chromosome;cytoplasm;nucleus,GO:0005524;GO:0016887;GO:1990814;GO:0003682;GO:0003690;GO:0005515;GO:0003697,ATP binding;ATP hydrolysis activity;DNA/DNA annealing activity;chromatin binding;double-stranded DNA binding;protein binding;single-stranded DNA binding,GO:0051301;GO:0051276;GO:0007076;GO:0000070;GO:0070550;GO:0070058,cell division;chromosome organization;mitotic chromosome condensation;mitotic sister chromatid segregation;rDNA condensation;tRNA gene clustering,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.3.1.74 (2-alkenal reductase (NAD(P)(+))),,,,,,,3,7,6,16
B9J08_002294,B9J08_002294-t37_1,hypothetical protein,GO:0000974;GO:0071006;GO:0071007;GO:0071014;GO:0005681,Prp19 complex;U2-type catalytic step 1 spliceosome;U2-type catalytic step 2 spliceosome;post-mRNA release spliceosomal complex;spliceosomal complex,GO:0003723;GO:0017070;GO:0046872;GO:0003676;GO:0000166;GO:0036002;GO:0008270,RNA binding;U6 snRNA binding;metal ion binding;nucleic acid binding;nucleotide binding;pre-mRNA binding;zinc ion binding,GO:0007049;GO:0045292;GO:0000398;GO:0000387,"cell cycle;mRNA cis splicing, via spliceosome;mRNA splicing, via spliceosome;spliceosomal snRNP assembly",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,5,7,4,16
B9J08_001345,B9J08_001345-t37_1,hypothetical protein,GO:0005743;GO:0005759;GO:0005739,mitochondrial inner membrane;mitochondrial matrix;mitochondrion,GO:0005524;GO:0005525;GO:0004017;GO:0019205;GO:0046899;GO:0016776,"ATP binding;GTP binding;adenylate kinase activity;nucleobase-containing compound kinase activity;nucleoside triphosphate adenylate kinase activity;phosphotransferase activity, phosphate group as acceptor",GO:0006172;GO:0046033;GO:0046039;GO:0046041;GO:0006139;GO:0009117;GO:0046939,ADP biosynthetic process;AMP metabolic process;GTP metabolic process;ITP metabolic process;nucleobase-containing compound metabolic process;nucleotide metabolic process;nucleotide phosphorylation,N/A,N/A,N/A,N/A,N/A,N/A,2.7.4.10 (Nucleoside-triphosphate--adenylate kinase);2.7.4.3 (Adenylate kinase),2.7.4.10 (Nucleoside-triphosphate--adenylate kinase);2.7.4.3 (Adenylate kinase),,,,,,,3,6,7,16
B9J08_000105,B9J08_000105-t37_1,hypothetical protein,GO:0098745;GO:0000932;GO:0005737;GO:0098562;GO:0005634,Dcp1-Dcp2 complex;P-body;cytoplasm;cytoplasmic side of membrane;nucleus,GO:0003723;GO:0003682;GO:0016787;GO:0050072;GO:0003729;GO:0030145,RNA binding;chromatin binding;hydrolase activity;m7G(5')pppN diphosphatase activity;mRNA binding;manganese ion binding,GO:0071470;GO:0000290;GO:0031087;GO:0060261;GO:0034063,cellular response to osmotic stress;deadenylation-dependent decapping of nuclear-transcribed mRNA;deadenylation-independent decapping of nuclear-transcribed mRNA;positive regulation of transcription initiation from RNA polymerase II promoter;stress granule assembly,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.6.1.62 (5'-(N(7)-methylguanosine 5'-triphospho)-[mRNA] hydrolase),,,,,,,5,6,5,16
B9J08_004936,B9J08_004936-t37_1,hypothetical protein,GO:0030479;GO:1990819;GO:0051286;GO:0030139;GO:0110085,actin cortical patch;actin fusion focus;cell tip;endocytic vesicle;mitotic actomyosin contractile ring,GO:0071933;GO:0003779;GO:0051015;GO:0008017;GO:0005515;GO:0030674,Arp2/3 complex binding;actin binding;actin filament binding;microtubule binding;protein binding;protein-macromolecule adaptor activity,GO:0051666;GO:0007015;GO:0007017;GO:0034316;GO:2000601,actin cortical patch localization;actin filament organization;microtubule-based process;negative regulation of Arp2/3 complex-mediated actin nucleation;positive regulation of Arp2/3 complex-mediated actin nucleation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.6.1.23 (dUTP diphosphatase),,,,,,,5,6,5,16
B9J08_005033,B9J08_005033-t37_1,hypothetical protein,GO:0005737;GO:0034399;GO:0005634;GO:0000502;GO:0008540,"cytoplasm;nuclear periphery;nucleus;proteasome complex;proteasome regulatory particle, base subcomplex",GO:0005524;GO:0016887;GO:0016787;GO:0017111;GO:0000166;GO:0036402,ATP binding;ATP hydrolysis activity;hydrolase activity;nucleoside-triphosphatase activity;nucleotide binding;proteasome-activating activity,GO:0061641;GO:0045899;GO:0070682;GO:0030163;GO:0006511,CENP-A containing chromatin organization;positive regulation of RNA polymerase II transcription preinitiation complex assembly;proteasome regulatory particle assembly;protein catabolic process;ubiquitin-dependent protein catabolic process,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.4.25.1 (Proteasome endopeptidase complex);3.6.1.3 (Deleted entry);3.6.4.3 (Transferred entry: 5.6.1.1);3.6.4.8 (Transferred entry: 5.6.1.5),,,,,,,5,6,5,16
B9J08_001745,B9J08_001745-t37_1,hypothetical protein,GO:0005934;GO:0005737;GO:0010494;GO:0044614;GO:0005634;GO:0005844,cellular bud tip;cytoplasm;cytoplasmic stress granule;nuclear pore cytoplasmic filaments;nucleus;polysome,GO:0005524;GO:0008186;GO:0003724;GO:0004386;GO:0000822;GO:0003676,"ATP binding;ATP-dependent activity, acting on RNA;RNA helicase activity;helicase activity;inositol hexakisphosphate binding;nucleic acid binding",GO:0006406;GO:0016973;GO:0006409;GO:0006415,mRNA export from nucleus;poly(A)+ mRNA export from nucleus;tRNA export from nucleus;translational termination,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.6.1.- (In phosphorus-containing anhydrides.);3.6.1.1 (Inorganic diphosphatase);3.6.4.13 (RNA helicase),,,,,,,6,6,4,16
B9J08_004300,B9J08_004300-t37_1,hypothetical protein,GO:0000932;GO:0005933;GO:0005935;GO:0005737;GO:0010494;GO:0005634,P-body;cellular bud;cellular bud neck;cytoplasm;cytoplasmic stress granule;nucleus,GO:0003723;GO:0003730;GO:0048027;GO:0003729;GO:0004540;GO:0000900,"RNA binding;mRNA 3'-UTR binding;mRNA 5'-UTR binding;mRNA binding;ribonuclease activity;translation repressor activity, mRNA regulatory element binding",GO:0008298;GO:0017148;GO:1903450;GO:0060237,intracellular mRNA localization;negative regulation of translation;regulation of G1 to G0 transition;regulation of fungal-type cell wall organization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.1.13.- (Exoribonucleases producing 5'-phosphomonoesters.);3.1.13.1 (Exoribonuclease II),,,,,,,6,6,4,16
B9J08_004648,B9J08_004648-t37_1,hypothetical protein,GO:0000324,fungal-type vacuole,GO:0004175;GO:0042802;GO:0008233;GO:0004252;GO:0008236,endopeptidase activity;identical protein binding;peptidase activity;serine-type endopeptidase activity;serine-type peptidase activity,GO:0006914;GO:0009267;GO:0000747;GO:0043086;GO:0000425;GO:0007039;GO:0006508;GO:0030435;GO:0007033;GO:0031638,autophagy;cellular response to starvation;conjugation with cellular fusion;negative regulation of catalytic activity;pexophagy;protein catabolic process in the vacuole;proteolysis;sporulation resulting in formation of a cellular spore;vacuole organization;zymogen activation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.4.21.- (Serine endopeptidases.);3.4.21.48 (Cerevisin);3.4.21.62 (Subtilisin);3.4.21.63 (Oryzin);3.4.21.64 (Peptidase K);3.4.21.66 (Thermitase),,,,,,,1,5,10,16
B9J08_000643,B9J08_000643-t37_1,hypothetical protein,GO:0005794;GO:0005737,Golgi apparatus;cytoplasm,GO:0005524;GO:0016887;GO:0000149;GO:0000166;GO:0070300,ATP binding;ATP hydrolysis activity;SNARE binding;nucleotide binding;phosphatidic acid binding,GO:0043001;GO:0048211;GO:0035494;GO:0000045;GO:0048219;GO:0016236;GO:0015031;GO:0042144;GO:0048280,"Golgi to plasma membrane protein transport;Golgi vesicle docking;SNARE complex disassembly;autophagosome assembly;inter-Golgi cisterna vesicle-mediated transport;macroautophagy;protein transport;vacuole fusion, non-autophagic;vesicle fusion with Golgi apparatus",N/A,N/A,N/A,N/A,N/A,N/A,3.6.4.6 (Vesicle-fusing ATPase),3.6.1.3 (Deleted entry);3.6.4.6 (Vesicle-fusing ATPase),,,,,,,2,5,9,16
B9J08_000881,B9J08_000881-t37_1,hypothetical protein,GO:0005935;GO:0005934;GO:0005737;GO:0000935;GO:0043332,cellular bud neck;cellular bud tip;cytoplasm;division septum;mating projection tip,GO:0005524;GO:0004708;GO:0004672;GO:0004674;GO:0004713,ATP binding;MAP kinase kinase activity;protein kinase activity;protein serine/threonine kinase activity;protein tyrosine kinase activity,GO:0030242;GO:0000196;GO:0050850;GO:0006468;GO:0060237;GO:0007165,autophagy of peroxisome;cell wall integrity MAPK cascade;positive regulation of calcium-mediated signaling;protein phosphorylation;regulation of fungal-type cell wall organization;signal transduction,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.7.11.24 (Mitogen-activated protein kinase);2.7.12.2 (Mitogen-activated protein kinase kinase),,,,,,,5,5,6,16
B9J08_004795,B9J08_004795-t37_1,hypothetical protein,GO:0005634,nucleus,GO:0001228;GO:0003700;GO:0003682;GO:0043565,"DNA-binding transcription activator activity, RNA polymerase II-specific;DNA-binding transcription factor activity;chromatin binding;sequence-specific DNA binding",GO:0006914;GO:0010691;GO:0000122;GO:0001080;GO:0045899;GO:0010508;GO:1903833;GO:0036278;GO:0060261;GO:1990139;GO:0006355,autophagy;negative regulation of ribosomal protein gene transcription from RNA polymerase II promoter in response to nutrient levels;negative regulation of transcription by RNA polymerase II;nitrogen catabolite activation of transcription from RNA polymerase II promoter;positive regulation of RNA po,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,1,4,11,16
B9J08_005567,B9J08_005567-t37_1,hypothetical protein,GO:0005634,nucleus,GO:0005524;GO:0004672;GO:0004674;GO:0004713,ATP binding;protein kinase activity;protein serine/threonine kinase activity;protein tyrosine kinase activity,GO:0044843;GO:0110045;GO:0010515;GO:0051447;GO:0042308;GO:0000122;GO:0045944;GO:0006468;GO:0007124;GO:0010827;GO:0009749,"cell cycle G1/S phase transition;negative regulation of cell cycle switching, mitotic to meiotic cell cycle;negative regulation of induction of conjugation with cellular fusion;negative regulation of meiotic cell cycle;negative regulation of protein import into nucleus;negative regulation of transcr",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.7.1.- (Phosphotransferases with an alcohol group as acceptor.);2.7.11.1 (Non-specific serine/threonine protein kinase),,,,,,,1,4,11,16
B9J08_000779,B9J08_000779-t37_1,hypothetical protein,GO:0005829;GO:0005768;GO:0000329;GO:0000407,cytosol;endosome;fungal-type vacuole membrane;phagophore assembly site,GO:0080025;GO:0032266;GO:0070273;GO:0005515,"phosphatidylinositol-3,5-bisphosphate binding;phosphatidylinositol-3-phosphate binding;phosphatidylinositol-4-phosphate binding;protein binding",GO:0000422;GO:0036474;GO:0032258;GO:0016236;GO:0034727;GO:0006497;GO:0034497;GO:0016050,autophagy of mitochondrion;cell death in response to hydrogen peroxide;cytoplasm to vacuole transport by the Cvt pathway;macroautophagy;piecemeal microautophagy of the nucleus;protein lipidation;protein localization to phagophore assembly site;vesicle organization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,4,4,8,16
B9J08_001823,B9J08_001823-t37_1,hypothetical protein,GO:0005885;GO:0015629;GO:0005737;GO:0005829,Arp2/3 protein complex;actin cytoskeleton;cytoplasm;cytosol,GO:0003779;GO:0051015;GO:0005516;GO:0060090,actin binding;actin filament binding;calmodulin binding;molecular adaptor activity,GO:0034314;GO:0044396;GO:0030036;GO:0030041;GO:0000226;GO:0072697;GO:0006898;GO:0030833,Arp2/3 complex-mediated actin nucleation;actin cortical patch organization;actin cytoskeleton organization;actin filament polymerization;microtubule cytoskeleton organization;protein localization to cell cortex;receptor-mediated endocytosis;regulation of actin filament polymerization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.1.1.20 (Phenylalanine--tRNA ligase),,,,,,,4,4,8,16
B9J08_002487,B9J08_002487-t37_1,hypothetical protein,GO:0005935;GO:0044732;GO:0071958;GO:0005816,cellular bud neck;mitotic spindle pole body;new mitotic spindle pole body;spindle pole body,GO:0005524;GO:0004672;GO:0004674;GO:0004713,ATP binding;protein kinase activity;protein serine/threonine kinase activity;protein tyrosine kinase activity,GO:0051229;GO:0000281;GO:0018105;GO:0018107;GO:0140281;GO:0006468;GO:0007096;GO:0031028,meiotic spindle disassembly;mitotic cytokinesis;peptidyl-serine phosphorylation;peptidyl-threonine phosphorylation;positive regulation of mitotic division septum assembly;protein phosphorylation;regulation of exit from mitosis;septation initiation signaling,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.7.11.1 (Non-specific serine/threonine protein kinase);2.7.11.25 (Mitogen-activated protein kinase kinase kinase),,,,,,,4,4,8,16
B9J08_002634,B9J08_002634-t37_1,hypothetical protein,GO:0070692;GO:0005730;GO:0005654;GO:0005634,CTDK-1 complex;nucleolus;nucleoplasm;nucleus,GO:0005524;GO:0004693;GO:0004672;GO:0004713,ATP binding;cyclin-dependent protein serine/threonine kinase activity;protein kinase activity;protein tyrosine kinase activity,GO:0031124;GO:0018105;GO:0070816;GO:0032786;GO:0045943;GO:0045903;GO:0006468;GO:0006413,"mRNA 3'-end processing;peptidyl-serine phosphorylation;phosphorylation of RNA polymerase II C-terminal domain;positive regulation of DNA-templated transcription, elongation;positive regulation of transcription by RNA polymerase I;positive regulation of translational fidelity;protein phosphorylation;",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.7.11.22 (Cyclin-dependent kinase);2.7.11.23 ([RNA-polymerase]-subunit kinase),,,,,,,4,4,8,16
B9J08_005249,B9J08_005249-t37_1,hypothetical protein,GO:0110115;GO:0005935;GO:0031097;GO:0071341,Cdr2 medial cortical node complex;cellular bud neck;medial cortex;medial cortical node,GO:0005524;GO:0004672;GO:0004674;GO:0004713,ATP binding;protein kinase activity;protein serine/threonine kinase activity;protein tyrosine kinase activity,GO:0007117;GO:0044879;GO:0010971;GO:0120047;GO:0046777;GO:0006468;GO:1901900;GO:0000921,budding cell bud growth;mitotic morphogenesis checkpoint signaling;positive regulation of G2/M transition of mitotic cell cycle;positive regulation of protein localization to medial cortical node;protein autophosphorylation;protein phosphorylation;regulation of protein localization to cell division ,N/A,N/A,N/A,N/A,N/A,N/A,2.7.11.1 (Non-specific serine/threonine protein kinase),2.7.11.1 (Non-specific serine/threonine protein kinase),,,,,,,4,4,8,16
B9J08_001190,B9J08_001190-t37_1,hypothetical protein,GO:0034245;GO:0005758;GO:0005759;GO:0005739;GO:0005634,mitochondrial DNA-directed RNA polymerase complex;mitochondrial intermembrane space;mitochondrial matrix;mitochondrion;nucleus,GO:0003723;GO:0008168;GO:0034246;GO:0000179,"RNA binding;methyltransferase activity;mitochondrial transcription factor activity;rRNA (adenine-N6,N6-)-dimethyltransferase activity",GO:0032259;GO:0032786;GO:1903109;GO:0045944;GO:0000154;GO:0006364;GO:0006391,"methylation;positive regulation of DNA-templated transcription, elongation;positive regulation of mitochondrial transcription;positive regulation of transcription by RNA polymerase II;rRNA modification;rRNA processing;transcription initiation from mitochondrial promoter",N/A,N/A,N/A,N/A,N/A,N/A,2.1.1.- (Methyltransferases.),2.1.1.- (Methyltransferases.),,,,,,,5,4,7,16
B9J08_001566,B9J08_001566-t37_1,hypothetical protein,GO:0005737;GO:0010494;GO:0005783;GO:0005789;GO:0042175;GO:0005844,cytoplasm;cytoplasmic stress granule;endoplasmic reticulum;endoplasmic reticulum membrane;nuclear outer membrane-endoplasmic reticulum membrane network;polysome,GO:0001965;GO:0003723;GO:0003729;GO:0003676,G-protein alpha-subunit binding;RNA binding;mRNA binding;nucleic acid binding,GO:0043577;GO:0006348;GO:0007059;GO:0045141;GO:0000750;GO:0030466,chemotropism;chromatin silencing at telomere;chromosome segregation;meiotic telomere clustering;pheromone-dependent signal transduction involved in conjugation with cellular fusion;silent mating-type cassette heterochromatin assembly,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,6,4,6,16
B9J08_001346,B9J08_001346-t37_1,hypothetical protein,GO:0016593;GO:0005634,Cdc73/Paf1 complex;nucleus,GO:0003723;GO:1990269;GO:0003712,RNA binding;RNA polymerase II C-terminal domain phosphoserine binding;transcription coregulator activity,GO:0006353;GO:0006325;GO:0033696;GO:0080182;GO:0043486;GO:0016570;GO:2001209;GO:0032968;GO:2001173;GO:0090262;GO:0006368,"DNA-templated transcription, termination;chromatin organization;heterochromatin boundary formation;histone H3-K4 trimethylation;histone exchange;histone modification;positive regulation of transcription elongation from RNA polymerase I promoter;positive regulation of transcription elongation from RN",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,2,3,11,16
B9J08_003897,B9J08_003897-t37_1,hypothetical protein,GO:0035658;GO:0005768;GO:0005770,Mon1-Ccz1 complex;endosome;late endosome,GO:0032266;GO:0010314;GO:0001786,phosphatidylinositol-3-phosphate binding;phosphatidylinositol-5-phosphate binding;phosphatidylserine binding,GO:0097352;GO:0006914;GO:0032258;GO:0016236;GO:0043547;GO:0044395;GO:0006623;GO:0007034;GO:0048278;GO:0016192,autophagosome maturation;autophagy;cytoplasm to vacuole transport by the Cvt pathway;macroautophagy;positive regulation of GTPase activity;protein targeting to vacuolar membrane;protein targeting to vacuole;vacuolar transport;vesicle docking;vesicle-mediated transport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,3,3,10,16
B9J08_004641,B9J08_004641-t37_1,hypothetical protein,GO:0034274;GO:0005737;GO:0034045,Atg12-Atg5-Atg16 complex;cytoplasm;phagophore assembly site membrane,GO:0019776;GO:0008047;GO:0031386,Atg8 ligase activity;enzyme activator activity;protein tag,GO:0006501;GO:0000045;GO:0006914;GO:0000422;GO:0032258;GO:0044805;GO:0016236;GO:0034727;GO:0061739;GO:0015031,C-terminal protein lipidation;autophagosome assembly;autophagy;autophagy of mitochondrion;cytoplasm to vacuole transport by the Cvt pathway;late nucleophagy;macroautophagy;piecemeal microautophagy of the nucleus;protein lipidation involved in autophagosome assembly;protein transport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,3,3,10,16
B9J08_002088,B9J08_002088-t37_1,hypothetical protein,GO:0019897;GO:0005622;GO:0016020;GO:0005886,extrinsic component of plasma membrane;intracellular anatomical structure;membrane;plasma membrane,GO:0019003;GO:0005525;GO:0003924,GDP binding;GTP binding;GTPase activity,GO:0015809;GO:0006886;GO:0015819;GO:0006913;GO:1905589;GO:0015031;GO:0042147;GO:0007165;GO:0007264,"arginine transport;intracellular protein transport;lysine transport;nucleocytoplasmic transport;positive regulation of L-arginine import across plasma membrane;protein transport;retrograde transport, endosome to Golgi;signal transduction;small GTPase mediated signal transduction",N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.6.5.2 (Small monomeric GTPase),,,,,,,4,3,9,16
B9J08_001838,B9J08_001838-t37_1,hypothetical protein,GO:0035658;GO:0005829;GO:0005768;GO:0000329;GO:0032585;GO:0005774,Mon1-Ccz1 complex;cytosol;endosome;fungal-type vacuole membrane;multivesicular body membrane;vacuolar membrane,GO:0032266;GO:0010314;GO:0001786,phosphatidylinositol-3-phosphate binding;phosphatidylinositol-5-phosphate binding;phosphatidylserine binding,GO:0006914;GO:0032258;GO:0016236;GO:0043547;GO:0044395;GO:0006623;GO:0048278,autophagy;cytoplasm to vacuole transport by the Cvt pathway;macroautophagy;positive regulation of GTPase activity;protein targeting to vacuolar membrane;protein targeting to vacuole;vesicle docking,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,6,3,7,16
B9J08_001800,B9J08_001800-t37_1,hypothetical protein,GO:0000837;GO:0044695;GO:0000839;GO:0030176;GO:0016021;GO:0005887;GO:0005811,Doa10p ubiquitin ligase complex;Dsc E3 ubiquitin ligase complex;Hrd1p ubiquitin ligase ERAD-L complex;integral component of endoplasmic reticulum membrane;integral component of membrane;integral component of plasma membrane;lipid droplet,GO:0005515;GO:0044877;GO:0030674,protein binding;protein-containing complex binding;protein-macromolecule adaptor activity,GO:0034389;GO:0072671;GO:0034982;GO:0043161;GO:0035103;GO:0030433,lipid droplet organization;mitochondria-associated ubiquitin-dependent protein catabolic process;mitochondrial protein processing;proteasome-mediated ubiquitin-dependent protein catabolic process;sterol regulatory element binding protein cleavage;ubiquitin-dependent ERAD pathway,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,7,3,6,16
B9J08_004259,B9J08_004259-t37_1,hypothetical protein,GO:0071944;GO:0005783;GO:0000324;GO:0016021;GO:0031307;GO:0016020;GO:0005739;GO:0005886,cell periphery;endoplasmic reticulum;fungal-type vacuole;integral component of membrane;integral component of mitochondrial outer membrane;membrane;mitochondrion;plasma membrane,GO:0016787;GO:0052712;GO:0052714,hydrolase activity;inositol phosphosphingolipid phospholipase activity;mannosyl-inositol phosphorylceramide phospholipase activity,GO:0046513;GO:0032995;GO:0009651;GO:0030149;GO:0006665,ceramide biosynthetic process;regulation of fungal-type cell wall biogenesis;response to salt stress;sphingolipid catabolic process;sphingolipid metabolic process,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.1.4.- (Phosphoric diester hydrolases.);3.1.4.12 (Sphingomyelin phosphodiesterase);3.1.4.3 (Phospholipase C),,,,,,,8,3,5,16
B9J08_000098,B9J08_000098-t37_1,hypothetical protein,GO:0005769;GO:0005770;GO:0016020,early endosome;late endosome;membrane,GO:0005525;GO:0003924,GTP binding;GTPase activity,GO:0006895;GO:0006897;GO:0032511;GO:0036258;GO:0006913;GO:0036010;GO:0006623;GO:0061709;GO:0007165;GO:0007264;GO:0000011,Golgi to endosome transport;endocytosis;late endosome to vacuole transport via multivesicular body sorting pathway;multivesicular body assembly;nucleocytoplasmic transport;protein localization to endosome;protein targeting to vacuole;reticulophagy;signal transduction;small GTPase mediated signal tra,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.1.4.12 (Sphingomyelin phosphodiesterase);3.6.5.2 (Small monomeric GTPase),,,,,,,3,2,11,16
B9J08_003851,B9J08_003851-t37_1,hypothetical protein,GO:0005829;GO:0005769;GO:0019898;GO:0000407,cytosol;early endosome;extrinsic component of membrane;phagophore assembly site,GO:0035091;GO:0032266,phosphatidylinositol binding;phosphatidylinositol-3-phosphate binding,GO:0000422;GO:0007154;GO:0032258;GO:0034498;GO:0032456;GO:0099638;GO:0034727;GO:0036010;GO:0006623;GO:0061709,autophagy of mitochondrion;cell communication;cytoplasm to vacuole transport by the Cvt pathway;early endosome to Golgi transport;endocytic recycling;endosome to plasma membrane protein transport;piecemeal microautophagy of the nucleus;protein localization to endosome;protein targeting to vacuole;re,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,4,2,10,16
B9J08_001109,B9J08_001109-t37_1,hypothetical protein,GO:0000228;GO:0043596;GO:0005654;GO:0005634;GO:0031298,nuclear chromosome;nuclear replication fork;nucleoplasm;nucleus;replication fork protection complex,GO:0003682;GO:0005515,chromatin binding;protein binding,GO:0061641;GO:0006281;GO:0006270;GO:0006261;GO:1903461;GO:0006974;GO:0000727;GO:0034085;GO:0007064,CENP-A containing chromatin organization;DNA repair;DNA replication initiation;DNA-dependent DNA replication;Okazaki fragment processing involved in mitotic DNA replication;cellular response to DNA damage stimulus;double-strand break repair via break-induced replication;establishment of sister chrom,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,5,2,9,16
B9J08_004374,B9J08_004374-t37_1,hypothetical protein,GO:0031965;GO:0034399;GO:0005643;GO:0044613;GO:0044615,nuclear membrane;nuclear periphery;nuclear pore;nuclear pore central transport channel;nuclear pore nuclear basket,GO:0005543;GO:0017056,phospholipid binding;structural constituent of nuclear pore,GO:0006607;GO:0097064;GO:0016973;GO:0006606;GO:0015031;GO:0010389;GO:0000055;GO:0000056;GO:0006409,NLS-bearing protein import into nucleus;ncRNA export from nucleus;poly(A)+ mRNA export from nucleus;protein import into nucleus;protein transport;regulation of G2/M transition of mitotic cell cycle;ribosomal large subunit export from nucleus;ribosomal small subunit export from nucleus;tRNA export fr,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,5,2,9,16
