Gene ID,source_id,Product Description,Computed GO Component IDs,Computed GO Components,Computed GO Function IDs,Computed GO Functions,Computed GO Process IDs,Computed GO Processes,Curated GO Component IDs,Curated GO Components,Curated GO Function IDs,Curated GO Functions,Curated GO Process IDs,Curated GO Processes,EC numbers,EC numbers from OrthoMCL,ProtNLM prediction,ProtNLM score,ProtNote GO predictions,GO2SUM summary,Validation category,Notes
B9J08_000058,B9J08_000058-t37_1,pyridoxine biosynthesis protein SNZ1,GO:1903600,glutaminase complex,GO:0003824;GO:0004359;GO:0036381,catalytic activity;glutaminase activity;pyridoxal 5'-phosphate synthase (glutamine hydrolysing) activity,GO:0006535;GO:0042823;GO:0008615;GO:0042819,cysteine biosynthetic process from serine;pyridoxal phosphate biosynthetic process;pyridoxine biosynthetic process;vitamin B6 biosynthetic process,N/A,N/A,N/A,N/A,N/A,N/A,4.3.3.6 (Pyridoxal 5'-phosphate synthase (glutamine hydrolyzing)),4.3.3.6 (Pyridoxal 5'-phosphate synthase (glutamine hydrolyzing)),,,,,,
B9J08_000063,B9J08_000063-t37_1,proteasome subunit beta type-5,GO:0005737;GO:0005634;GO:0005839;GO:0019774,"cytoplasm;nucleus;proteasome core complex;proteasome core complex, beta-subunit complex",GO:0004175;GO:0004298,endopeptidase activity;threonine-type endopeptidase activity,GO:0010499;GO:0080129;GO:0043161;GO:0051603,proteasomal ubiquitin-independent protein catabolic process;proteasome core complex assembly;proteasome-mediated ubiquitin-dependent protein catabolic process;proteolysis involved in cellular protein catabolic process,N/A,N/A,N/A,N/A,N/A,N/A,3.4.25.1 (Proteasome endopeptidase complex),3.4.25.1 (Proteasome endopeptidase complex),,,,,,
B9J08_000064,B9J08_000064-t37_1,60S ribosomal protein L11-A,GO:0022625;GO:0005840,cytosolic large ribosomal subunit;ribosome,GO:0003735,structural constituent of ribosome,GO:0000027;GO:0006412,ribosomal large subunit assembly;translation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000071,B9J08_000071-t37_1,sphingolipid long chain base-responsive protein PIL1,GO:0036362;GO:0009898;GO:0032126;GO:0036286,ascus membrane;cytoplasmic side of plasma membrane;eisosome;eisosome filament,GO:0008289,lipid binding,GO:0070941;GO:0006897;GO:0006469;GO:0090155;GO:0008104;GO:0097446;GO:0009408,eisosome assembly;endocytosis;negative regulation of protein kinase activity;negative regulation of sphingolipid biosynthetic process;protein localization;protein localization to eisosome filament;response to heat,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000075,B9J08_000075-t37_1,inosine-5'-monophosphate dehydrogenase,GO:0005737,cytoplasm,GO:0003938;GO:0003824;GO:0046872;GO:0000166;GO:0016491,IMP dehydrogenase activity;catalytic activity;metal ion binding;nucleotide binding;oxidoreductase activity,GO:0006177;GO:0055114;GO:0006164,GMP biosynthetic process;obsolete oxidation-reduction process;purine nucleotide biosynthetic process,N/A,N/A,N/A,N/A,N/A,N/A,1.1.1.205 (IMP dehydrogenase),1.1.1.205 (IMP dehydrogenase);1.1.1.37 (Malate dehydrogenase),,,,,,
B9J08_000082,B9J08_000082-t37_1,GTP-binding nuclear protein GSP1/Ran,GO:0005737;GO:0005576;GO:0005622;GO:0016020;GO:0005634,cytoplasm;extracellular region;intracellular anatomical structure;membrane;nucleus,GO:0005525;GO:0003924,GTP binding;GTPase activity,GO:0000467;GO:0006913;GO:0006997;GO:0031938;GO:0016973;GO:0006606;GO:0015031;GO:1901987;GO:0046822;GO:0007165;GO:0007264,"exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);nucleocytoplasmic transport;nucleus organization;obsolete regulation of chromatin silencing at telomere;poly(A)+ mRNA export from nucleus;protein import into nucleus;prote",N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.1.4.12 (Sphingomyelin phosphodiesterase);3.6.1.15 (Nucleoside-triphosphate phosphatase),,,,,,
B9J08_000090,B9J08_000090-t37_1,60S ribosomal protein L18-A,GO:0022625;GO:0005840,cytosolic large ribosomal subunit;ribosome,GO:0003735,structural constituent of ribosome,GO:0006412,translation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000091,B9J08_000091-t37_1,40S ribosomal protein S19-A,GO:0022627;GO:0005840,cytosolic small ribosomal subunit;ribosome,GO:0003735,structural constituent of ribosome,GO:0006407;GO:0042274;GO:0006412,rRNA export from nucleus;ribosomal small subunit biogenesis;translation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000102,B9J08_000102-t37_1,heat shock protein SSB1,GO:0010494;GO:0005829;GO:0005844,cytoplasmic stress granule;cytosol;polysome,GO:0005524;GO:0016887;GO:0051082,ATP binding;ATP hydrolysis activity;unfolded protein binding,GO:0051083;GO:0042149;GO:0002181;GO:0006364;GO:0006450;GO:0000054;GO:0006452,'de novo' cotranslational protein folding;cellular response to glucose starvation;cytoplasmic translation;rRNA processing;regulation of translational fidelity;ribosomal subunit export from nucleus;translational frameshifting,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.3.1.74 (2-alkenal reductase (NAD(P)(+)));3.6.1.15 (Nucleoside-triphosphate phosphatase);3.6.1.3 (Deleted entry);3.6.4.10 (Non-chaperonin molecular chaperone ATPase),,,,,,
B9J08_000107,B9J08_000107-t37_1,40S ribosomal protein S20,GO:0022627;GO:0005840;GO:0015935,cytosolic small ribosomal subunit;ribosome;small ribosomal subunit,GO:0003723;GO:0003735,RNA binding;structural constituent of ribosome,GO:0000462;GO:0006412,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);translation",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.4.1.13 (Sucrose synthase),,,,,,
B9J08_000113,B9J08_000113-t37_1,SUMO-conjugating enzyme UBC9,GO:0000794;GO:0005634,condensed nuclear chromosome;nucleus,GO:0005524;GO:0061656;GO:0019789;GO:0016881;GO:0016874,ATP binding;SUMO conjugating enzyme activity;SUMO transferase activity;acid-amino acid ligase activity;ligase activity,GO:0006281;GO:0000022;GO:0016925;GO:1903379,DNA repair;mitotic spindle elongation;protein sumoylation;regulation of mitotic chromosome condensation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"2.3.2.- (Aminoacyltransferases.);6.3.2.19 (Transferred entry: 2.3.2.23, 2.3.2.27 and 6.2.1.45)",,,,,,
B9J08_000125,B9J08_000125-t37_1,tRNA-Gly,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000126,B9J08_000126-t37_1,tRNA-Asp,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000132,B9J08_000132-t37_1,mannan polymerase II complex ANP1 subunit,GO:0000137;GO:0000136,Golgi cis cisterna;mannan polymerase complex,GO:0000009,"alpha-1,6-mannosyltransferase activity",GO:0006487,protein N-linked glycosylation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000141,B9J08_000141-t37_1,protein phosphatase PP2A regulatory subunit B,GO:0005935;GO:0005934;GO:0005737;GO:0000329;GO:0043332;GO:0072686;GO:0005634;GO:0000159,cellular bud neck;cellular bud tip;cytoplasm;fungal-type vacuole membrane;mating projection tip;mitotic spindle;nucleus;protein phosphatase type 2A complex,GO:0005515;GO:0019888;GO:0004722,protein binding;protein phosphatase regulator activity;protein serine/threonine phosphatase activity,GO:0045143;GO:0016237;GO:0044818;GO:0010972;GO:0034260;GO:0001100;GO:0010515;GO:0031030;GO:0070262;GO:0010971;GO:2000786;GO:0035307;GO:1905477;GO:1900182;GO:0061586;GO:0006470;GO:0090266;GO:0007165,homologous chromosome segregation;lysosomal microautophagy;mitotic G2/M transition checkpoint;negative regulation of G2/M transition of mitotic cell cycle;negative regulation of GTPase activity;negative regulation of exit from mitosis;negative regulation of induction of conjugation with cellular fus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000142,B9J08_000142-t37_1,40S ribosomal protein S26-B,GO:0005840,ribosome,GO:0003735,structural constituent of ribosome,GO:0006407;GO:0042255;GO:0006412,rRNA export from nucleus;ribosome assembly;translation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000150,B9J08_000150-t37_1,"succinate dehydrogenase, cytochrome b556 subunit",GO:0016021;GO:0016020;GO:0045281,integral component of membrane;membrane;succinate dehydrogenase complex,GO:0009055;GO:0046872;GO:0016627;GO:0000104,"electron transfer activity;metal ion binding;oxidoreductase activity, acting on the CH-CH group of donors;succinate dehydrogenase activity",GO:0006099,tricarboxylic acid cycle,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.3.5.1 (Succinate dehydrogenase (quinone));1.3.99.1 (Deleted entry),,,,,,
B9J08_000163,B9J08_000163-t37_1,tRNA(His) guanylyltransferase,N/A,N/A,GO:0005525;GO:0000287;GO:0008193,GTP binding;magnesium ion binding;tRNA guanylyltransferase activity,GO:0006400,tRNA modification,N/A,N/A,N/A,N/A,N/A,N/A,2.7.7.79 (tRNA(His) guanylyltransferase),2.7.7.79 (tRNA(His) guanylyltransferase),,,,,,
B9J08_000164,B9J08_000164-t37_1,multidrug resistance protein CDR1,GO:0016021;GO:0016020;GO:0005886,integral component of membrane;membrane;plasma membrane,GO:0008559;GO:0005524;GO:0016887;GO:0042626;GO:0005525;GO:0003924;GO:0017111;GO:0000166,ABC-type xenobiotic transporter activity;ATP binding;ATP hydrolysis activity;ATPase-coupled transmembrane transporter activity;GTP binding;GTPase activity;nucleoside-triphosphatase activity;nucleotide binding,GO:0030003;GO:0042493;GO:0055085;GO:1990961,cellular cation homeostasis;response to drug;transmembrane transport;xenobiotic detoxification by transmembrane export across the plasma membrane,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.1.4.11 (Phosphoinositide phospholipase C);3.6.3.44 (Transferred entry: 7.6.2.2),,,,,,
B9J08_000167,B9J08_000167-t37_1,tRNA-Thr,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000171,B9J08_000171-t37_1,serine/threonine-protein kinase BUR1,GO:0070691;GO:0070693;GO:0000307;GO:0005634,P-TEFb complex;P-TEFb-cap methyltransferase complex;cyclin-dependent protein kinase holoenzyme complex;nucleus,GO:0005524;GO:0008353;GO:0004693;GO:0004672;GO:0004674;GO:0004713,ATP binding;RNA polymerase II CTD heptapeptide repeat kinase activity;cyclin-dependent protein serine/threonine kinase activity;protein kinase activity;protein serine/threonine kinase activity;protein tyrosine kinase activity,GO:0120186;GO:0070816;GO:1903655;GO:0071620;GO:0051571;GO:0032968;GO:0006468;GO:0006368,negative regulation of protein localization to chromatin;phosphorylation of RNA polymerase II C-terminal domain;phosphorylation of RNA polymerase II C-terminal domain serine 2 residues involved in positive regulation of transcription elongation from RNA polymerase II promoter;phosphorylation of RNA ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.7.1.- (Phosphotransferases with an alcohol group as acceptor.);2.7.11.22 (Cyclin-dependent kinase);2.7.11.23 ([RNA-polymerase]-subunit kinase),,,,,,
B9J08_000173,B9J08_000173-t37_1,"cytochrome c1, heme protein, mitochondrial",GO:0016021;GO:0005743;GO:0005750,integral component of membrane;mitochondrial inner membrane;mitochondrial respiratory chain complex III,GO:0009055;GO:0020037;GO:0005506;GO:0046872,electron transfer activity;heme binding;iron ion binding;metal ion binding,GO:0006122,"mitochondrial electron transport, ubiquinol to cytochrome c",N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.10.2.2 (Transferred entry: 7.1.1.8);7.1.1.8 (Quinol--cytochrome-c reductase),,,,,,
B9J08_000175,B9J08_000175-t37_1,"calcium-translocating P-type ATPase, PMCA-type",GO:0000329;GO:0071627;GO:0016021,fungal-type vacuole membrane;integral component of fungal-type vacuolar membrane;integral component of membrane,GO:0005524;GO:0005388;GO:0046872;GO:0000166,ATP binding;P-type calcium transporter activity;metal ion binding;nucleotide binding,GO:0006816;GO:0006874;GO:0055085,calcium ion transport;cellular calcium ion homeostasis;transmembrane transport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.14.13.196 (L-ornithine N(5)-monooxygenase (NAD(P)H));3.6.3.- (Acting on acid anhydrides; catalyzing transmembrane movement of substances.);3.6.3.8 (Transferred entry: 7.2.2.10);5.1.3.1 (Ribulose-phosphate 3-epimerase);7.2.2.10 (P-type Ca(2+) transporter),,,,,,
B9J08_000178,B9J08_000178-t37_1,oleate-induced peroxisomal protein POX18,N/A,N/A,GO:0032934,sterol binding,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.1.1.- (With NAD(+) or NADP(+) as acceptor.);1.1.1.62 (17-beta-estradiol 17-dehydrogenase);4.2.1.119 (Enoyl-CoA hydratase 2),,,,,,
B9J08_000185,B9J08_000185-t37_1,40S ribosomal protein S7-A,GO:0005840;GO:0032040,ribosome;small-subunit processome,GO:0003735,structural constituent of ribosome,GO:0042254;GO:0006412,ribosome biogenesis;translation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000186,B9J08_000186-t37_1,ribose-5-phosphate isomerase,N/A,N/A,GO:0004751,ribose-5-phosphate isomerase activity,GO:0006098;GO:0009052;GO:0008615,"pentose-phosphate shunt;pentose-phosphate shunt, non-oxidative branch;pyridoxine biosynthetic process",N/A,N/A,N/A,N/A,N/A,N/A,5.3.1.6 (Ribose-5-phosphate isomerase),5.3.1.6 (Ribose-5-phosphate isomerase),,,,,,
B9J08_000188,B9J08_000188-t37_1,pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43,GO:0005684;GO:0071014,U2-type spliceosomal complex;post-mRNA release spliceosomal complex,GO:0005524;GO:0003724;GO:0004386;GO:0003676;GO:0000166,ATP binding;RNA helicase activity;helicase activity;nucleic acid binding;nucleotide binding,GO:0000466;GO:0000463;GO:0030490;GO:0000462;GO:0006364;GO:0042273;GO:0000390,"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);maturation of SSU-rRNA;maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);rRNA proc",N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.1.1.96 (D-aminoacyl-tRNA deacylase);3.4.22.44 (Nuclear-inclusion-a endopeptidase);3.6.1.15 (Nucleoside-triphosphate phosphatase);3.6.1.3 (Deleted entry);3.6.4.13 (RNA helicase),,,,,,
B9J08_000191,B9J08_000191-t37_1,tRNA-Glu,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000192,B9J08_000192-t37_1,DNA-directed RNA polymerase I subunit RPA2,GO:0005736;GO:0005634,RNA polymerase I complex;nucleus,GO:0003677;GO:0003899;GO:0001054;GO:0032549,DNA binding;DNA-directed 5'-3' RNA polymerase activity;RNA polymerase I activity;ribonucleoside binding,GO:0042790;GO:0006360;GO:0006351,"nucleolar large rRNA transcription by RNA polymerase I;transcription by RNA polymerase I;transcription, DNA-templated",N/A,N/A,N/A,N/A,N/A,N/A,2.7.7.6 (DNA-directed RNA polymerase),2.7.7.6 (DNA-directed RNA polymerase),,,,,,
B9J08_000200,B9J08_000200-t37_1,leucine-tRNA ligase,GO:0005739,mitochondrion,GO:0005524;GO:0002161;GO:0004812;GO:0004823;GO:0000166;GO:0097157,ATP binding;aminoacyl-tRNA editing activity;aminoacyl-tRNA ligase activity;leucine-tRNA ligase activity;nucleotide binding;pre-mRNA intronic binding,GO:0000372;GO:0006429;GO:0032543;GO:0006418,Group I intron splicing;leucyl-tRNA aminoacylation;mitochondrial translation;tRNA aminoacylation for protein translation,N/A,N/A,N/A,N/A,N/A,N/A,6.1.1.4 (Leucine--tRNA ligase),2.8.1.8 (Lipoyl synthase);4.1.1.97 (2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase);6.1.1.4 (Leucine--tRNA ligase),,,,,,
B9J08_000203,B9J08_000203-t37_1,40S ribosomal protein S9-A,GO:0022627;GO:0015935;GO:0032040,cytosolic small ribosomal subunit;small ribosomal subunit;small-subunit processome,GO:0003723;GO:0019843;GO:0003735,RNA binding;rRNA binding;structural constituent of ribosome,GO:0000462;GO:0045903;GO:0006412,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);positive regulation of translational fidelity;translation",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000209,B9J08_000209-t37_1,60S acidic ribosomal protein P1-B,GO:0022625;GO:0005840,cytosolic large ribosomal subunit;ribosome,GO:0003735,structural constituent of ribosome,GO:0002181;GO:0006414,cytoplasmic translation;translational elongation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.2.99.18 (DNA-(apurinic or apyrimidinic site) lyase),,,,,,
B9J08_000212,B9J08_000212-t37_1,tRNA-Thr,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000215,B9J08_000215-t37_1,"DNA-directed RNA polymerase I, II, and III subunit RPABC5",GO:0005736;GO:0005665;GO:0005666,"RNA polymerase I complex;RNA polymerase II, core complex;RNA polymerase III complex",GO:0003677;GO:0003899;GO:0001054;GO:0001055;GO:0001056;GO:0003968;GO:0008270,DNA binding;DNA-directed 5'-3' RNA polymerase activity;RNA polymerase I activity;RNA polymerase II activity;RNA polymerase III activity;RNA-directed 5'-3' RNA polymerase activity;zinc ion binding,GO:0042797;GO:0006360;GO:0006366;GO:0006383;GO:0006351,"tRNA transcription by RNA polymerase III;transcription by RNA polymerase I;transcription by RNA polymerase II;transcription by RNA polymerase III;transcription, DNA-templated",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.7.11.26 ([Tau protein] kinase);2.7.7.6 (DNA-directed RNA polymerase),,,,,,
B9J08_000217,B9J08_000217-t37_1,ribosomal protein L27,GO:0005762;GO:0005739;GO:0005840,mitochondrial large ribosomal subunit;mitochondrion;ribosome,GO:0003735,structural constituent of ribosome,GO:0006412,translation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000218,B9J08_000218-t37_1,tRNA-Gly,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000219,B9J08_000219-t37_1,tRNA-Asp,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_000223,B9J08_000223-t37_1,GTP-binding protein YchF,N/A,N/A,GO:0005524;GO:0005525,ATP binding;GTP binding,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.1.1.3 (Threonine--tRNA ligase),3.6.5.- (Acting on GTP; involved in cellular and subcellular movement.);6.1.1.3 (Threonine--tRNA ligase),,,,,,
B9J08_000229,B9J08_000229-t37_1,3-isopropylmalate dehydrogenase,GO:0005829,cytosol,GO:0003862;GO:0051287;GO:0000287;GO:0046872;GO:0016616,"3-isopropylmalate dehydrogenase activity;NAD binding;magnesium ion binding;metal ion binding;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",GO:0006097;GO:0009098;GO:0055114,glyoxylate cycle;leucine biosynthetic process;obsolete oxidation-reduction process,N/A,N/A,N/A,N/A,N/A,N/A,1.1.1.85 (3-isopropylmalate dehydrogenase),1.1.1.85 (3-isopropylmalate dehydrogenase);3.1.3.1 (Alkaline phosphatase),,,,,,
B9J08_000230,B9J08_000230-t37_1,"cysteine desulfurase, mitochondrial",GO:1990221;GO:0005739;GO:0005634,L-cysteine desulfurase complex;mitochondrion;nucleus,GO:0003824;GO:0031071;GO:0051536;GO:0046872;GO:0030170,catalytic activity;cysteine desulfurase activity;iron-sulfur cluster binding;metal ion binding;pyridoxal phosphate binding,GO:0044571;GO:0006879;GO:0016226;GO:0070903;GO:0034227;GO:0002143;GO:0002098,[2Fe-2S] cluster assembly;cellular iron ion homeostasis;iron-sulfur cluster assembly;mitochondrial tRNA thio-modification;tRNA thio-modification;tRNA wobble position uridine thiolation;tRNA wobble uridine modification,N/A,N/A,N/A,N/A,N/A,N/A,2.8.1.7 (Cysteine desulfurase),2.8.1.7 (Cysteine desulfurase);4.4.1.16 (Selenocysteine lyase);4.4.1.7 (Transferred entry: 2.5.1.18),,,,,,
B9J08_000254,B9J08_000254-t37_1,40S ribosomal protein S17-B,GO:0005840,ribosome,GO:0003735,structural constituent of ribosome,GO:0000028;GO:0006412,ribosomal small subunit assembly;translation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
