Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Transcript Product Description	Computed GO Component IDs	Computed GO Components	Computed GO Function IDs	Computed GO Functions	Computed GO Process IDs	Computed GO Processes	Curated GO Component IDs	Curated GO Components	Curated GO Function IDs	Curated GO Functions	Curated GO Process IDs	Curated GO Processes	EC numbers	EC numbers from OrthoMCL
B9J08_000014	B9J08_000014-t37_1	Candida auris strain B8441	PEKT02000001:35,455..37,227(+)	hypothetical protein	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_000015	B9J08_000015-t37_1	Candida auris strain B8441	PEKT02000001:37,837..39,132(+)	homocitrate synthase, mitochondrial	homocitrate synthase, mitochondrial	GO:0005634	nucleus	GO:0046912;GO:0003824;GO:0004410	acyltransferase, acyl groups converted into alkyl on transfer;catalytic activity;homocitrate synthase activity	GO:0019752;GO:0009085;GO:0019878	carboxylic acid metabolic process;lysine biosynthetic process;lysine biosynthetic process via aminoadipic acid	N/A	N/A	N/A	N/A	N/A	N/A	2.3.3.13 (2-isopropylmalate synthase);2.3.3.14 (Homocitrate synthase)	2.3.3.13 (2-isopropylmalate synthase);2.3.3.14 (Homocitrate synthase)
B9J08_000016	B9J08_000016-t37_1	Candida auris strain B8441	PEKT02000001:39,735..42,545(-)	hypothetical protein	hypothetical protein	GO:0016021;GO:0005886	integral component of membrane;plasma membrane	N/A	N/A	GO:0007165	signal transduction	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_000017	B9J08_000017-t37_1	Candida auris strain B8441	PEKT02000001:42,709..44,604(-)	hypothetical protein	hypothetical protein	GO:0005811	lipid droplet	GO:0016788;GO:0016791;GO:0004725;GO:0008138;GO:0004806	hydrolase activity, acting on ester bonds;phosphatase activity;protein tyrosine phosphatase activity;protein tyrosine/serine/threonine phosphatase activity;triglyceride lipase activity	GO:0016311;GO:0055088;GO:0006470	dephosphorylation;lipid homeostasis;protein dephosphorylation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.1.3.33 (Polynucleotide 5'-phosphatase);3.1.3.48 (Protein-tyrosine-phosphatase)
B9J08_000018	B9J08_000018-t37_1	Candida auris strain B8441	PEKT02000001:45,482..48,889(+)	hypothetical protein	hypothetical protein	GO:0005794;GO:0000139;GO:0005768;GO:0016021;GO:0005770;GO:0005802	Golgi apparatus;Golgi membrane;endosome;integral component of membrane;late endosome;trans-Golgi network	GO:0005524;GO:0019829;GO:0140326;GO:0000287;GO:0046872;GO:0000166	ATP binding;ATPase-coupled cation transmembrane transporter activity;ATPase-coupled intramembrane lipid transporter activity;magnesium ion binding;metal ion binding;nucleotide binding	GO:0006812;GO:0006897;GO:0045332;GO:0015914;GO:0006890;GO:0007033	cation transport;endocytosis;phospholipid translocation;phospholipid transport;retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum;vacuole organization	N/A	N/A	N/A	N/A	N/A	N/A	7.6.2.1 (P-type phospholipid transporter)	3.2.1.28 (Alpha,alpha-trehalase);3.6.1.- (In phosphorus-containing anhydrides.);3.6.3.1 (Transferred entry: 7.6.2.1);7.6.2.1 (P-type phospholipid transporter)
B9J08_000019	B9J08_000019-t37_1	Candida auris strain B8441	PEKT02000001:51,614..52,690(-)	hypothetical protein	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_000020	B9J08_000020-t37_1	Candida auris strain B8441	PEKT02000001:54,031..55,981(+)	ATP synthase subunit alpha, mitochondrial	ATP synthase subunit alpha, mitochondrial	GO:0042645;GO:0005754;GO:0005739;GO:0045261	mitochondrial nucleoid;mitochondrial proton-transporting ATP synthase, catalytic core;mitochondrion;proton-transporting ATP synthase complex, catalytic core F(1)	GO:0005524;GO:0016887;GO:0032559;GO:0046933;GO:0046961	ATP binding;ATP hydrolysis activity;adenyl ribonucleotide binding;proton-transporting ATP synthase activity, rotational mechanism;proton-transporting ATPase activity, rotational mechanism	GO:0046034;GO:0015986;GO:1902600	ATP metabolic process;ATP synthesis coupled proton transport;proton transmembrane transport	N/A	N/A	N/A	N/A	N/A	N/A	7.1.2.2 (H(+)-transporting two-sector ATPase)	3.4.21.68 (T-plasminogen activator);3.6.3.14 (Transferred entry: 7.1.2.2);7.1.2.2 (H(+)-transporting two-sector ATPase)
B9J08_000021	B9J08_000021-t37_1	Candida auris strain B8441	PEKT02000001:56,212..57,663(+)	hypothetical protein	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_000022	B9J08_000022-t37_1	Candida auris strain B8441	PEKT02000001:57,805..58,566(+)	hypothetical protein	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_000023	B9J08_000023-t37_1	Candida auris strain B8441	PEKT02000001:58,583..61,180(-)	aminopeptidase 2	aminopeptidase 2	GO:0061957;GO:0030287;GO:0005576;GO:0000328;GO:0005771	NVT complex;cell wall-bounded periplasmic space;extracellular region;fungal-type vacuole lumen;multivesicular body	GO:0004177;GO:0070006;GO:0008237;GO:0008270	aminopeptidase activity;metalloaminopeptidase activity;metallopeptidase activity;zinc ion binding	GO:0120113;GO:0043171;GO:0006508	cytoplasm to vacuole transport by the NVT pathway;peptide catabolic process;proteolysis	N/A	N/A	N/A	N/A	N/A	N/A	3.4.11.- (Aminopeptidases.)	3.4.11.1 (Leucyl aminopeptidase);3.4.11.14 (Cytosol alanyl aminopeptidase);3.4.11.2 (Membrane alanyl aminopeptidase)
B9J08_000024	B9J08_000024-t37_1	Candida auris strain B8441	PEKT02000001:62,472..62,897(-)	hypothetical protein	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_000025	B9J08_000025-t37_1	Candida auris strain B8441	PEKT02000001:63,157..63,899(-)	hypothetical protein	hypothetical protein	GO:0005634	nucleus	GO:0000993;GO:0003755	RNA polymerase II complex binding;peptidyl-prolyl cis-trans isomerase activity	GO:0080182;GO:0031064;GO:0000122;GO:2000059;GO:0045899;GO:0035307;GO:2000749;GO:0045944;GO:0000413;GO:0007346;GO:1901407;GO:0006369	histone H3-K4 trimethylation;negative regulation of histone deacetylation;negative regulation of transcription by RNA polymerase II;negative regulation of ubiquitin-dependent protein catabolic process;positive regulation of RNA polymerase II transcription preinitiation complex assembly;positive regu	N/A	N/A	N/A	N/A	N/A	N/A	5.2.1.8 (Peptidylprolyl isomerase)	3.6.1.7 (Acylphosphatase);5.2.1.8 (Peptidylprolyl isomerase)
B9J08_000026	B9J08_000026-t37_1	Candida auris strain B8441	PEKT02000001:64,697..65,602(-)	hypothetical protein	hypothetical protein	GO:0005737;GO:0005634	cytoplasm;nucleus	GO:0005524;GO:0004017;GO:0004127;GO:0019205;GO:0009041	ATP binding;adenylate kinase activity;cytidylate kinase activity;nucleobase-containing compound kinase activity;uridylate kinase activity	GO:0006207;GO:0006139;GO:0046939;GO:0006221	'de novo' pyrimidine nucleobase biosynthetic process;nucleobase-containing compound metabolic process;nucleotide phosphorylation;pyrimidine nucleotide biosynthetic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.4.14 (UMP/CMP kinase);2.7.4.3 (Adenylate kinase)	2.7.4.10 (Nucleoside-triphosphate--adenylate kinase);2.7.4.14 (UMP/CMP kinase);2.7.4.3 (Adenylate kinase);2.7.4.6 (Nucleoside-diphosphate kinase)
B9J08_000027	B9J08_000027-t37_1	Candida auris strain B8441	PEKT02000001:65,993..66,782(-)	hypothetical protein	hypothetical protein	N/A	N/A	GO:0016491	oxidoreductase activity	GO:0008152	metabolic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.1.1.320 (Benzil reductase ((S)-benzoin forming))
B9J08_000028	B9J08_000028-t37_1	Candida auris strain B8441	PEKT02000001:67,244..69,280(+)	hypothetical protein	hypothetical protein	GO:0031251	PAN complex	GO:0005524;GO:0003723;GO:0046872;GO:0008143;GO:0004535;GO:0004672	ATP binding;RNA binding;metal ion binding;poly(A) binding;poly(A)-specific ribonuclease activity;protein kinase activity	GO:0006281;GO:0006397;GO:0000289;GO:0006301;GO:0006468	DNA repair;mRNA processing;nuclear-transcribed mRNA poly(A) tail shortening;postreplication repair;protein phosphorylation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.1.13.4 (Poly(A)-specific ribonuclease)
B9J08_000029	B9J08_000029-t37_1	Candida auris strain B8441	PEKT02000001:70,429..71,274(+)	hypothetical protein	hypothetical protein	GO:0000307;GO:0005634	cyclin-dependent protein kinase holoenzyme complex;nucleus	GO:0016538;GO:0019901	cyclin-dependent protein serine/threonine kinase regulator activity;protein kinase binding	GO:0043433;GO:0016242;GO:0000079;GO:0031647	negative regulation of DNA-binding transcription factor activity;negative regulation of macroautophagy;regulation of cyclin-dependent protein serine/threonine kinase activity;regulation of protein stability	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_000030	B9J08_000030-t37_1	Candida auris strain B8441	PEKT02000001:73,212..74,045(-)	hypothetical protein	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_000031	B9J08_000031-t37_1	Candida auris strain B8441	PEKT02000001:75,420..76,643(-)	hypothetical protein	hypothetical protein	GO:0032153;GO:0032174;GO:0005737;GO:0005634	cell division site;cellular bud neck septin collar;cytoplasm;nucleus	GO:0030332;GO:0008047;GO:0042393;GO:0051082	cyclin binding;enzyme activator activity;histone binding;unfolded protein binding	GO:0006336;GO:0006607;GO:0007117;GO:0006334;GO:0006337;GO:0043085;GO:0031116;GO:0032968;GO:0098841;GO:0042274	DNA replication-independent chromatin assembly;NLS-bearing protein import into nucleus;budding cell bud growth;nucleosome assembly;nucleosome disassembly;positive regulation of catalytic activity;positive regulation of microtubule polymerization;positive regulation of transcription elongation from R	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.3.2.23 (E2 ubiquitin-conjugating enzyme)
B9J08_000032	B9J08_000032-t37_1	Candida auris strain B8441	PEKT02000001:76,885..79,317(-)	hypothetical protein	hypothetical protein	GO:0016021;GO:0005779;GO:0005777	integral component of membrane;integral component of peroxisomal membrane;peroxisome	GO:0005524;GO:0016887;GO:0042626;GO:0017111;GO:0000166	ATP binding;ATP hydrolysis activity;ATPase-coupled transmembrane transporter activity;nucleoside-triphosphatase activity;nucleotide binding	GO:0015908;GO:0055085	fatty acid transport;transmembrane transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.6.1.15 (Nucleoside-triphosphate phosphatase);3.6.1.3 (Deleted entry);3.6.3.44 (Transferred entry: 7.6.2.2);7.6.2.4 (ABC-type fatty-acyl-CoA transporter)
B9J08_000033	B9J08_000033-t37_1	Candida auris strain B8441	PEKT02000001:81,527..83,089(+)	hypothetical protein	hypothetical protein	GO:0016021	integral component of membrane	GO:0022857	transmembrane transporter activity	GO:0055085	transmembrane transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_000034	B9J08_000034-t37_1	Candida auris strain B8441	PEKT02000001:83,616..84,602(-)	hypothetical protein	hypothetical protein	GO:0016021;GO:0005743	integral component of membrane;mitochondrial inner membrane	GO:0034658;GO:1901239;GO:0015131;GO:0015116	isopropylmalate transmembrane transporter activity;malonate(1-) transmembrane transporter activity;oxaloacetate transmembrane transporter activity;sulfate transmembrane transporter activity	GO:0034659;GO:0015729;GO:0008272	isopropylmalate transport;oxaloacetate transport;sulfate transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_000035	B9J08_000035-t37_1	Candida auris strain B8441	PEKT02000001:85,711..86,541(+)	hypothetical protein	hypothetical protein	N/A	N/A	GO:0016787	hydrolase activity	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_000036	B9J08_000036-t37_1	Candida auris strain B8441	PEKT02000001:87,190..88,029(+)	hypothetical protein	hypothetical protein	N/A	N/A	GO:0016787	hydrolase activity	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_000037	B9J08_000037-t37_1	Candida auris strain B8441	PEKT02000001:88,339..91,479(+)	hypothetical protein	hypothetical protein	GO:0005758;GO:0005739	mitochondrial intermembrane space;mitochondrion	GO:0003824;GO:0046872;GO:0004222	catalytic activity;metal ion binding;metalloendopeptidase activity	GO:0006508;GO:0051603	proteolysis;proteolysis involved in cellular protein catabolic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.4.24.- (Metalloendopeptidases.);3.4.24.55 (Pitrilysin);3.4.24.56 (Insulysin);3.4.24.64 (Mitochondrial processing peptidase);4.4.1.21 (S-ribosylhomocysteine lyase)
B9J08_000038	B9J08_000038-t37_1	Candida auris strain B8441	PEKT02000001:91,564..91,773(-)	ribosomal protein L33	ribosomal protein L33	GO:0005762;GO:0005840	mitochondrial large ribosomal subunit;ribosome	GO:0003735	structural constituent of ribosome	GO:0006412	translation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_000039	B9J08_000039-t37_1	Candida auris strain B8441	PEKT02000001:92,509..93,147(+)	hypothetical protein	hypothetical protein	GO:0030134;GO:0016021	COPII-coated ER to Golgi transport vesicle;integral component of membrane	N/A	N/A	GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_000040	B9J08_000040-t37_1	Candida auris strain B8441	PEKT02000001:93,149..95,092(-)	hypothetical protein	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_000041	B9J08_000041-t37_1	Candida auris strain B8441	PEKT02000001:95,228..95,914(-)	hypothetical protein	hypothetical protein	N/A	N/A	N/A	N/A	GO:0006289	nucleotide-excision repair	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_000042	B9J08_000042-t37_1	Candida auris strain B8441	PEKT02000001:96,068..97,012(+)	hypothetical protein	hypothetical protein	GO:0042645	mitochondrial nucleoid	GO:0003941;GO:0004794;GO:0030170	L-serine ammonia-lyase activity;L-threonine ammonia-lyase activity;pyridoxal phosphate binding	GO:0006565;GO:0006520;GO:0006567	L-serine catabolic process;cellular amino acid metabolic process;threonine catabolic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4.3.1.17 (L-serine ammonia-lyase);4.3.1.19 (Threonine ammonia-lyase)
B9J08_000043	B9J08_000043-t37_1	Candida auris strain B8441	PEKT02000001:97,444..99,981(+)	hypothetical protein	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_000044	B9J08_000044-t37_1	Candida auris strain B8441	PEKT02000001:100,488..103,847(+)	hypothetical protein	hypothetical protein	GO:0005634	nucleus	GO:0031151;GO:0018024;GO:0031493	histone methyltransferase activity (H3-K79 specific);histone-lysine N-methyltransferase activity;nucleosomal histone binding	GO:0000077;GO:0006348;GO:0070911;GO:0034729;GO:0043486;GO:0051598;GO:0031573;GO:0031452;GO:0006334;GO:0006289;GO:0006301;GO:0000725;GO:0051726	DNA damage checkpoint signaling;chromatin silencing at telomere;global genome nucleotide-excision repair;histone H3-K79 methylation;histone exchange;meiotic recombination checkpoint signaling;mitotic intra-S DNA damage checkpoint signaling;negative regulation of heterochromatin assembly;nucleosome a	N/A	N/A	N/A	N/A	N/A	N/A	2.1.1.360 ([Histone H3]-lysine(79) N-trimethyltransferase)	2.1.1.360 ([Histone H3]-lysine(79) N-trimethyltransferase);2.1.1.43 (Transferred entry: 2.1.1.354)
B9J08_000045	B9J08_000045-t37_1	Candida auris strain B8441	PEKT02000001:103,891..107,106(-)	ISWI chromatin-remodeling complex ATPase ISW2	ISWI chromatin-remodeling complex ATPase ISW2	GO:0008623;GO:0005880;GO:0005634	CHRAC;nuclear microtubule;nucleus	GO:0005524;GO:0015616;GO:0019237;GO:0003682;GO:0004386;GO:0016818;GO:0003676;GO:0031491;GO:0070615;GO:0003697	ATP binding;DNA translocase activity;centromeric DNA binding;chromatin binding;helicase activity;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;nucleic acid binding;nucleosome binding;nucleosome-dependent ATPase activity;single-stranded DNA binding	GO:0043044;GO:0006338;GO:0006348;GO:0060195;GO:0046020;GO:0016584;GO:0000183;GO:0006369	ATP-dependent chromatin remodeling;chromatin remodeling;chromatin silencing at telomere;negative regulation of antisense RNA transcription;negative regulation of transcription from RNA polymerase II promoter by pheromones;nucleosome positioning;rDNA heterochromatin assembly;termination of RNA polyme	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.7.11.1 (Non-specific serine/threonine protein kinase);3.2.2.27 (Uracil-DNA glycosylase);3.6.1.- (In phosphorus-containing anhydrides.);3.6.1.3 (Deleted entry);3.6.4.- (Acting on ATP; involved in cellular and subcellular movement.);3.6.4.12 (DNA helicase)
B9J08_000046	B9J08_000046-t37_1	Candida auris strain B8441	PEKT02000001:107,511..108,623(-)	uracil-DNA glycosylase	uracil-DNA glycosylase	GO:0005737;GO:0005739;GO:0005634	cytoplasm;mitochondrion;nucleus	GO:0004844	uracil DNA N-glycosylase activity	GO:0006281;GO:0006284	DNA repair;base-excision repair	N/A	N/A	N/A	N/A	N/A	N/A	3.2.2.27 (Uracil-DNA glycosylase)	3.2.2.27 (Uracil-DNA glycosylase)
B9J08_000047	B9J08_000047-t37_1	Candida auris strain B8441	PEKT02000001:108,971..110,038(-)	hypothetical protein	hypothetical protein	GO:0005789;GO:0016021;GO:0008250	endoplasmic reticulum membrane;integral component of membrane;oligosaccharyltransferase complex	GO:0015035	protein-disulfide reductase activity	GO:0034622;GO:0006487	cellular protein-containing complex assembly;protein N-linked glycosylation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.4.99.18 (Dolichyl-diphosphooligosaccharide--protein glycotransferase)
B9J08_000048	B9J08_000048-t37_1	Candida auris strain B8441	PEKT02000001:110,240..111,454(-)	hypothetical protein	hypothetical protein	GO:0016021;GO:0016020	integral component of membrane;membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_000049	B9J08_000049-t37_1	Candida auris strain B8441	PEKT02000001:111,983..112,801(-)	hypothetical protein	hypothetical protein	GO:0005618;GO:0005576	cell wall;extracellular region	N/A	N/A	GO:0006078;GO:0006077;GO:0042546;GO:0031505	(1->6)-beta-D-glucan biosynthetic process;(1->6)-beta-D-glucan metabolic process;cell wall biogenesis;fungal-type cell wall organization	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_000050	B9J08_000050-t37_1	Candida auris strain B8441	PEKT02000001:113,741..114,541(-)	hypothetical protein	hypothetical protein	GO:0005618;GO:0005576	cell wall;extracellular region	N/A	N/A	GO:0006078;GO:0042546	(1->6)-beta-D-glucan biosynthetic process;cell wall biogenesis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_000051	B9J08_000051-t37_1	Candida auris strain B8441	PEKT02000001:115,435..116,133(+)	mitochondrial genome maintenance protein MGM101	mitochondrial genome maintenance protein MGM101	GO:0000262;GO:0042645	mitochondrial chromosome;mitochondrial nucleoid	GO:0003697	single-stranded DNA binding	GO:0006281;GO:0036297;GO:0000002;GO:0000725	DNA repair;interstrand cross-link repair;mitochondrial genome maintenance;recombinational repair	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_000052	B9J08_000052-t37_1	Candida auris strain B8441	PEKT02000001:116,280..116,870(-)	hypothetical protein	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	7.1.1.2 (NADH:ubiquinone reductase (H(+)-translocating))
B9J08_000053	B9J08_000053-t37_1	Candida auris strain B8441	PEKT02000001:118,060..118,581(+)	hypothetical protein	hypothetical protein	GO:0016021;GO:0031307;GO:0005742	integral component of membrane;integral component of mitochondrial outer membrane;mitochondrial outer membrane translocase complex	GO:0030943;GO:0008320	mitochondrion targeting sequence binding;protein transmembrane transporter activity	GO:0006886;GO:0070096;GO:0030150;GO:0006605;GO:0016031	intracellular protein transport;mitochondrial outer membrane translocase complex assembly;protein import into mitochondrial matrix;protein targeting;tRNA import into mitochondrion	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_000054	B9J08_000054-t37_1	Candida auris strain B8441	PEKT02000001:118,734..120,224(+)	hypothetical protein	hypothetical protein	GO:0009277	fungal-type cell wall	GO:0004338;GO:0004553	glucan exo-1,3-beta-glucosidase activity;hydrolase activity, hydrolyzing O-glycosyl compounds	GO:0005975	carbohydrate metabolic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.2.1.58 (Glucan 1,3-beta-glucosidase)
B9J08_000055	B9J08_000055-t37_1	Candida auris strain B8441	PEKT02000001:120,331..121,410(+)	hypothetical protein	hypothetical protein	N/A	N/A	GO:0050661;GO:0004412;GO:0016491	NADP binding;homoserine dehydrogenase activity;oxidoreductase activity	GO:0006520;GO:0009090;GO:0009097;GO:0009086;GO:0055114;GO:0009088	cellular amino acid metabolic process;homoserine biosynthetic process;isoleucine biosynthetic process;methionine biosynthetic process;obsolete oxidation-reduction process;threonine biosynthetic process	N/A	N/A	N/A	N/A	N/A	N/A	1.1.1.3 (Homoserine dehydrogenase)	1.1.1.3 (Homoserine dehydrogenase)
