Beta FungiDB ID,Beta FungiDB Name
B9J08_000092,"Dynein heavy chain, ATPase lid domain | P-loop containing dynein motor region D4 | Dynein heavy chain region D6 P-loop domain | Dynein heavy chain AAA lid domain | Dynein heavy chain AAA lid domain | P-loop containing dynein motor region | Hydrolytic ATP binding site of dynein motor region | Dynein heavy chain, N-terminal region 1 | Microtubule-binding stalk of dynein motor | Dynein heavy chain, N-terminal region 2 | ATP-binding dynein motor region | domain-containing protein"
B9J08_000093,EF-hand domain pair | Mitochondrial carrier protein | domain-containing protein
B9J08_000094,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase | MutL C terminal dimerisation domain | DNA mismatch repair protein, C-terminal domain | domain-containing protein"
B9J08_000095,Fungal Zn(2)-Cys(6) binuclear cluster domain | domain-containing protein
B9J08_000096,Fungal Zn(2)-Cys(6) binuclear cluster domain | domain-containing protein
B9J08_000097,Carnosine N-methyltransferase | domain-containing protein
B9J08_000098,Ras family | domain-containing protein
B9J08_000099,Ca3427-like PBP | domain-containing protein
B9J08_000100,Protein-tyrosine phosphatase | domain-containing protein
B9J08_000101,KH domain | domain-containing protein
B9J08_000102,Hsp70 protein | domain-containing protein
B9J08_000103,non-specific serine/threonine protein kinase
B9J08_000104,unspecified product
B9J08_000105,"NUDIX domain | Dcp2, box A domain | domain-containing protein"
B9J08_000106,ATP10 protein | domain-containing protein
B9J08_000107,Ribosomal protein S10p/S20e | domain-containing protein
B9J08_000108,Protein phosphatase 2C | domain-containing protein
B9J08_000109,"Exosome RNA helicase MTR4-like, stalk | DEAD/DEAH box helicase | Ski2, beta-barrel domain | DSHCT (NUC185) domain | Ski2 N-terminal region | Helicase conserved C-terminal domain | domain-containing protein"
B9J08_000110,unspecified product
B9J08_000111,ATPase family associated with various cellular activities (AAA) | AAA+ lid domain | domain-containing protein
B9J08_000112,Pex19 protein family | domain-containing protein
B9J08_000113,Ubiquitin-conjugating enzyme | domain-containing protein
B9J08_000114,6-phosphofructo-2-kinase | Histidine phosphatase superfamily (branch 1) | domain-containing protein
B9J08_000115,Peptidase family S64 | domain-containing protein
B9J08_000116,unspecified product
B9J08_000117,unspecified product
B9J08_000118,unspecified product
B9J08_000119,unspecified product
B9J08_000120,"Tsr1, G-like domain | 40S ribosome biogenesis protein Tsr1 and BMS1 C-terminal | AARP2CN (NUC121) domain | domain-containing protein"
B9J08_000121,C2H2 type zinc-finger (2 copies) | domain-containing protein
B9J08_000122,DnaJ domain | DnaJ C terminal domain | DnaJ central domain | domain-containing protein
B9J08_000123,Vacuolar protein 14 C-terminal Fig4p binding | Vacuolar 14 Fab1-binding region | domain-containing protein
B9J08_000124,unspecified product
B9J08_000127,Pyridine nucleotide-disulphide oxidoreductase | domain-containing protein
B9J08_000128,Lipase (class 3) | domain-containing protein
B9J08_000129,Uncharacterised protein family (UPF0203) | domain-containing protein
B9J08_000130,DASH complex subunit Ask1 | domain-containing protein
B9J08_000131,RhoGAP domain | LIM domain | domain-containing protein
B9J08_000132,Anp1 | domain-containing protein
B9J08_000133,SMC proteins Flexible Hinge Domain | RecF/RecN/SMC N terminal domain | domain-containing protein
B9J08_000134,Integral peroxisomal membrane peroxin | domain-containing protein
B9J08_000135,Prp18 domain | domain-containing protein
B9J08_000136,Ribosomal L38e protein family | domain-containing protein
B9J08_000137,"TFIIF, beta subunit N-terminus | TFIIF, beta subunit HTH domain | domain-containing protein"
B9J08_000138,"Arginine-tRNA-protein transferase, N terminus | Arginine-tRNA-protein transferase, C terminus | domain-containing protein"
B9J08_000139,LicD family | domain-containing protein
B9J08_000140,Cytochrome c oxidase subunit VIa | domain-containing protein
B9J08_000141,"WD domain, G-beta repeat | domain-containing protein"
B9J08_000142,Ribosomal protein S26e | domain-containing protein
B9J08_000143,Cytochrome c oxidase subunit Vb | domain-containing protein
B9J08_000144,"D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain | D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain | domain-containing protein"
B9J08_000145,Actin cytoskeleton-regulatory complex protein SLA1
B9J08_000146,MT-A70 | domain-containing protein
B9J08_000147,2-hydroxy-palmitic acid dioxygenase Mpo1-like | domain-containing protein
B9J08_000148,"STT3/PglB/AglB core domain | Oligosaccharyl transferase STT3, N-terminal | domain-containing protein"
B9J08_000149,FYVE zinc finger | domain-containing protein
B9J08_000150,Succinate dehydrogenase/Fumarate reductase transmembrane subunit | domain-containing protein
B9J08_000151,unspecified product
B9J08_000152,Minimal binding motif of Hap4 for binding to Hap2/3/5 | domain-containing protein
B9J08_000153,DASH complex subunit Hsk3 like | domain-containing protein
B9J08_000154,Cytochrome c oxidase biogenesis protein Cmc1 like | domain-containing protein
B9J08_000155,Spc24 subunit of Ndc80 | domain-containing protein
B9J08_000156,Mitochondrial ribosomal protein L31 | domain-containing protein
B9J08_000157,ECL1/2/3 zinc binding proteins | domain-containing protein
B9J08_000158,unspecified product
B9J08_000159,unspecified product
B9J08_000160,PWI domain | domain-containing protein
B9J08_000161,PRP39 C-terminal HAT repeat | PRP39 N-terminal HAT repeat | domain-containing protein
B9J08_000162,DNA repair protein rhp7 treble clef domain | domain-containing protein
B9J08_000163,tRNAHis guanylyltransferase
B9J08_000164,ABC-2 type transporter | ABC-transporter N-terminal | ABC transporter | CDR ABC transporter | domain-containing protein
B9J08_000165,Ubiquitin family | domain-containing protein
B9J08_000166,Pre-mRNA-splicing factor Syf1/CNRKL1 N-terminal HAT repeat | domain-containing protein
B9J08_000168,FAD-binding domain | Ferric reductase like transmembrane component | Ferric reductase NAD binding domain | domain-containing protein
B9J08_000169,sulfiredoxin
B9J08_000170,Iron permease FTR1 family | domain-containing protein
B9J08_000171,Protein kinase domain | domain-containing protein
B9J08_000172,Sugar (and other) transporter | domain-containing protein
B9J08_000173,Cytochrome C1 family | domain-containing protein
B9J08_000174,Cys/Met metabolism PLP-dependent enzyme | domain-containing protein
B9J08_000175,"haloacid dehalogenase-like hydrolase | Cation transporter/ATPase, N-terminus | Cation transporting ATPase, C-terminus | E1-E2 ATPase | Cation transport ATPase (P-type) | domain-containing protein"
B9J08_000176,unspecified product
B9J08_000177,"WD domain, G-beta repeat | domain-containing protein"
B9J08_000178,SCP-2 sterol transfer family | domain-containing protein
B9J08_000179,Regular of rDNA transcription protein 14 | domain-containing protein
B9J08_000180,RNAPII transcription regulator C-terminal | Dos2-interacting transcription regulator of RNA-Pol-II | domain-containing protein
B9J08_000181,Cell morphogenesis central region | Cell morphogenesis N-terminal | Cell morphogenesis C-terminal | domain-containing protein
B9J08_000182,"DRG Family Regulatory Proteins, Tma46 | Zinc finger C-x8-C-x5-C-x3-H type (and similar) | domain-containing protein"
B9J08_000183,"Phosphatidate phosphatase APP1, catalytic domain | domain-containing protein"
B9J08_000184,"Fes/CIP4, and EFC/F-BAR homology domain | SH3 domain | domain-containing protein"
B9J08_000185,Ribosomal protein S7e | domain-containing protein
B9J08_000186,ribose-5-phosphate isomerase
B9J08_000187,ADP-ribosylation factor family | domain-containing protein
B9J08_000188,RNA helicase
B9J08_000189,ABC1 atypical kinase-like domain | domain-containing protein
B9J08_000190,Fusaric acid resistance protein-like | Brefeldin A-sensitivity protein 4-like domain | domain-containing protein
B9J08_000192,DNA-directed RNA polymerase
B9J08_000193,Methyltransferase small domain | domain-containing protein
B9J08_000194,"Zinc knuckle | Splicing factor 1 helix-hairpin domain | KHDC4/BBP-like, KH-domain type I | domain-containing protein"
B9J08_000195,Steryl acetyl hydrolase | domain-containing protein
B9J08_000196,unspecified product
B9J08_000197,unspecified product
B9J08_000198,"WD domain, G-beta repeat | domain-containing protein"
B9J08_000199,unspecified product
B9J08_000200,"tRNA synthetases class I (I, L, M and V) | tRNA synthetases class I (M) | Anticodon-binding domain of tRNA ligase | Leucyl-tRNA synthetase, editing domain | domain-containing protein"
B9J08_000201,Pentacotripeptide-repeat region of PRORP | domain-containing protein
B9J08_000202,Endoribonuclease L-PSP | Diphthamide synthase | domain-containing protein
B9J08_000203,S4 domain | Ribosomal protein S4/S9 N-terminal domain | domain-containing protein
B9J08_000204,"CUX1-like, N-terminal tRNA-binding arm | CASP C terminal | domain-containing protein"
B9J08_000205,unspecified product
B9J08_000206,Sec23/Sec24 trunk domain | Sec23/Sec24 helical domain | domain-containing protein
B9J08_000207,unspecified product
B9J08_000208,Rhomboid domain | domain-containing protein
B9J08_000209,60s Acidic ribosomal protein | domain-containing protein
B9J08_000210,unspecified product
B9J08_000211,unspecified product
B9J08_000213,"Dynamin-like GTPase MGM1-like, lipid interacting stalk | Dynamin family | domain-containing protein"
B9J08_000214,unspecified product
B9J08_000215,RNA polymerases N / 8 kDa subunit | domain-containing protein
B9J08_000216,Peptidase dimerisation domain | Peptidase family M20/M25/M40 | domain-containing protein
B9J08_000217,Ribosomal L27 protein C-terminal domain | Ribosomal L27 protein | domain-containing protein
B9J08_000220,unspecified product
B9J08_000221,unspecified product
B9J08_000222,PLD-like domain | domain-containing protein
B9J08_000223,GTP-binding protein YchF
B9J08_000224,unspecified product
B9J08_000225,SGF29 tudor-like domain | domain-containing protein
B9J08_000226,RNA recognition motif | domain-containing protein
B9J08_000227,unspecified product
B9J08_000228,"RhoGEF domain | Bud3, N-terminal | BUD3 C-terminal PH domain | domain-containing protein"
B9J08_000229,3-isopropylmalate dehydrogenase
B9J08_000230,cysteine desulfurase
B9J08_000231,Mitochondrial carrier protein | domain-containing protein
B9J08_000232,Sister chromatid cohesion protein Dcc1 | domain-containing protein
B9J08_000233,Ribosomal protein L30p/L7e | domain-containing protein
B9J08_000234,RFX BCD domain | RFX DNA-binding domain | domain-containing protein
B9J08_000235,"WD domain, G-beta repeat | domain-containing protein"
B9J08_000236,DnaJ C terminal domain | DnaJ domain | domain-containing protein
B9J08_000237,"MBOAT, membrane-bound O-acyltransferase family | domain-containing protein"
B9J08_000238,HIT domain | domain-containing protein
B9J08_000239,Got1/Sft2-like family | domain-containing protein
B9J08_000240,Ubiquitin-2 like Rad60 SUMO-like | domain-containing protein
B9J08_000241,unspecified product
B9J08_000242,ThiF family | Rhodanese-like domain | domain-containing protein
B9J08_000243,emp24/gp25L/p24 family/GOLD | domain-containing protein
B9J08_000244,Tyrosine phosphatase family | domain-containing protein
B9J08_000245,ESF1 RRM domain | NUC153 domain | domain-containing protein
B9J08_000246,TLD | domain-containing protein
B9J08_000247,Inositolphosphorylceramide synthase subunit Kei1 | domain-containing protein
B9J08_000248,"Serine/threonine-protein kinase RIO1, non-specific serine/threonine protein kinase"
B9J08_000249,unspecified product
B9J08_000250,Helix-loop-helix DNA-binding domain | domain-containing protein
B9J08_000251,Aminopeptidase I zinc metalloprotease (M18) | domain-containing protein
B9J08_000252,unspecified product
B9J08_000253,FAD dependent oxidoreductase | domain-containing protein
B9J08_000254,Ribosomal S17 | domain-containing protein
B9J08_000255,"SWIRM domain | Myb-like DNA-binding domain | Zinc finger, ZZ type | Transcriptional adapter 2-alpha-like domain | domain-containing protein"
B9J08_000256,unspecified product
B9J08_000257,PRP39 N-terminal HAT repeat | U3 small nucleolar RNA-associated protein 6 | domain-containing protein
B9J08_000258,Ctr copper transporter family | domain-containing protein
B9J08_000259,unspecified product
B9J08_000260,Translation initiation factor eIF2B subunit epsilon
B9J08_000261,squalene monooxygenase
B9J08_000262,Sodium/calcium exchanger protein | domain-containing protein
B9J08_000263,"Cyclin, N-terminal domain | domain-containing protein"
B9J08_000264,T-complex protein 1 subunit alpha
B9J08_000266,unspecified product
B9J08_000267,Steryl acetyl hydrolase | domain-containing protein
B9J08_000268,unspecified product
B9J08_000269,Ras family | domain-containing protein
B9J08_000270,Fungal Zn(2)-Cys(6) binuclear cluster domain | Fungal specific transcription factor domain | domain-containing protein
B9J08_000271,CBP4 | domain-containing protein
B9J08_000272,Clathrin adaptor complex small chain | domain-containing protein
B9J08_000273,Kynureninase C-terminal domain | Aminotransferase class-V | domain-containing protein
B9J08_000274,phosphopyruvate hydratase
B9J08_000275,Proteasome subunit A N-terminal signature | Proteasome subunit | domain-containing protein
B9J08_000276,Hsp70 protein | domain-containing protein
B9J08_000277,F-box-like | domain-containing protein
B9J08_000278,THUMP domain | domain-containing protein
B9J08_000279,ER membrane protein complex subunit 4 | domain-containing protein
B9J08_000280,Vacuolar protein sorting 55 | domain-containing protein
B9J08_000281,"Histone-binding protein RBBP4 or subunit C of CAF1 complex | WD domain, G-beta repeat | domain-containing protein"
B9J08_000282,PHD-finger | domain-containing protein
B9J08_000283,Uncharacterised protein family UPF0047 | domain-containing protein
B9J08_000284,Pyoverdine/dityrosine biosynthesis protein | domain-containing protein
B9J08_000285,Protein kinase domain | domain-containing protein
B9J08_000286,CBF/Mak21 family | domain-containing protein
B9J08_000287,Ras family | domain-containing protein
B9J08_000288,protein kinase C
B9J08_000289,"MIOS, alpha-solenoid | MIOS, WD40 repeat | Zinc-ribbon like family | domain-containing protein"
B9J08_000290,non-specific serine/threonine protein kinase
B9J08_000291,Protein kinase C terminal domain | Protein kinase domain | domain-containing protein
B9J08_000292,unspecified product
B9J08_000293,Mitochondrial ribosomal protein L28 | domain-containing protein
B9J08_000294,Histone acetyltransferase subunit NuA4 | domain-containing protein
B9J08_000295,unspecified product
B9J08_000296,"Exocyst complex component EXOC6/Sec15, N-terminal | Exocyst complex subunit Sec15 C-terminal | domain-containing protein"
B9J08_000297,Alpha and gamma adaptin binding protein p34 | domain-containing protein
B9J08_000298,Ureidoglycolate lyase | domain-containing protein
B9J08_000299,Dynamin family | domain-containing protein
B9J08_000300,unspecified product
B9J08_000301,Major Facilitator Superfamily | domain-containing protein
B9J08_000302,Signal recognition particle 14kD protein | domain-containing protein
B9J08_000303,UBX domain | domain-containing protein
B9J08_000306,"Protein farnesyltransferase subunit beta, protein farnesyltransferase"
B9J08_000307,protein-tyrosine-phosphatase
B9J08_000308,unspecified product
B9J08_000309,unspecified product
B9J08_000310,Nup53/35/40-type RNA recognition motif | domain-containing protein
B9J08_000311,"3' exoribonuclease family, domain 1 | domain-containing protein"
B9J08_000312,SpoU rRNA Methylase family | domain-containing protein
B9J08_000313,"Haem-dependent oxidative N-demethylase, alpha subunit-like | domain-containing protein"
B9J08_000314,PX domain | domain-containing protein
B9J08_000315,unspecified product
B9J08_000316,unspecified product
B9J08_000317,Kinesin motor domain | domain-containing protein
B9J08_000319,Adenosine deaminase | domain-containing protein
B9J08_000320,phosphoglycerate dehydrogenase
B9J08_000321,Sugar (and other) transporter | domain-containing protein
B9J08_000322,Thioredoxin | domain-containing protein
B9J08_000323,"26S proteasome regulatory subunit RPN2 C-terminal domain | 26S proteasome subunit RPN2, N-terminal domain | HEAT repeats | Proteasome/cyclosome repeat | domain-containing protein"
B9J08_000324,Diacylglycerol kinase catalytic domain | YegS C-terminal NAD kinase beta sandwich-like domain | domain-containing protein
B9J08_000325,unspecified product
B9J08_000326,Flavin containing amine oxidoreductase | domain-containing protein
B9J08_000327,RNA recognition motif | domain-containing protein
B9J08_000328,RF-1 domain | PCRF domain | domain-containing protein
B9J08_000329,unspecified product
B9J08_000330,Methyltransferase domain | domain-containing protein
B9J08_000331,26S proteasome subunit RPN6 C-terminal helix domain | 26S proteasome regulatory subunit RPN6 N-terminal domain | PCI domain | domain-containing protein
B9J08_000332,Nuclear pore protein 84 / 107 | domain-containing protein
B9J08_000333,PRP38 family | domain-containing protein
B9J08_000334,Bin/amphiphysin/Rvs domain for vesicular trafficking | domain-containing protein
B9J08_000335,ADP-ribosylation factor family | domain-containing protein
B9J08_000336,unspecified product
B9J08_000337,Preprotein translocase subunit Sec66 | domain-containing protein
B9J08_000338,"Exocyst complex component SEC3 N-terminal PIP2 binding PH | Exocyst complex component Sec3, coiled-coil | Exocyst complex component Sec3, C-terminal | domain-containing protein"
B9J08_000339,Cytochrome c oxidase subunit IV | domain-containing protein
B9J08_000340,Protein kinase domain | domain-containing protein
B9J08_000341,GATA zinc finger | domain-containing protein
B9J08_000342,Mitochondrial carrier protein | domain-containing protein
B9J08_000343,Thioredoxin-like domain | domain-containing protein
B9J08_000344,thiol oxidase
B9J08_000345,5'-deoxynucleotidase
B9J08_000346,"Ribosomal proteins 50S-L15, 50S-L18e, 60S-L27A | domain-containing protein"
B9J08_000347,Sugar (and other) transporter | domain-containing protein
B9J08_000348,Fungal Zn(2)-Cys(6) binuclear cluster domain | ERT1/acuK family PAS domain | domain-containing protein
B9J08_000349,Phytanoyl-CoA dioxygenase (PhyH) | domain-containing protein
B9J08_000350,"Oxidoreductase family, NAD-binding Rossmann fold | GFO/IDH/MocA C-terminal domain | domain-containing protein"
B9J08_000351,Putative tRNA binding domain | Nuclear-export cofactor Arc1p | domain-containing protein
B9J08_000352,RNA cap guanine-N2 methyltransferase | domain-containing protein
B9J08_000353,eRF1 domain 1 | eRF1 domain 3 | eRF1 domain 2 | domain-containing protein
B9J08_000354,EF-hand domain pair | EF-hand domain | domain-containing protein
B9J08_000355,RecF/RecN/SMC N terminal domain | domain-containing protein
B9J08_000356,glutamate-tRNA ligase
B9J08_000357,unspecified product
B9J08_000358,Mitochondrial peculiar membrane protein 1 | domain-containing protein
B9J08_000359,Vacuolar protein sorting 55 | domain-containing protein
B9J08_000360,unspecified product
B9J08_000361,unspecified product
B9J08_000362,Possible lysine decarboxylase | domain-containing protein
B9J08_000363,carbonic anhydrase
B9J08_000364,Helicase conserved C-terminal domain | SNF2-related domain | domain-containing protein
B9J08_000365,"glucan 1,4-alpha-glucosidase"
B9J08_000366,Membrane magnesium transporter | domain-containing protein
B9J08_000367,Fatty acid hydroxylase | domain-containing protein
B9J08_000368,Major Facilitator Superfamily | domain-containing protein
B9J08_000369,unspecified product
B9J08_000370,Enoyl-(Acyl carrier protein) reductase | domain-containing protein
B9J08_000371,Gtr1/RagA G protein conserved region | domain-containing protein
B9J08_000372,CDC20/Fizzy WD40 domain | domain-containing protein
B9J08_000373,DIE2/ALG10 family | domain-containing protein
B9J08_000374,SMI1 / KNR4 family (SUKH-1) | domain-containing protein
B9J08_000375,unspecified product
B9J08_000376,unspecified product
B9J08_000377,peptidyl-tRNA hydrolase
B9J08_000378,Myb-like DNA-binding domain | domain-containing protein
B9J08_000379,anthranilate synthase
B9J08_000380,unspecified product
B9J08_000381,UBA-like domain | SEP domain | UBX domain | domain-containing protein
B9J08_000382,5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase
B9J08_000383,Glucose signalling factor 2 | domain-containing protein
B9J08_000384,X8 domain | Glucanosyltransferase | domain-containing protein
B9J08_000385,unspecified product
B9J08_000388,NDT80 / PhoG like DNA-binding  family | domain-containing protein
B9J08_000389,alpha/beta hydrolase fold | domain-containing protein
B9J08_000390,Mitochondrial carrier protein | domain-containing protein
B9J08_000391,FAM210A/B-like domain | domain-containing protein
B9J08_000392,ThiF family | domain-containing protein
B9J08_000393,AdoMet dependent proline di-methyltransferase | domain-containing protein
B9J08_000394,GINS complex protein helical bundle domain | PSF3 N-terminal domain | domain-containing protein
B9J08_000395,Tetratricopeptide repeat | Tetratricopeptide repeat | domain-containing protein
B9J08_000396,Spc7 kinetochore protein | MELT motif | domain-containing protein
B9J08_000397,Peroxisomal biogenesis factor 11 (PEX11) | domain-containing protein
B9J08_000398,Eukaryotic aspartyl protease | domain-containing protein
B9J08_000399,unspecified product
B9J08_000400,ALG3 protein | domain-containing protein
B9J08_000401,unspecified product
B9J08_000402,LisH | domain-containing protein
B9J08_000403,unspecified product
B9J08_000404,"WD domain, G-beta repeat | domain-containing protein"
B9J08_000405,Voltage gated chloride channel | domain-containing protein
B9J08_000406,AAR2 C-terminal repeat region | AAR2 N-terminal domain | domain-containing protein
B9J08_000407,unspecified product
B9J08_000408,Glucosyltransferase 24 | Thioredoxin-like domain | Thioredoxin-like domain | UDP-glucose:Glycoprotein Glucosyltransferase | Thioredoxin-like domain | domain-containing protein
B9J08_000409,"MTHFR, SAM-binding regulatory domain | Methylenetetrahydrofolate reductase | domain-containing protein"
B9J08_000410,TLD | domain-containing protein
B9J08_000411,Asp/Glu/Hydantoin racemase | domain-containing protein
B9J08_000412,Rad9 | domain-containing protein
B9J08_000413,Mitochondrial pyruvate carriers | domain-containing protein
B9J08_000414,Fungal Zn(2)-Cys(6) binuclear cluster domain | domain-containing protein
B9J08_000415,unspecified product
B9J08_000417,CDC24 Calponin | RhoGEF domain | PB1 domain | Pleckstrin homology domain | domain-containing protein
B9J08_000418,Ferric reductase like transmembrane component | Ferric reductase NAD binding domain | FAD-binding domain | domain-containing protein
B9J08_000419,electron-transferring-flavoprotein dehydrogenase
B9J08_000420,GDS1 winged helix domain | domain-containing protein
B9J08_000421,Cupin-like domain | domain-containing protein
B9J08_000422,"Cyclin, N-terminal domain | domain-containing protein"
B9J08_000423,OTU-like cysteine protease | domain-containing protein
B9J08_000424,Cytochrome c/c1 heme lyase | domain-containing protein
B9J08_000425,PPR repeat | domain-containing protein
B9J08_000427,Golgin subfamily A member 7/ERF4 family | domain-containing protein
B9J08_000428,tRNA pseudouridine55 synthase
B9J08_000429,unspecified product
B9J08_000430,Macro domain | domain-containing protein
B9J08_000431,Dynamin GTPase effector domain | Dynamin central region | Dynamin family | domain-containing protein
B9J08_000432,Protein kinase domain | domain-containing protein
B9J08_000433,adenosylmethionine decarboxylase
B9J08_000434,Mitochondrial carrier protein | domain-containing protein
B9J08_000435,P-type phospholipid transporter
B9J08_000436,"CrcB-like protein, Camphor Resistance (CrcB) | domain-containing protein"
B9J08_000437,Ubiquitin-conjugating enzyme | domain-containing protein
B9J08_000438,unspecified product
B9J08_000439,unspecified product
B9J08_000440,unspecified product
B9J08_000441,unspecified product
B9J08_000442,"AAA domain | Type III restriction enzyme, res subunit | RNA helicase UPF1, 1B domain | AAA domain | RNA helicase (UPF2 interacting domain) | domain-containing protein"
B9J08_000443,GTPase-activator protein for Ras-like GTPase | C2 domain | domain-containing protein
B9J08_000444,"CRAL/TRIO domain | CRAL/TRIO, N-terminal domain | domain-containing protein"
B9J08_000445,"CAF17, C-terminal beta-barrel domain | domain-containing protein"
B9J08_000446,Choline/Carnitine o-acyltransferase | domain-containing protein
B9J08_000447,"Zinc finger, C2H2 type | domain-containing protein"
B9J08_000448,unspecified product
B9J08_000449,Amino acid permease | domain-containing protein
B9J08_000450,Major Facilitator Superfamily | domain-containing protein
