VPDB Gene ID,CGD ID,CGD Annotation
B9J08_001547,CAL0000225103,Uncharacterized ORF; Protein of unknown function
B9J08_001548,CAL0000223651,Uncharacterized ORF; Protein of unknown function
B9J08_001549,CAL0000227625,Uncharacterized ORF; Putative glycosylphosphatidylinositol-anchored protein; unique to C. auris and useful for strain typing; contains an N-terminal signal peptide for secretion and a C-terminal glycosylphosphatidylinositol
B9J08_001550,CAL0000226959,Uncharacterized ORF; Has domain(s) with predicted oxidoreductase activity
B9J08_001551,CAL0000218461,Uncharacterized ORF; Protein of unknown function
B9J08_001552,CAL0000226375,Uncharacterized ORF; Protein of unknown function
B9J08_001553,CAL0000221119,Uncharacterized ORF; Ortholog(s) have farnesyltranstransferase activity and role in terpenoid biosynthetic process
B9J08_001554,CAL0000217183,"Uncharacterized ORF; Ortholog of <i>C. albicans SC5314</i> : C5_02390C_A, <i>C. dubliniensis CD36</i> : Cd36_52180, <i>C. parapsilosis CDC317</i> : CPAR2_302830 and <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_102578"
B9J08_001555,CAL0000224475,"Uncharacterized ORF; Ortholog of <i>C. albicans SC5314</i> : CR_02300C_A, <i>C. dubliniensis CD36</i> : Cd36_27280, <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_102569 and <i>Debaryomyces hansenii CBS767</i> : DEHA2E23826g"
B9J08_001556,CAL0000219147,"Uncharacterized ORF; Ortholog of <i>C. albicans SC5314</i> : CR_02270C_A, <i>C. dubliniensis CD36</i> : Cd36_27240, <i>C. parapsilosis CDC317</i> : CPAR2_801310 and <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_113199"
B9J08_001557,CAL0000226843,"Uncharacterized ORF; Ortholog(s) have histone binding, nucleosome binding, transcription antitermination factor activity, DNA binding activity"
B9J08_001558,CAL0000225035,Uncharacterized ORF; Ortholog(s) have role in mitochondrion organization
B9J08_001559,CAL0000226471,Uncharacterized ORF; Has domain(s) with predicted transmembrane transporter activity and role in transmembrane transport
B9J08_001560,CAL0000220055,"Uncharacterized ORF; Ortholog(s) have unfolded protein binding activity, role in maturation of SSU-rRNA, ribosomal small subunit biogenesis and cytoplasm localization"
B9J08_001561,CAL0000224531,"Uncharacterized ORF; Ortholog(s) have GTPase activity, tRNA binding, translation initiation factor activity, role in mitochondrial translation and mitochondrial matrix, mitochondrion localization"
B9J08_001562,CAL0000221381,"Uncharacterized ORF; Ortholog(s) have DNA replication origin binding, protein kinase activator activity, protein serine/threonine kinase activator activity"
B9J08_001563,CAL0000227013,Uncharacterized ORF; Has domain(s) with predicted role in signal transduction and Ragulator complex localization
B9J08_001564,CAL0000225899,"Uncharacterized ORF; Ortholog(s) have ubiquitin protein ligase activity, ubiquitin-protein transferase activity"
B9J08_001565,CAL0000217219,"Uncharacterized ORF; Ortholog(s) have role in positive regulation of actin filament bundle assembly and cellular bud neck, cellular bud tip localization"
B9J08_001566,CAL0000227763,"Uncharacterized ORF; Ortholog(s) have G-protein alpha-subunit binding, RNA binding, mRNA binding activity"
B9J08_001567,CAL0000219185,"Uncharacterized ORF; Ortholog(s) have L-methionine secondary active transmembrane transporter activity, role in methionine import across plasma membrane, sulfur amino acid transport and plasma membrane localization"
B9J08_001568,CAL0000219087,"Uncharacterized ORF; Ortholog(s) have structural constituent of ribosome activity, role in cell redox homeostasis, mitochondrial genome maintenance and mitochondrial large ribosomal subunit, mitochondrion localization"
B9J08_001569,CAL0000222735,"Uncharacterized ORF; Has domain(s) with predicted DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding activity and role in regulation of DNA-templated transcription"
B9J08_001570,CAL0000216509,Uncharacterized ORF; Ortholog(s) have sulfonate dioxygenase activity and role in sulfur compound catabolic process
B9J08_001571,CAL0000227665,Uncharacterized ORF; Has domain(s) with predicted oxidoreductase activity
B9J08_001572,CAL0000226003,"Uncharacterized ORF; Ortholog(s) have ubiquitin binding activity and role in actin cortical patch organization, endocytosis, endoplasmic reticulum unfolded protein response, positive regulation of cytokinesis, regulation of protein localization"
B9J08_001573,CAL0000223591,"Uncharacterized ORF; Ortholog(s) have box H/ACA snoRNA binding activity, role in snRNA pseudouridine synthesis and box H/ACA snoRNP complex, nucleolus localization"
B9J08_001574,CAL0000227559,"Uncharacterized ORF; Ortholog(s) have guanyl nucleotide binding activity, role in mitochondrial translational elongation, mitochondrial translational initiation and matrix side of mitochondrial inner membrane localization"
B9J08_001575,CAL0000220709,"Uncharacterized ORF; Ortholog of <i>S. cerevisiae</i> : YJR112W-A, <i>C. albicans SC5314</i> : C1_11570W_A, <i>C. glabrata CBS138</i> : CAGL0C04829g, <i>C. dubliniensis CD36</i> : Cd36_10860 and <i>C. parapsilosis CDC317</i> : CPAR2_203700"
B9J08_001576,CAL0000224959,"Uncharacterized ORF; Ortholog(s) have phosphatidylinositol-3-phosphate binding, phospholipase D activity"
B9J08_001577,CAL0000216631,"Uncharacterized ORF; Ortholog(s) have COPII receptor activity and role in COPII-coated vesicle cargo loading, endoplasmic reticulum to Golgi vesicle-mediated transport, fungal-type cell wall organization, protein retention in Golgi apparatus"
B9J08_001578,CAL0000220783,"Uncharacterized ORF; Ortholog(s) have serine O-acetyltransferase activity and role in cysteine biosynthetic process, cysteine biosynthetic process from serine"
B9J08_001579,CAL0000226197,Uncharacterized ORF; Ortholog(s) have role in phospholipid biosynthetic process and endoplasmic reticulum localization
B9J08_001580,CAL0000226717,"Uncharacterized ORF; Ortholog(s) have MAP kinase serine/threonine phosphatase activity, protein serine/threonine phosphatase activity"
B9J08_001581,CAL0000217599,"Uncharacterized ORF; Has domain(s) with predicted ATP binding, ATPase, nucleotide binding, transporter activity and membrane localization"
B9J08_001582,CAL0000219053,"Uncharacterized ORF; Ortholog(s) have acylglycerol lipase activity, role in triglyceride metabolic process and lipid droplet, membrane localization"
B9J08_001584,CAL0000221367,"Uncharacterized ORF; Ortholog(s) have unfolded protein binding activity, role in mitochondrial cytochrome c oxidase assembly and mitochondrial inner membrane localization"
B9J08_001585,CAL0000221365,"Uncharacterized ORF; Ortholog(s) have phosphatidylinositol binding, small GTPase binding activity"
B9J08_001586,CAL0000224537,Uncharacterized ORF; Ortholog(s) have cargo adaptor activity
B9J08_001587,CAL0000222763,"Uncharacterized ORF; Ortholog(s) have DNA replication origin binding, double-stranded DNA binding, single-stranded DNA binding activity"
B9J08_001588,CAL0000226971,"Uncharacterized ORF; Has domain(s) with predicted heme binding, iron ion binding, monooxygenase activity, oxidoreductase activity, acting on paired donors and with incorporation or reduction of molecular oxygen, <a href=""#GOsection"">more</a>"
B9J08_001589,CAL0000226941,"Uncharacterized ORF; Ortholog(s) have role in positive regulation of cellular respiration and chromatin, nucleus localization"
B9J08_001590,CAL0000220023,"Uncharacterized ORF; Ortholog of <i>C. albicans SC5314</i> : C1_11670W_A, <i>C. dubliniensis CD36</i> : Cd36_10980, <i>C. parapsilosis CDC317</i> : CPAR2_804590 and <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_116635"
B9J08_001591,CAL0000224317,"Uncharacterized ORF; Ortholog(s) have glutamate decarboxylase activity and role in cellular response to oxidative stress, glutamate catabolic process"
B9J08_001592,CAL0000222931,"Uncharacterized ORF; Ortholog(s) have GDP-mannose transmembrane transporter activity, role in GDP-mannose transmembrane transport and Golgi apparatus localization"
B9J08_001593,CAL0000225829,"Uncharacterized ORF; Ortholog(s) have nuclear export signal receptor activity, role in protein export from nucleus, snRNA import into nucleus and nuclear envelope, nuclear periphery localization"
B9J08_001594,CAL0000223801,"Uncharacterized ORF; Ortholog(s) have DNA-binding transcription activator activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding activity"
B9J08_001595,CAL0000216297,"Uncharacterized ORF; Has domain(s) with predicted DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding activity and role in regulation of DNA-templated transcription"
B9J08_001596,CAL0000217273,"Uncharacterized ORF; Ortholog of <i>C. albicans SC5314</i> : C1_07780W_A, <i>C. dubliniensis CD36</i> : Cd36_07300, <i>C. parapsilosis CDC317</i> : CPAR2_208300 and <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_95879"
B9J08_001597,CAL0000220379,"Uncharacterized ORF; Ortholog of <i>S. cerevisiae</i> : CMS1, <i>C. albicans SC5314</i> : C1_07790C_A, <i>C. glabrata CBS138</i> : CAGL0J01155g, <i>C. dubliniensis CD36</i> : Cd36_07310 and <i>C. parapsilosis CDC317</i> : CPAR2_208310"
B9J08_001598,CAL0000219063,Uncharacterized ORF; Ortholog(s) have role in mitochondrial tRNA wobble uridine modification and mitochondrion localization
B9J08_001599,CAL0000223325,Uncharacterized ORF; Has domain(s) with predicted protein heterodimerization activity
B9J08_001600,CAL0000226093,"Uncharacterized ORF; Ortholog of <i>S. cerevisiae</i> : MRX20, <i>C. albicans SC5314</i> : C1_07820W_A, <i>C. glabrata CBS138</i> : CAGL0C02013g, <i>C. dubliniensis CD36</i> : Cd36_07340 and <i>C. parapsilosis CDC317</i> : CPAR2_208340"
B9J08_001601,CAL0000218287,Uncharacterized ORF; Ortholog(s) have acetyltransferase activity
B9J08_001602,CAL0000226807,Uncharacterized ORF; Ortholog(s) have nicotinate-nucleotide diphosphorylase (carboxylating) activity and role in 'de novo' NAD biosynthetic process from tryptophan
B9J08_001603,CAL0000222751,"Uncharacterized ORF; Ortholog(s) have enzyme regulator activity, ubiquitin protein ligase activity, role in anaphase-promoting complex-dependent catabolic process, chromatin organization and anaphase-promoting complex localization"
B9J08_001604,CAL0000217495,"Uncharacterized ORF; Ortholog(s) have role in regulation of fungal-type cell wall biogenesis, regulation of mitotic cell cycle and cellular bud neck, incipient cellular bud site localization"
B9J08_001605,CAL0000225329,"Uncharacterized ORF; Ortholog(s) have glutamate-cysteine ligase activity, role in glutathione biosynthetic process, response to cadmium ion, response to hydrogen peroxide and cytoplasm localization"
B9J08_001606,CAL0000220117,"Uncharacterized ORF; Ortholog(s) have phosphoribosylamine-glycine ligase activity, phosphoribosylformylglycinamidine cyclo-ligase activity and role in 'de novo' IMP biosynthetic process, purine nucleobase biosynthetic process"
B9J08_001607,CAL0000221797,Uncharacterized ORF; Ortholog(s) have structural constituent of ribosome activity and mitochondrial large ribosomal subunit localization
B9J08_001608,CAL0000222709,"Uncharacterized ORF; Ortholog(s) have role in protein glycosylation, protein retention in ER lumen, retrograde transport, vesicle recycling within Golgi, retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum"
B9J08_001609,CAL0000224553,"Uncharacterized ORF; Ortholog(s) have 5'-3' RNA exonuclease activity, preribosome binding activity and role in generation of mature 5'-end of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA), rRNA processing"
B9J08_001610,CAL0000221677,"Uncharacterized ORF; Ortholog(s) have double-stranded DNA binding, double-stranded RNA binding, enzyme regulator activity, protein-containing complex binding activity"
B9J08_001611,CAL0000218109,"Uncharacterized ORF; Ortholog(s) have RNA endonuclease activity, protein serine/threonine kinase activity, unfolded protein binding activity"
B9J08_001612,CAL0000219817,"Uncharacterized ORF; Ortholog(s) have sterol binding, sterol transfer activity and role in intracellular sterol transport, sterol transport"
B9J08_001613,CAL0000220639,"Uncharacterized ORF; Has domain(s) with predicted hydrolase activity, nucleotidase activity"
B9J08_001614,CAL0000223023,"Uncharacterized ORF; Has domain(s) with predicted hydrolase activity, nucleotidase activity"
B9J08_001615,CAL0000225109,"Uncharacterized ORF; Ortholog(s) have protein-macromolecule adaptor activity, role in ER-dependent peroxisome organization, peroxisome inheritance, protein import into peroxisome membrane and endoplasmic reticulum, peroxisomal membrane, peroxisome localization"
B9J08_001616,CAL0000225405,"Uncharacterized ORF; Ortholog(s) have DNA replication origin binding, ubiquitin protein ligase activity, ubiquitin-protein transferase activity"
B9J08_001617,CAL0000226913,"Uncharacterized ORF; Ortholog of <i>C. albicans SC5314</i> : C1_07400C_A, <i>C. dubliniensis CD36</i> : Cd36_06910, <i>C. parapsilosis CDC317</i> : CPAR2_208560 and <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_95854"
B9J08_001618,CAL0000217965,Uncharacterized ORF; Ortholog(s) have ubiquitin binding activity and role in proteasome-mediated ubiquitin-dependent protein catabolic process
B9J08_001619,CAL0000218883,"Uncharacterized ORF; Ortholog(s) have role in TOR signaling, negative regulation of macroautophagy, protein localization, regulation of filamentous growth, regulation of pseudohyphal growth, regulation of translation in response to stress"
B9J08_001620,CAL0000222265,"Uncharacterized ORF; Has domain(s) with predicted DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding activity and role in DNA-templated transcription, regulation of DNA-templated transcription"
B9J08_001621,CAL0000227331,Uncharacterized ORF; Protein of unknown function
B9J08_001622,CAL0000224495,"Uncharacterized ORF; Ortholog of <i>C. albicans SC5314</i> : C5_02860C_A/GRP2, <i>C. dubliniensis CD36</i> : Cd36_52640, <i>C. parapsilosis CDC317</i> : CPAR2_304270/GRP2 and <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_113256"
B9J08_001623,CAL0000222765,"Uncharacterized ORF; Ortholog(s) have role in endocytic recycling, tRNA methylation, wobble position ribose methylation and cytoplasm, endosome localization"
B9J08_001624,CAL0000221691,"Uncharacterized ORF; Ortholog(s) have isoleucine-tRNA ligase activity, sequence-specific mRNA binding activity, role in isoleucyl-tRNA aminoacylation and cytosol localization"
B9J08_001625,CAL0000220159,"Uncharacterized ORF; Has domain(s) with predicted ATP binding, ligase activity, forming carbon-nitrogen bonds activity and role in tRNA processing"
B9J08_001626,CAL0000217463,"Uncharacterized ORF; Ortholog(s) have chromatin binding activity, role in transcription by RNA polymerase II and transcription factor TFIID complex localization"
B9J08_001627,CAL0000221503,"Uncharacterized ORF; Ortholog(s) have guanyl-nucleotide exchange factor activity, ubiquitin binding activity"
B9J08_001630,CAL0000224705,"Uncharacterized ORF; Ortholog of <i>C. albicans SC5314</i> : C6_02620C_A, <i>C. dubliniensis CD36</i> : Cd36_62900, <i>C. parapsilosis CDC317</i> : CPAR2_601610 and <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_113264"
B9J08_001631,CAL0000224541,"Uncharacterized ORF; Ortholog(s) have heat shock protein binding, unfolded protein binding activity"
B9J08_001632,CAL0000228043,"Uncharacterized ORF; Ortholog(s) have RNA binding, transcription regulatory region RNA binding activity"
B9J08_001633,CAL0000226261,Uncharacterized ORF; Ortholog(s) have oxidoreductase activity and role in NADPH regeneration
B9J08_001634,CAL0000217227,"Uncharacterized ORF; Ortholog(s) have role in retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum and SNARE complex, endoplasmic reticulum, membrane, peroxisome localization"
B9J08_001635,CAL0000218935,Uncharacterized ORF; Ortholog(s) have RNA endonuclease activity and role in rRNA processing
B9J08_001636,CAL0000220015,"Uncharacterized ORF; Ortholog(s) have kinase regulator activity, protein kinase activator activity"
B9J08_001637,CAL0000221635,"Uncharacterized ORF; Ortholog of <i>C. albicans SC5314</i> : C6_02550W_A, <i>C. dubliniensis CD36</i> : Cd36_62790, <i>C. parapsilosis CDC317</i> : CPAR2_601680 and <i>Candida tenuis NRRL Y-1498</i> : cten_CGOB_00252"
B9J08_001638,CAL0000220631,"Uncharacterized ORF; Ortholog of <i>C. albicans SC5314</i> : C6_02540C_A, <i>C. dubliniensis CD36</i> : Cd36_62780, <i>C. parapsilosis CDC317</i> : CPAR2_601690 and <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_113271"
B9J08_001639,CAL0000223715,"Uncharacterized ORF; Ortholog of <i>C. albicans SC5314</i> : C6_02530C_A, <i>C. dubliniensis CD36</i> : Cd36_62760, <i>C. parapsilosis CDC317</i> : CPAR2_601700 and <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_115220"
B9J08_001640,CAL0000222627,Uncharacterized ORF; Copper-containing superoxide dismutase
B9J08_001641,CAL0000224021,"Uncharacterized ORF; Ortholog(s) have iron ion binding activity and role in biotin biosynthetic process, iron-sulfur cluster assembly, protein maturation by [4Fe-4S] cluster transfer, protein maturation by iron-sulfur cluster transfer"
B9J08_001642,CAL0000224477,Uncharacterized ORF; Ortholog(s) have role in negative regulation of transcription by RNA polymerase II and cytosol localization
B9J08_001643,CAL0000225625,"Uncharacterized ORF; Ortholog(s) have nuclear export signal receptor activity, nuclear import signal receptor activity, role in nuclear export, protein import into nucleus and cytoplasm, nuclear periphery, nucleus localization"
B9J08_001644,CAL0000217095,"Uncharacterized ORF; Ortholog(s) have double-stranded DNA binding, sequence-specific DNA binding, single-stranded DNA binding activity"
B9J08_001645,CAL0000218403,"Uncharacterized ORF; Ortholog(s) have cystathionine beta-lyase activity, cysteine-S-conjugate beta-lyase activity, role in methionine biosynthetic process, transsulfuration and peroxisome localization"
B9J08_001646,CAL0000217825,Uncharacterized ORF; Has domain(s) with predicted oxidoreductase activity
B9J08_001647,CAL0000219331,"Uncharacterized ORF; Ortholog(s) have cyclin binding, ubiquitin ligase activator activity"
B9J08_001648,CAL0000220649,"Uncharacterized ORF; Ortholog(s) have 2-aminoadipate transaminase activity, aromatic-amino-acid:2-oxoglutarate aminotransferase activity and role in L-phenylalanine biosynthetic process, aromatic amino acid metabolic process, tyrosine biosynthetic process"
B9J08_001649,CAL0000222317,"Uncharacterized ORF; Ortholog(s) have DNA binding, nucleosome binding, transcription corepressor activity"
B9J08_001650,CAL0000224871,"Uncharacterized ORF; Ortholog(s) have protein transmembrane transporter activity, protein-membrane adaptor activity"
B9J08_001651,CAL0000223541,"Uncharacterized ORF; Ortholog(s) have protein kinase regulator activity, protein serine/threonine kinase inhibitor activity and role in DNA damage response, regulation of transcription by RNA polymerase I, regulation of transcription by RNA polymerase III"
B9J08_001652,CAL0000226911,"Uncharacterized ORF; Ortholog(s) have ATPase activator activity, protein-folding chaperone binding activity"
B9J08_001653,CAL0000224961,"Uncharacterized ORF; Ortholog(s) have GTPase activator activity, role in macroautophagy, regulation of COPII vesicle coating, reticulophagy and COPII vesicle coat localization"
B9J08_001654,CAL0000217347,"Uncharacterized ORF; Ortholog(s) have SUMO activating enzyme activity, role in mitotic chromosome condensation, protein sumoylation and SUMO activating enzyme complex, cytosol, nucleus localization"
B9J08_001655,CAL0000227781,"Uncharacterized ORF; Ortholog(s) have DNA binding, chromatin binding, histone deacetylase activity and role in chromosome segregation, negative regulation of transcription by RNA polymerase II, regulatory ncRNA-mediated gene silencing"
B9J08_001656,CAL0000219631,"Uncharacterized ORF; Ortholog(s) have role in snoRNA splicing, spliceosomal conformational changes to generate catalytic conformation and U4/U6 x U5 tri-snRNP complex localization"
B9J08_001657,CAL0000218021,"Uncharacterized ORF; Ortholog of <i>C. albicans SC5314</i> : CR_09560C_A, <i>C. parapsilosis CDC317</i> : CPAR2_201040, <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_112677 and <i>Debaryomyces hansenii CBS767</i> : DEHA2E02420g"
B9J08_001658,CAL0000222445,"Uncharacterized ORF; Ortholog(s) have metalloendopeptidase activity and role in axial cellular bud site selection, cytogamy, peptide mating pheromone maturation involved in positive regulation of conjugation with cellular fusion"
B9J08_001659,CAL0000220707,"Uncharacterized ORF; Ortholog of <i>C. albicans SC5314</i> : CR_09460C_A, <i>C. parapsilosis CDC317</i> : CPAR2_201020, <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_112678 and <i>Debaryomyces hansenii CBS767</i> : DEHA2E02618g"
B9J08_001660,CAL0000226737,"Uncharacterized ORF; Has domain(s) with predicted copper ion binding, primary amine oxidase activity, quinone binding activity and role in amine metabolic process"
B9J08_001663,CAL0000225629,"Uncharacterized ORF; Ortholog of <i>C. albicans SC5314</i> : CR_09440C_A, <i>C. dubliniensis CD36</i> : Cd36_34720, <i>C. parapsilosis CDC317</i> : CPAR2_201000 and <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_134276"
B9J08_001664,CAL0000221915,"Uncharacterized ORF; Ortholog of <i>C. albicans SC5314</i> : CR_09410W_A, <i>C. dubliniensis CD36</i> : Cd36_34700, <i>C. parapsilosis CDC317</i> : CPAR2_200990 and <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_134275"
B9J08_001665,CAL0000223727,"Uncharacterized ORF; Has domain(s) with predicted hydrolase activity, hydrolyzing O-glycosyl compounds activity and role in carbohydrate metabolic process"
B9J08_001666,CAL0000219779,"Uncharacterized ORF; Ortholog of <i>Debaryomyces hansenii CBS767</i> : DEHA2E02816g, <i>Pichia stipitis Pignal</i> : PICST_28803, <i>Candida guilliermondii ATCC 6260</i> : PGUG_00119 and <i>Candida lusitaniae ATCC 42720</i> : CLUG_00767"
B9J08_001667,CAL0000221025,"Uncharacterized ORF; Ortholog(s) have DNA polymerase processivity factor activity, DNA-directed DNA polymerase activity, double-stranded DNA binding, single-stranded DNA binding activity"
B9J08_001668,CAL0000216421,"Uncharacterized ORF; Ortholog(s) have Rab geranylgeranyltransferase activity and role in endoplasmic reticulum to Golgi vesicle-mediated transport, protein geranylgeranylation, protein targeting to membrane"
B9J08_001669,CAL0000218295,Uncharacterized ORF; Has domain(s) with predicted glycosyltransferase activity and role in protein glycosylation
B9J08_001670,CAL0000220701,Uncharacterized ORF; Ortholog(s) have methylthioribulose 1-phosphate dehydratase activity and role in L-methionine salvage from methylthioadenosine
B9J08_001671,CAL0000219429,"Uncharacterized ORF; Ortholog(s) have RNA binding, U2 snRNA binding activity, role in mRNA splicing, via spliceosome and U4/U6 x U5 tri-snRNP complex, U5 snRNP, U6 snRNP, nucleolus, nucleus localization"
B9J08_001672,CAL0000224767,"Uncharacterized ORF; Has domain(s) with predicted role in amino acid transport, transmembrane transport and membrane localization"
B9J08_001673,CAL0000223617,"Uncharacterized ORF; Has domain(s) with predicted role in amino acid transport, transmembrane transport and membrane localization"
B9J08_001674,CAL0000217885,"Uncharacterized ORF; Ortholog(s) have role in endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA and LSU-rRNA), <a href=""#GOsection"">more</a>"
B9J08_001675,CAL0000216191,"Uncharacterized ORF; Ortholog(s) have 5' overhang single-stranded DNA endodeoxyribonuclease activity, 5'-flap endonuclease activity, DNA hairpin binding, DNA helicase activity, chromatin binding and four-way junction DNA binding, <a href=""#GOsection"">more</a>"
B9J08_001676,CAL0000216909,"Uncharacterized ORF; Ortholog(s) have ubiquitin-protein transferase activity and role in negative regulation of protein autoubiquitination, retrograde protein transport, ER to cytosol, ubiquitin-dependent ERAD pathway"
B9J08_001677,CAL0000219571,"Uncharacterized ORF; Has domain(s) with predicted proton-transporting ATPase activity, rotational mechanism activity and role in proton transmembrane transport"
B9J08_001678,CAL0000220397,Uncharacterized ORF; Has domain(s) with predicted DNA binding activity
B9J08_001679,CAL0000224849,Uncharacterized ORF; Ortholog(s) have role in pseudohyphal growth
B9J08_001680,CAL0000216059,"Uncharacterized ORF; Ortholog of <i>C. albicans SC5314</i> : C3_03740W_A, <i>C. dubliniensis CD36</i> : Cd36_83730, <i>C. parapsilosis CDC317</i> : CPAR2_503210 and <i>Pichia stipitis Pignal</i> : PICST_66908"
B9J08_001681,CAL0000217887,"Uncharacterized ORF; Ortholog(s) have DNA replication origin binding, chromatin binding activity"
B9J08_001682,CAL0000222347,"Uncharacterized ORF; Ortholog(s) have diacylglycerol O-acyltransferase activity, role in ceramide metabolic process, intracellular triglyceride homeostasis, lipid storage, triglyceride biosynthetic process and lipid droplet, membrane localization"
B9J08_001683,CAL0000223877,"Uncharacterized ORF; Ortholog of <i>C. albicans SC5314</i> : C3_03770C_B, <i>C. dubliniensis CD36</i> : Cd36_83760, <i>C. parapsilosis CDC317</i> : CPAR2_503560 and <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_116447"
B9J08_001684,CAL0000224937,"Uncharacterized ORF; Ortholog(s) have S-methyl-5-thioadenosine phosphorylase activity, mRNA binding activity, role in L-methionine salvage from methylthioadenosine, glutamate biosynthetic process and cytoplasm localization"
B9J08_001685,CAL0000220099,"Uncharacterized ORF; Ortholog of <i>C. albicans SC5314</i> : C1_01630W_A, <i>C. dubliniensis CD36</i> : Cd36_01500, <i>C. parapsilosis CDC317</i> : CPAR2_109400 and <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_115006"
B9J08_001686,CAL0000221399,"Uncharacterized ORF; Has domain(s) with predicted RNA binding, structural constituent of ribosome activity, role in translation and ribosome localization"
B9J08_001687,CAL0000216741,"Uncharacterized ORF; Ortholog(s) have IMP 5'-nucleotidase activity and role in inosine salvage, nicotinamide riboside biosynthetic process, nicotinic acid riboside biosynthetic process"
B9J08_001688,CAL0000218133,"Uncharacterized ORF; Ortholog of <i>C. albicans SC5314</i> : C1_01620C_A, <i>C. dubliniensis CD36</i> : Cd36_01490, <i>C. parapsilosis CDC317</i> : CPAR2_109390 and <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_97929"
B9J08_001689,CAL0000225579,"Uncharacterized ORF; Ortholog of <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_94582, <i>Debaryomyces hansenii CBS767</i> : DEHA2E22088g, <i>Pichia stipitis Pignal</i> : PICST_66969 and <i>Candida guilliermondii ATCC 6260</i> : PGUG_01608"
B9J08_001690,CAL0000223037,"Uncharacterized ORF; Ortholog(s) have protein-macromolecule adaptor activity, role in protein maturation by [4Fe-4S] cluster transfer and Yae1-Lto1 complex, nucleus localization"
B9J08_001691,CAL0000222945,"Uncharacterized ORF; Ortholog(s) have U4/U6 x U5 tri-snRNP complex, U5 snRNP, chromatin, nucleus localization"
