Gene ID,source_id,Organism,Genomic Location (Gene),Product Description,Molecular Weight,Chromosome,PFam ID,Protein Length,Ortholog count,Paralog count,PFam Description,CDD ID,Gene3D ID,Hamap ID,NCBIfam ID,PANTHER ID,PRINTS ID,SFLD ID,CDD Description,Gene3D Description,Hamap Description,NCBIfam Description,PANTHER Description,PRINTS Description,SFLD Description,PirSF ID,PirSF Description,Prositefamilies ID,Prositefamilies Description,Smart ID,Smart Description,Superfamily ID,Superfamily Description,InterPro ID,InterPro Description,Computed GO Component IDs,Computed GO Components,Computed GO Function IDs,Computed GO Functions,Computed GO Process IDs,Computed GO Processes,Curated GO Component IDs,Curated GO Components,Curated GO Function IDs,Curated GO Functions,Curated GO Process IDs,Curated GO Processes,EC numbers,EC numbers from OrthoMCL,Has_PFam,Has_CDD,Has_Gene3D,Has_Hamap,Has_NCBIfam,Has_PANTHER,Has_PRINTS,Has_SFLD,Has_PirSF,Has_Prosite,Has_SMART,Has_Superfamily,Has_InterPro,Has_GO_Component,Has_GO_Function,Has_GO_Process,Has_Any_GO,Has_Any_Conventional_Evidence,Annotation_Poor
B9J08_000086,B9J08_000086-t37_1,Candida auris strain B8441,"PEKT02000001:183,669..184,761(-)",hypothetical protein,38485,Not Assigned,,341,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000110,B9J08_000110-t37_1,Candida auris strain B8441,"PEKT02000001:242,911..243,732(-)",hypothetical protein,31183,Not Assigned,,273,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000116,B9J08_000116-t37_1,Candida auris strain B8441,"PEKT02000001:253,978..254,832(-)",hypothetical protein,30122,Not Assigned,,284,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000117,B9J08_000117-t37_1,Candida auris strain B8441,"PEKT02000001:255,532..256,308(-)",hypothetical protein,27358,Not Assigned,,258,147,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000119,B9J08_000119-t37_1,Candida auris strain B8441,"PEKT02000001:259,499..259,847(-)",hypothetical protein,11226,Not Assigned,,100,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000124,B9J08_000124-t37_1,Candida auris strain B8441,"PEKT02000001:270,915..272,894(-)",hypothetical protein,75042,Not Assigned,,659,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000158,B9J08_000158-t37_1,Candida auris strain B8441,"PEKT02000001:334,196..334,756(-)",hypothetical protein,21294,Not Assigned,,186,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000197,B9J08_000197-t37_1,Candida auris strain B8441,"PEKT02000001:427,144..429,447(-)",hypothetical protein,86828,Not Assigned,,767,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000211,B9J08_000211-t37_1,Candida auris strain B8441,"PEKT02000001:456,495..457,079(-)",hypothetical protein,21996,Not Assigned,,194,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000221,B9J08_000221-t37_1,Candida auris strain B8441,"PEKT02000001:474,402..474,884(+)",hypothetical protein,18486,Not Assigned,,160,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000224,B9J08_000224-t37_1,Candida auris strain B8441,"PEKT02000001:479,317..480,063(-)",hypothetical protein,28701,Not Assigned,,248,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000249,B9J08_000249-t37_1,Candida auris strain B8441,"PEKT02000001:523,880..525,190(+)",hypothetical protein,48473,Not Assigned,,436,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000259,B9J08_000259-t37_1,Candida auris strain B8441,"PEKT02000001:540,183..540,749(+)",hypothetical protein,20809,Not Assigned,,188,347,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000266,B9J08_000266-t37_1,Candida auris strain B8441,"PEKT02000001:552,960..553,934(+)",hypothetical protein,35586,Not Assigned,,324,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000292,B9J08_000292-t37_1,Candida auris strain B8441,"PEKT02000001:604,092..604,733(-)",hypothetical protein,23254,Not Assigned,,213,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000295,B9J08_000295-t37_1,Candida auris strain B8441,"PEKT02000001:606,925..607,272(+)",hypothetical protein,14023,Not Assigned,,115,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000308,B9J08_000308-t37_1,Candida auris strain B8441,"PEKT02000001:624,479..625,699(-)",hypothetical protein,45447,Not Assigned,,406,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000336,B9J08_000336-t37_1,Candida auris strain B8441,"PEKT02000001:680,096..685,097(+)",hypothetical protein,165113,Not Assigned,,1649,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000357,B9J08_000357-t37_1,Candida auris strain B8441,"PEKT02000001:724,571..724,948(+)",hypothetical protein,14206,Not Assigned,,125,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000361,B9J08_000361-t37_1,Candida auris strain B8441,"PEKT02000001:729,342..729,800(-)",hypothetical protein,16211,Not Assigned,,152,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000369,B9J08_000369-t37_1,Candida auris strain B8441,"PEKT02000001:749,470..749,787(+)",hypothetical protein,11807,Not Assigned,,105,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000375,B9J08_000375-t37_1,Candida auris strain B8441,"PEKT02000001:763,240..763,749(+)",hypothetical protein,19369,Not Assigned,,169,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000380,B9J08_000380-t37_1,Candida auris strain B8441,"PEKT02000001:771,884..774,943(-)",hypothetical protein,116346,Not Assigned,,1019,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000403,B9J08_000403-t37_1,Candida auris strain B8441,"PEKT02000001:823,623..824,369(-)",hypothetical protein,26140,Not Assigned,,248,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000429,B9J08_000429-t37_1,Candida auris strain B8441,"PEKT02000001:886,430..887,545(+)",hypothetical protein,40632,Not Assigned,,371,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000438,B9J08_000438-t37_1,Candida auris strain B8441,"PEKT02000001:911,860..912,699(+)",hypothetical protein,28882,Not Assigned,,279,147,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000439,B9J08_000439-t37_1,Candida auris strain B8441,"PEKT02000001:916,858..917,148(+)",hypothetical protein,11056,Not Assigned,,96,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000440,B9J08_000440-t37_1,Candida auris strain B8441,"PEKT02000001:920,400..921,455(+)",hypothetical protein,37689,Not Assigned,,351,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000441,B9J08_000441-t37_1,Candida auris strain B8441,"PEKT02000001:925,468..926,498(-)",hypothetical protein,32320,Not Assigned,,281,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000448,B9J08_000448-t37_1,Candida auris strain B8441,"PEKT02000001:951,328..952,965(-)",hypothetical protein,60172,Not Assigned,,545,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000456,B9J08_000456-t37_1,Candida auris strain B8441,"PEKT02000001:967,817..968,440(+)",hypothetical protein,23978,Not Assigned,,207,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000472,B9J08_000472-t37_1,Candida auris strain B8441,"PEKT02000001:999,503..1,000,318(+)",hypothetical protein,30395,Not Assigned,,271,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000481,B9J08_000481-t37_1,Candida auris strain B8441,"PEKT02000001:1,025,680..1,026,393(+)",hypothetical protein,28189,Not Assigned,,237,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000502,B9J08_000502-t37_1,Candida auris strain B8441,"PEKT02000001:1,076,034..1,076,438(+)",hypothetical protein,14616,Not Assigned,,134,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000505,B9J08_000505-t37_1,Candida auris strain B8441,"PEKT02000002:528..1,385(+)",hypothetical protein,32623,Not Assigned,,285,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000521,B9J08_000521-t37_1,Candida auris strain B8441,"PEKT02000002:53,199..54,209(+)",hypothetical protein,38553,Not Assigned,,336,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000540,B9J08_000540-t37_1,Candida auris strain B8441,"PEKT02000002:84,195..84,896(+)",hypothetical protein,25512,Not Assigned,,233,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000562,B9J08_000562-t37_1,Candida auris strain B8441,"PEKT02000002:121,394..124,002(-)",hypothetical protein,62268,Not Assigned,,551,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000571,B9J08_000571-t37_1,Candida auris strain B8441,"PEKT02000002:135,983..136,942(-)",hypothetical protein,36694,Not Assigned,,319,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000586,B9J08_000586-t37_1,Candida auris strain B8441,"PEKT02000002:169,305..169,757(-)",hypothetical protein,16920,Not Assigned,,150,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000595,B9J08_000595-t37_1,Candida auris strain B8441,"PEKT02000002:192,852..193,760(+)",hypothetical protein,33855,Not Assigned,,302,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000597,B9J08_000597-t37_1,Candida auris strain B8441,"PEKT02000002:196,134..197,555(-)",hypothetical protein,53253,Not Assigned,,473,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000600,B9J08_000600-t37_1,Candida auris strain B8441,"PEKT02000002:201,871..203,205(+)",hypothetical protein,49273,Not Assigned,,444,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000608,B9J08_000608-t37_1,Candida auris strain B8441,"PEKT02000002:216,145..216,879(-)",hypothetical protein,27984,Not Assigned,,244,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000626,B9J08_000626-t37_1,Candida auris strain B8441,"PEKT02000002:259,232..260,611(-)",hypothetical protein,52294,Not Assigned,,459,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000642,B9J08_000642-t37_1,Candida auris strain B8441,"PEKT02000002:286,509..287,936(-)",hypothetical protein,54097,Not Assigned,,475,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000652,B9J08_000652-t37_1,Candida auris strain B8441,"PEKT02000002:303,957..304,724(-)",hypothetical protein,28310,Not Assigned,,255,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000653,B9J08_000653-t37_1,Candida auris strain B8441,"PEKT02000002:305,222..307,021(-)",hypothetical protein,64345,Not Assigned,,578,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000663,B9J08_000663-t37_1,Candida auris strain B8441,"PEKT02000002:331,665..332,165(-)",hypothetical protein,19222,Not Assigned,,166,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000664,B9J08_000664-t37_1,Candida auris strain B8441,"PEKT02000002:332,513..333,688(-)",hypothetical protein,42359,Not Assigned,,391,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000672,B9J08_000672-t37_1,Candida auris strain B8441,"PEKT02000002:343,501..344,484(-)",hypothetical protein,36430,Not Assigned,,327,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000676,B9J08_000676-t37_1,Candida auris strain B8441,"PEKT02000002:361,725..362,219(+)",hypothetical protein,18650,Not Assigned,,164,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000702,B9J08_000702-t37_1,Candida auris strain B8441,"PEKT02000002:420,556..420,978(-)",hypothetical protein,16429,Not Assigned,,140,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000712,B9J08_000712-t37_1,Candida auris strain B8441,"PEKT02000002:444,370..445,929(+)",hypothetical protein,59484,Not Assigned,,519,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000724,B9J08_000724-t37_1,Candida auris strain B8441,"PEKT02000002:468,675..469,118(-)",hypothetical protein,16620,Not Assigned,,147,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000730,B9J08_000730-t37_1,Candida auris strain B8441,"PEKT02000002:483,030..484,175(+)",hypothetical protein,42917,Not Assigned,,381,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000783,B9J08_000783-t37_1,Candida auris strain B8441,"PEKT02000002:604,094..605,818(-)",hypothetical protein,65429,Not Assigned,,574,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000799,B9J08_000799-t37_1,Candida auris strain B8441,"PEKT02000002:645,334..647,145(+)",hypothetical protein,65137,Not Assigned,,603,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000806,B9J08_000806-t37_1,Candida auris strain B8441,"PEKT02000002:662,235..663,146(-)",hypothetical protein,34382,Not Assigned,,303,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000807,B9J08_000807-t37_1,Candida auris strain B8441,"PEKT02000002:663,732..664,565(-)",hypothetical protein,31894,Not Assigned,,277,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000817,B9J08_000817-t37_1,Candida auris strain B8441,"PEKT02000002:682,459..682,743(+)",hypothetical protein,11137,Not Assigned,,94,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000824,B9J08_000824-t37_1,Candida auris strain B8441,"PEKT02000002:697,410..698,036(-)",hypothetical protein,22260,Not Assigned,,208,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000830,B9J08_000830-t37_1,Candida auris strain B8441,"PEKT02000002:713,322..714,278(+)",hypothetical protein,34828,Not Assigned,,318,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000834,B9J08_000834-t37_1,Candida auris strain B8441,"PEKT02000002:718,514..719,779(+)",hypothetical protein,48636,Not Assigned,,421,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000846,B9J08_000846-t37_1,Candida auris strain B8441,"PEKT02000002:748,062..748,343(-)",hypothetical protein,10605,Not Assigned,,93,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000859,B9J08_000859-t37_1,Candida auris strain B8441,"PEKT02000002:773,454..774,953(+)",hypothetical protein,52152,Not Assigned,,499,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000890,B9J08_000890-t37_1,Candida auris strain B8441,"PEKT02000002:832,111..832,734(-)",hypothetical protein,19949,Not Assigned,,207,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000891,B9J08_000891-t37_1,Candida auris strain B8441,"PEKT02000002:834,443..834,910(-)",hypothetical protein,18328,Not Assigned,,155,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000892,B9J08_000892-t37_1,Candida auris strain B8441,"PEKT02000002:835,516..836,259(-)",hypothetical protein,22732,Not Assigned,,247,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000906,B9J08_000906-t37_1,Candida auris strain B8441,"PEKT02000002:870,463..870,687(-)",hypothetical protein,8464,Not Assigned,,74,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000911,B9J08_000911-t37_1,Candida auris strain B8441,"PEKT02000002:878,248..878,808(-)",hypothetical protein,20893,Not Assigned,,186,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000919,B9J08_000919-t37_1,Candida auris strain B8441,"PEKT02000002:895,513..896,270(+)",hypothetical protein,25058,Not Assigned,,234,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
B9J08_000931,B9J08_000931-t37_1,Candida auris strain B8441,"PEKT02000002:932,172..934,181(+)",hypothetical protein,75201,Not Assigned,,669,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
