Protein,Output_Type,Description,Word_Count,Exact_Duplicate_Count,Review_Reasons,Review_Flag,ProtNLM_Top1,ProtNLM_Top1_Score,ProtNLM_Top1_Generic,ProtNote_Top_GO_Description,ProtNote_Top_Probability,ProtNote_Specific_Count,ProtNote_HighConf_Specific_Count,Ortholog count,Protein Length
B9J08_003337,function,"Envelope glycoprotein that plays a role in viral morphogenesis, virion assembly and budding. Plays a role in the correct incorporation of transmembrane proteins into virion membranes. Directs the glycoprotein N to the host cell surface.",35,1,bacterial_or_viral_context,True,Transmembrane protein,0.0611259591462971,False,membrane part,0.9423,12,2,16,109
B9J08_003672,function,May be involved in plasmodesmata-mediated intercellular bacteria spread.,8,1,bacterial_or_viral_context,True,ABC transporter ATP-binding protein,0.1128414260391615,False,membrane part,0.9514,10,2,4,119
B9J08_004366,function,"Involved in control of host immune response to bacterial pathogens, including F.oxysporum and M.tuberculosis.",14,1,bacterial_or_viral_context,True,NPH3 domain-containing protein,0.1991381373696,False,biological_process,0.9518,18,18,7,113
B9J08_004471,function,Flagellin is the subunit protein which polymerizes to form the filaments of bacterial flagella.,14,2,bacterial_or_viral_context,True,Str. FM013,0.0604043432097557,False,cellular_component,0.8364,13,6,18,117
B9J08_004897,function,Flagellin is the subunit protein which polymerizes to form the filaments of bacterial flagella.,14,2,bacterial_or_viral_context,True,Secreted protein,0.0933975300505416,False,cellular_component,0.7913,12,1,18,117
B9J08_005063,function,Effector proteins function to alter host cell physiology and promote bacterial survival in host tissues. This protein is required for host cell invasion across the host outer membrane.,28,1,bacterial_or_viral_context,True,ABC transmembrane type-1 domain-containing protein,0.0999565187094824,False,membrane part,0.8544,13,2,8,120
B9J08_005321,function,Effector proteins function to alter host cell physiology and promote bacterial survival in host tissues. This protein is an obligate antigen for M.tuberculosis.,23,1,bacterial_or_viral_context,True,Transmembrane protein INAFM2,0.0484867044160088,False,cellular_component,0.7709,12,0,9,105
B9J08_005333,function,Effector proteins function to alter host cell physiology and promote bacterial survival in host tissues. This protein is required for endothelial cell fusion and the formation of a tubular structure on the bacterial surface.,34,1,bacterial_or_viral_context,True,Hypothetical protein,0.8662985964655129,True,intrinsic component of membrane,0.7456,12,3,19,99
B9J08_004007,function,": Plays a role in the biogenesis of the viral envelope, and is required for the cell-to-cell spread of the virus. ; FUNCTION: : An outer shell protein that acts as a lipoprotein in the virion membrane. Associates with lipoproteins and is involved in the attachment, budding and entry process. Also plays a role in the transport of nucleocapsid proteins from the Golgi complex to the host cytoplasm.",68,1,bacterial_or_viral_context; extreme_length_outlier,True,Pecanex-like protein,0.2176258614603022,False,cellular_component,0.806,13,5,8,202
B9J08_000817,function,"Non-catalytic subunit of the obisolate reductase complex, a multiprotein complex that catalyzes the initial transfer of a defined glycan ManGlcNAc in eukaryotes) from the lipid carrier dolichol-pyrophosphate to an asparagine residue within an Asn-X-Ser/Thr consensus motif in ubiquitin chains, the first step in ubiquitin chain maturation. The complex also has a depalmitoyl transferase activity.",54,1,extreme_length_outlier,True,NAM-associated domain-containing protein,0.082233340571057,False,cellular_component,0.8309,12,5,10,94
B9J08_001011,function,"This protein is an atypical, non-specific DNA-binding protein that functions in cell cycle urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari urmari",1011,1,extreme_length_outlier,True,Zinc finger protein,0.0471324817913789,False,biological_process,0.5024,11,0,12,461
B9J08_001234,function,"Capsid protein p27: Self-associates to form the irregular polyhedron core composed of hexamers and pentamers, that encapsulates the genomic RNA-nucleocapsid complex. Aspartyl protease p27: self-associates to form the irregular polyhedron core composed of hexamers and pentamers, that encapsulates the genomic RNA-nucleocapsid complex. ; FUNCTION: : Mediates proteolytic cleavages of Gag and Gag-Pol polyproteins during or shortly after the release of the virion from the plasma membrane. Cleavages take place as an ordered, step-wise cascade to yield mature proteins. This process is called maturation. Displays maximal activity during the budding process just prior to particle release from the cell.",98,1,extreme_length_outlier,True,SEP domain-containing protein,0.2383722067112799,False,cellular_component,0.5461,14,0,23,165
B9J08_002270,function,"RNA-binding component of the eukaryotic translation initiation factor 3 complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation.",55,1,extreme_length_outlier,True,Nuclear pore complex protein,0.2381489885206452,False,cellular_component,0.7829,12,12,22,467
B9J08_002288,function,"Alpha subunit of the oligosaccharyl transferase complex that catalyzes the initial transfer of a single N-acetylglucosamine from S-adenosyl-L-methionine to an asparagine residue within an Asn-X-Ser/Thr consensus motif in glycans, the first step in protein N-glycosylation. N-glycosylation occurs cotranslationally and the complex associates with the Sec61 complex at the channel-forming translocon complex that mediates protein translocation across the endoplasmic reticulum All subunits are required for a maximal enzyme activity",68,1,extreme_length_outlier,True,Trm112 family protein,0.0233378951138896,False,cellular_component,0.9355,11,2,12,83
B9J08_003532,function,"The BBSome complex is thought to function as a coat complex required for sorting of specific membrane proteins to the primary cilia. The BBSome complex is required for ciliogenesis but is dispensable for centriolar satellite function. This ciliogenic function is mediated in part by the Rab8 GDP/GTP exchange factor, which localizes to the basal body and contacts the BBSome. Rab8 enters the primary cilium and promotes extension of the ciliary membrane. Firstly the BBSome associates with the ciliary membrane and binds to RAB3IP/Rabin8, the guanosyl exchange factor for Rab8 and then the Rab8-GTP localizes to the cilium and promotes docking and fusion of carrier vesicles to the base of the ciliary membrane. The BBSome complex, together with the LTZL1, controls SMO ciliary trafficking and contributes to the sonic hedgehog pathway regulation. Required for proper BBSome complex assembly and its ciliary localization.",141,1,extreme_length_outlier,True,Membrane-associated kinase regulator 6,0.0595393193781641,False,cell part,0.7871,11,4,11,330
B9J08_004287,function,"Non-canonical non-ribosomal peptide synthetase; part of the gene cluster that mediates the biosynthesis of dothistromin, a polyketide toxin very similar in structure to the aflatoxin precursor, versicolorin B The first step of the pathway is the conversion of acetate to norsolorinic acid and requires the fatty acid synthase subunits hexA and hexB, as well as the polyketide synthase pksA PksA combines a hexanoyl starter unit and 7 malonyl-CoA extender units to synthesize the precursor NOR The hexanoyl starter unit is provided to the acyl-carrier protein domain by the fungal fatty acid synthase hexA/hexB The second step is the conversion of NOR to averantin and requires the norsolorinic acid ketoreductase nor1, which catalyzes the dehydration of norsolorinic acid to form -averantin Finally",121,1,extreme_length_outlier,True,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5, mitochondrial",0.2256056526916286,False,molecular_function,0.7253,13,13,5,348
B9J08_005173,function,"Regulatory subunit of the ATP-dependent BCR E3 ubiquitin ligase complex, which is involved in the control of many cellular processes, including protection of the proteome from stress, folding and transport of newly synthesized polypeptides, activation of proteolysis of misfolded proteins and the formation and dissociation of protein complexes. Plays a pivotal role in the protein quality control system, ensuring the correct folding of proteins, the re-folding of misfolded proteins and controlling the targeting of proteins for subsequent degradation. This is achieved through cycles of ATP binding, phosphorylation and stabilization of the microtubule plus-end tracking protein YAP1. The C-terminal peptide regulates the affinity of YAP1 for substrate proteins.",107,1,extreme_length_outlier,True,Pro-interleukin-16,0.0523141157772329,False,cellular_component,0.9283,12,10,5,730
B9J08_005439,function,"Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors.",72,1,extreme_length_outlier,True,Mediator complex subunit 4,0.0953382302092074,False,cell part,0.9133,14,14,27,317
B9J08_000006,function,May play a protective role in mucosal tissues by preventing exaggerated allergic responses.,13,1,metazoan_or_clinical_context,True,Hypothetical protein,0.0705935035912406,True,cellular_component,0.8956,12,2,10,270
B9J08_000931,function,Required for normal neuronal function and axonal outgrowth and maintenance.,10,1,metazoan_or_clinical_context,True,Pecanex-like protein,0.1165198946933235,False,cellular_component,0.9596,12,8,5,669
B9J08_002441,function,Positive transcription elongation factor for pv. tomato DC3000 Required for gametophyte and embryonic development,14,1,metazoan_or_clinical_context,True,Iwr1 domain-containing protein,0.1229595816714397,False,membrane-bounded organelle,0.7556,11,7,24,235
B9J08_002616,function,"A non-essential subunit of a heterodimeric enolase, it catalyzes the covalent attachment of a thioester to the 5'-position of a serine or threonine residue in a target protein. This enoyl-thioester transfers the newly generated reducing end to the non-reducing end of another enoyl-thioester, resulting in the formation of a covalent mammalian thioester",52,1,metazoan_or_clinical_context,True,Transferrin-like domain-containing protein,0.1697036989206472,False,biological_process,0.7417,10,0,40,305
B9J08_003601,function,Probably plays a role in embryogenesis.,6,2,metazoan_or_clinical_context,True,U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein,0.0787196487871872,False,cellular_component,0.8429,12,4,8,165
B9J08_004034,function,Probably plays a role in embryogenesis.,6,2,metazoan_or_clinical_context,True,Similar to,0.0576611669464263,True,cellular_component,0.9146,11,10,21,251
B9J08_000249,function,"OBSOLETE is a single-component, multi-subunit protein that functions as a transcriptional regulator of nearly all RNA polymerase II-dependent genes.",19,1,obsolete_placeholder,True,Protein TSSC4,0.0866319455543794,False,biological_process,0.746,9,0,8,436
B9J08_000259,function,OBSOLETE is an essential component of the OBSOLETE complex. It is required for the correct localization of OBSOLETE to the cell membrane.,22,1,obsolete_placeholder,True,HIG1 domain-containing protein,0.820527259083487,False,intracellular part,0.9054,13,13,347,188
B9J08_000481,function,"OBSOLETE is a member of the pentose phosphate transporter family which is involved in the control of a large number of enzymes, ion channels and other proteins.",27,1,obsolete_placeholder,True,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13,0.261474502577451,False,cellular_component,0.9856,11,11,25,237
B9J08_000502,function,"Essential component of the OBSOLETE complex, a complex that is required for the maintenance of the structure of the mitochondrial compartment.",21,1,obsolete_placeholder,True,Transmembrane protein,0.1139199974261049,False,cellular_component,0.9829,15,15,21,134
B9J08_000586,function,OBSOLETE is a member of the mitochondrial inner membrane protein supercomplex that forms a link between the inner and outer membranes.,21,1,obsolete_placeholder,True,COX6C domain-containing protein,0.0232384917577975,False,cellular_component,0.9739,12,12,22,150
B9J08_000672,function,This protein is an obisoluteute protein.,6,3,obsolete_placeholder,True,PP1-binding domain-containing protein,0.0315117634030431,False,biological_process,0.616,15,2,7,327
B9J08_000846,function,"Component of the OBSOLETE complex, a complex that regulates the turnover of the translation initiation factor eIF4E.",17,1,obsolete_placeholder,True,Hypothetical protein,0.0389748778016567,True,cell part,0.9104,14,11,18,93
B9J08_000890,function,"Part of the OBSOLETE complex, a complex required for the translocation of lipoproteins and proteins from the endoplasmic reticulum to the plasma membrane.",23,1,obsolete_placeholder,True,Infection structure specific protein,0.1329563013526846,False,cellular_component,0.9797,13,9,8,207
B9J08_001028,function,"OBSOLETE is an obissufide reductase that can both act as an opsonin and a repressor of transcription, depending on the context.",21,1,obsolete_placeholder,True,AHD domain-containing protein,0.0276084809484171,False,cellular_component,0.7481,11,4,378,395
B9J08_001147,function,"Component of the OBSOLETE complex, a complex that is part of the mitochondrial inner membrane.",15,1,obsolete_placeholder,True,Conserved protein,0.0657849454277132,True,cellular_component,0.9942,13,13,22,109
B9J08_001214,function,Part of the OBSOLETE complex which is required for efficient peptide transfer between the endoplasmic reticulum and the Golgi apparatus.,20,1,obsolete_placeholder,True,EC:2.7.11.1,0.1197055001060787,False,cellular_component,0.9544,15,15,22,588
B9J08_001290,function,This protein is an obisoluteute protein.,6,3,obsolete_placeholder,True,C2H2-type domain-containing protein,0.0980922689312581,False,biological_process,0.996,14,14,12,671
B9J08_001314,function,"This protein is a component of the OBSOLETE complex, a complex localized at the midbody of mitotic chromosomes.",18,1,obsolete_placeholder,True,SWI5-dependent HO expression protein 3,0.4910087455039137,False,cellular_component,0.7938,15,1,20,743
B9J08_001617,function,The OBSOLETE complex catalyzes the formation of cyclic dinucleotides from one molecule of acetyl-CoA and three molecules of malonyl-CoA.,19,1,obsolete_placeholder,True,Hypothetical_protein,0.0587400869162623,True,cellular_component,0.8528,12,12,21,378
B9J08_001639,function,OBSOLETE is a member of the ubiquitin-like factor family that controls ubiquitination and subsequent proteasomal degradation of target proteins.,19,1,obsolete_placeholder,True,(pine wood nematode) hypothetical protein,0.049319539464577,False,biological_process,0.7559,11,5,70,147
B9J08_001932,function,"OBSOLETE is a protein that binds to the glycine ring of phosphatidylinositol 3,4,5-trisphosphate.",13,1,obsolete_placeholder,True,Fibroin heavy chain,0.0403157591617447,False,cellular_component,0.88,9,6,11,440
B9J08_002007,function,OBSOLETE is a member of the mitochondrial ribonucleoprotein complexes which are responsible for the majority of the mitochondrial ribonucleotide exchange activities.,21,1,obsolete_placeholder,True,RAP domain-containing protein,0.1125085031465221,False,cellular_component,0.957,13,10,18,748
B9J08_002021,function,"OBSOLETE is a protein that binds to phosphatidylinositol 4,5-bisphosphate.",9,1,obsolete_placeholder,True,XK-related protein,0.1066407982352273,False,cellular_component,0.9947,11,11,21,289
B9J08_002141,function,OBSOLETE is an endoplasmic reticulum-associated protein that may function as a regulator of cellular lipid homeostasis.,16,1,obsolete_placeholder,True,Hypothetical protein,0.2148739647284509,True,integral component of membrane,0.9814,11,7,19,306
B9J08_002314,function,OBSOLETE is a cell surface and a part of a complex that catalyzes the translocation of phosphatidylinositol to the plasma membrane.,21,1,obsolete_placeholder,True,CID domain-containing protein,0.0399867151176996,False,cellular_component,0.7685,12,12,14,371
B9J08_002509,function,"OBSOLETE is a single-stranded, multi-subunit protein capable of binding to the DNA of a wide variety of motifs.",18,1,obsolete_placeholder,True,Hypothetical protein,0.031681697993626,True,cell part,0.7933,12,4,8,473
B9J08_002525,function,"OBSOLETE is a protein that binds to the G box, a well-characterized cis-acting DNA regulatory element found in plant genes.",20,1,obsolete_placeholder,True,DUF632 domain-containing protein,0.0355293760751572,False,cellular_component,0.8752,11,5,22,221
B9J08_002541,function,Probably part of the OBSOLETE complex.,6,2,obsolete_placeholder,True,Protein kinase domain-containing protein,0.0348336454676432,False,intrinsic component of membrane,0.9848,10,10,23,481
B9J08_002843,function,OBSOLETE is required for cell division.,6,1,obsolete_placeholder,True,Hypothetical protein,0.0773629899714137,True,cellular_component,0.976,11,11,22,416
B9J08_003137,function,OBSOLETE is a protein that binds to the G-protein of phosphatidylinositol 3-kinase.,12,1,obsolete_placeholder,True,Cation transport regulator ChaB,0.2375778517234241,False,cellular_component,0.8808,9,5,19,122
B9J08_003419,function,Component of the mitochondrial OBSOLETE complex.,6,1,obsolete_placeholder,True,Cell wall surface anchor family protein,0.0341912148756549,False,cellular_component,0.9373,12,9,22,222
B9J08_003422,function,OBSOLETE is thought to function as a protein carrier in the nucleus and may be involved in some secretory processes.,20,1,obsolete_placeholder,True,Hypothetical protein,0.0608215782245729,True,cellular_component,0.8286,9,1,14,298
B9J08_003434,function,OBSOLETE is a protein that binds to the plus-strand of a variety of RNA polymerase beta subunits.,17,1,obsolete_placeholder,True,Mto2_bdg domain-containing protein,0.2047546950224154,False,cellular_component,0.9642,10,8,129,720
B9J08_003636,function,"This protein is a component of the OBSOLETE complex, a complex that localizes to the nucleus and nuclei and regulates gene expression.",22,1,obsolete_placeholder,True,Mediator of RNA polymerase II transcription subunit 9,0.0326773234678103,False,biological_process,0.7385,12,3,22,147
B9J08_003777,function,OBSOLETE is a lipoprotein that binds to phospholipid vesicles and functions in the same biological function.,16,1,obsolete_placeholder,True,Transmembrane protein,0.0905602129929303,False,cellular_component,0.973,10,7,6,197
B9J08_003970,function,"OBSOLETE is a multifunctional protein that acts as an enzymatically inactive cytidine kinase, a DNA-binding protein, and a ribonucleotide reductase.",20,1,obsolete_placeholder,True,AMP-binding domain-containing protein,0.5573889280137649,False,cellular_component,0.9214,11,4,254,488
B9J08_004102,function,"Part of the OBSOLETE complex, which is required for the outer membrane binding and adherence of M.tuberculosis.",17,1,obsolete_placeholder,True,Secreted protein,0.075096137093616,False,cellular_component,0.7889,12,2,18,123
B9J08_004105,function,"Component of the OBSOLETE complex, a complex that acts as a regulator of cell cycle progression and is essential for stability of the BBSome complex.",25,1,obsolete_placeholder,True,Protein FAM228B,0.0835960049103352,False,cell part,0.9141,10,5,4,203
B9J08_004275,function,OBSOLETE is a member of the ubiquinol-cytochrome c reductase complex that catalyzes the reduction of ubiquinol to ubiquinol by the proteasome.,21,1,obsolete_placeholder,True,Transmembrane protein,0.0768002125974801,False,cellular_component,0.9459,11,11,36,390
B9J08_004276,function,Part of the OBSOLETE complex which seems to be a cell surface adhesion protein.,14,1,obsolete_placeholder,True,GPI anchored protein,0.071464423486142,False,cellular_component,0.9908,12,5,7,299
B9J08_004395,function,Probably part of the OBSOLETE complex.,6,2,obsolete_placeholder,True,Coiled-coil protein,0.3159122790530183,False,cellular_component,0.8725,12,8,24,316
B9J08_004484,function,OBSOLETE is a member of the mitochondrial supercomplex of the outer membrane that forms a link between the inner and outer membranes.,22,1,obsolete_placeholder,True,Hypothetical_protein,0.2261767484001696,True,cellular_component,0.9853,12,12,27,225
B9J08_004575,function,"OBSOLETE is a protein that binds to phosphatidylinositol 4,5-bisphosphate P2).",10,1,obsolete_placeholder,True,Monopolar spindle protein 2,0.1031900079992807,False,membrane part,0.9639,10,5,12,321
B9J08_004660,function,"Component of the OBSOLETE complex, a coactivator of protein kinase A.",11,1,obsolete_placeholder,True,Transcription factor,0.0507320530960993,False,cellular_component,0.8858,13,8,22,322
B9J08_004780,function,This protein is an obisoluteute protein.,6,3,obsolete_placeholder,True,"ATPase expression protein 2, mitochondrial",0.5639391175361558,False,cellular_component,0.9196,15,15,23,399
B9J08_005200,function,"Component of the OBSOLETE complex, a large ribosomal subunit involved in translation initiation.",13,1,obsolete_placeholder,True,"54S ribosomal protein L39, mitochondrial",0.0077665203645874,False,cytoplasmic part,0.8213,12,5,10,67
