Protein	GO_IDs
B9J08_000116	GO:0005575;GO:0044464;GO:0008150;GO:0030312;GO:0005618;GO:0031224;GO:0044462;GO:0016020;GO:0019867;GO:0031225;GO:0009277;GO:0044425;GO:0003674;GO:0044426;GO:0009279;GO:0003824;GO:0009987
B9J08_000117	GO:0005575;GO:0044464;GO:0008150;GO:0031225;GO:0009987;GO:0003674;GO:0016020;GO:0031224;GO:0003824;GO:0044425;GO:0071554;GO:0044237;GO:0005886;GO:0071704;GO:0008152;GO:0016491;GO:0045229
B9J08_000119	GO:0005575;GO:0044425;GO:0044464;GO:0008150;GO:0009987;GO:0044424;GO:0044444;GO:0044429;GO:0016043;GO:0044446;GO:0071840;GO:0044422;GO:0016021;GO:0044455;GO:0031224;GO:0022607;GO:0034622;GO:0065003;GO:0017004;GO:0017062
B9J08_000124	GO:0008150;GO:0005575;GO:0044464;GO:0044444;GO:0050794;GO:0044424;GO:0065007;GO:0009987;GO:0050789;GO:0044446;GO:0044422;GO:0097159;GO:0044430;GO:0005634;GO:0043226;GO:1901363;GO:0043227;GO:0043229;GO:0043231
B9J08_000158	GO:0005575;GO:0016021;GO:0008150;GO:0044425;GO:0031224;GO:0009987;GO:0044464;GO:0016020;GO:0032502;GO:0048856;GO:0044764;GO:0030154;GO:0048869;GO:0008219;GO:0012501
B9J08_000197	GO:0005575;GO:0044464;GO:0044424;GO:0008150;GO:0044446;GO:0044422;GO:0016043;GO:0009987;GO:0071840;GO:0006996;GO:0043226;GO:0043229;GO:0044427;GO:0005816;GO:0043933;GO:1902590;GO:0022607;GO:0022402;GO:0065003
B9J08_000211	GO:0044237;GO:0034641;GO:0008150;GO:0005575;GO:0043170;GO:0006807;GO:0071704;GO:1901360;GO:0006725;GO:0044238;GO:0046483;GO:0006139;GO:0008152;GO:0016070;GO:0090304;GO:0018995;GO:0044094;GO:0044196;GO:0009987
B9J08_000221	GO:0005575;GO:0003674;GO:0008150;GO:0044464;GO:0002474;GO:0044425;GO:0009308;GO:0005488;GO:0030246;GO:0009987;GO:0030154;GO:0019865;GO:0042597;GO:0042302;GO:0045735;GO:0048869;GO:0031243;GO:0016810
B9J08_000224	GO:0044425;GO:0005575;GO:0044422;GO:0044446;GO:0044424;GO:0003674;GO:0044444;GO:0044464;GO:0044432;GO:0031224;GO:0016021;GO:0008150;GO:0044431;GO:0005488;GO:0005789;GO:0033218;GO:0031090
B9J08_000249	GO:0008150;GO:0044464;GO:0005575;GO:0050789;GO:0009987;GO:0065007;GO:0050794;GO:0043227;GO:0043226;GO:0003674;GO:0044424;GO:0043231;GO:0010468;GO:0005488;GO:0005886;GO:0021700;GO:0043229;GO:0019899
B9J08_000259	GO:0044424;GO:0005575;GO:0044444;GO:0044425;GO:0031224;GO:0044464;GO:0016021;GO:0008150;GO:0044446;GO:0044422;GO:0044429;GO:0009987;GO:0032592;GO:0008152;GO:0098573;GO:0031301;GO:0031300;GO:0044237;GO:0044455;GO:0043226
B9J08_000266	GO:0008150;GO:0005575;GO:0008152;GO:0071704;GO:0009987;GO:0005975;GO:0044237;GO:0048046;GO:0044464;GO:0003674;GO:0044238;GO:0005576;GO:0044248;GO:0016052;GO:0044262;GO:0009056;GO:0050896;GO:1901575
B9J08_000292	GO:0044464;GO:0003674;GO:0008150;GO:0005575;GO:0005886;GO:0009987;GO:0044462;GO:0016020;GO:0071704;GO:0044426;GO:0008152;GO:0043167;GO:0005488;GO:0170034
B9J08_000295	GO:0005575;GO:0044464;GO:0044424;GO:0044425;GO:0044429;GO:0044422;GO:0044444;GO:0044446;GO:0008150;GO:0044455;GO:0032991;GO:0008152;GO:0098796;GO:0044237;GO:0098800;GO:0009987;GO:0140535;GO:0022900;GO:0006091
B9J08_000308	GO:0005575;GO:0008150;GO:0044464;GO:0005737;GO:0044424;GO:0051179;GO:0016020;GO:0033036;GO:0008104;GO:0044422;GO:0019894;GO:0006810;GO:0048609;GO:0005929;GO:0065007;GO:0071702;GO:0016192
B9J08_000336	GO:0008150;GO:0032502;GO:0005575;GO:0044464;GO:0048856;GO:0032501;GO:0005886;GO:0016020;GO:0009987;GO:0048468;GO:0050789;GO:0009966;GO:0048869;GO:0031012;GO:0050794;GO:0065007;GO:0048583;GO:0022412;GO:0009886;GO:0009798
B9J08_000357	GO:0008150;GO:0050896;GO:0006950;GO:0005575;GO:0003674;GO:0009628;GO:0009605;GO:0018995;GO:0033643;GO:0006979;GO:0043226;GO:0044422;GO:0044464;GO:0006952;GO:0009991;GO:0009987;GO:0010224;GO:0033554;GO:0044424;GO:0033646
B9J08_000361	GO:0005575;GO:0044464;GO:0044424;GO:0043229;GO:0043226;GO:0043227;GO:0097708;GO:0031410;GO:0031982;GO:0044444;GO:0043231;GO:0008150;GO:0044446;GO:0044422;GO:0005773;GO:0097223;GO:0044430;GO:0005634;GO:0044451
B9J08_000369	GO:0005575;GO:0016021;GO:0044425;GO:0031224;GO:0008150;GO:0044446;GO:0005576;GO:0044429;GO:0044422;GO:0044444;GO:0044464;GO:0044424;GO:0032418;GO:0018995;GO:0033643
B9J08_000375	GO:0005575;GO:0003674;GO:0008150;GO:0005488;GO:0050896;GO:0006950;GO:0044464;GO:0008152;GO:0005102;GO:0005549;GO:0042221;GO:0044444;GO:0044424;GO:0051704;GO:0044419;GO:0005515;GO:0055114;GO:0005576;GO:0044446
B9J08_000380	GO:0008150;GO:0005575;GO:0044424;GO:0050789;GO:0009987;GO:0071704;GO:0044464;GO:0044444;GO:0065007;GO:0050794;GO:0019222;GO:0008152;GO:0043226;GO:0043229;GO:0043227;GO:0044237;GO:0003674;GO:0009058;GO:0005739
B9J08_000403	GO:0005575;GO:0008150;GO:0044464;GO:0044424;GO:0043231;GO:0043227;GO:0043226;GO:0043229;GO:0005634;GO:0065007;GO:0009987;GO:0022610;GO:0051704;GO:0050789;GO:0140110;GO:0048518;GO:0007155;GO:0075003;GO:0003674;GO:0141018
B9J08_000429	GO:0044424;GO:0003674;GO:0044444;GO:0044446;GO:0044422;GO:0005575;GO:0044464;GO:0044429;GO:0003824;GO:0070013;GO:0031974;GO:0043233;GO:0006091;GO:0009987;GO:0008150;GO:0055114;GO:0005759;GO:0022900;GO:0008152
B9J08_000438	GO:0005575;GO:0005618;GO:0030312;GO:0008150;GO:0051704;GO:0044419;GO:0044464;GO:0071554;GO:0009277;GO:0031224;GO:0005576;GO:0044425;GO:0071840;GO:0071555;GO:0031225;GO:0071852;GO:0003824;GO:0016757;GO:0016043
B9J08_000439	GO:0005575;GO:0044444;GO:0044425;GO:0016021;GO:0044464;GO:0044429;GO:0044424;GO:0031224;GO:0044446;GO:0044422;GO:0044455;GO:0034622;GO:0031301;GO:0065003;GO:0009987;GO:0032592;GO:0071840;GO:0016043;GO:0031305;GO:0017004
B9J08_000440	GO:0008150;GO:0044424;GO:0044464;GO:0005575;GO:0050789;GO:0044260;GO:0009987;GO:0065007;GO:0050794;GO:0034641;GO:0006139;GO:0006725;GO:0046483;GO:0044237;GO:0043227;GO:0043226;GO:0051128;GO:0043231;GO:0043229;GO:0005634
B9J08_000441	GO:0005575;GO:0044464;GO:0044424;GO:0008150;GO:0043226;GO:0043229;GO:0043227;GO:0043231;GO:0005634;GO:0003674;GO:0033036;GO:0050789;GO:0008104;GO:0065007;GO:0050794;GO:0005737;GO:0007165;GO:0051179;GO:0016055
B9J08_000448	GO:0005575;GO:0003674;GO:0044464;GO:0008150;GO:0005488;GO:0044424;GO:0051641;GO:0033036;GO:0008104;GO:0044422;GO:0044446;GO:0016020;GO:0072657;GO:0051179;GO:0042802;GO:0009987;GO:0043167;GO:0031090;GO:0070727;GO:0043226
B9J08_000456	GO:0044464;GO:0044424;GO:0005575;GO:0003676;GO:1901363;GO:0097159;GO:0044427;GO:0003674;GO:0005488;GO:0003677;GO:0005634;GO:0008150;GO:0043231;GO:0043227;GO:0043226;GO:0009987;GO:0044446;GO:0043229;GO:0044422;GO:0007059
B9J08_000472	GO:0008150;GO:0005575;GO:0065007;GO:0044421;GO:0005615;GO:0003674;GO:0065008;GO:0050789;GO:0071702;GO:0005576;GO:0051179;GO:0051234;GO:0009962;GO:0050794;GO:0006810;GO:0016810;GO:0032991;GO:0015893
B9J08_000481	GO:0005575;GO:0044464;GO:0044424;GO:0044444;GO:0044446;GO:0044422;GO:0044429;GO:0016020;GO:0044425;GO:0031090;GO:0031966;GO:0016021;GO:0050789;GO:0008150;GO:0065007;GO:0031224;GO:0043229;GO:0043226;GO:0043227;GO:0003674
B9J08_000502	GO:0005575;GO:0044425;GO:0044424;GO:0044422;GO:0044446;GO:0016021;GO:0044429;GO:0044464;GO:0031224;GO:0044444;GO:0008150;GO:0006810;GO:0044455;GO:0051179;GO:0051234;GO:0098798;GO:0006839;GO:0055085;GO:0098796;GO:0032991
B9J08_000505	GO:0008150;GO:0005575;GO:0009987;GO:0032991;GO:0044424;GO:0140535;GO:0044464;GO:0044444;GO:0006996;GO:0044445;GO:0003674;GO:0022402;GO:0005737;GO:0140513;GO:0016043;GO:0043229
B9J08_000521	GO:0005575;GO:0044464;GO:0044424;GO:0008150;GO:0044444;GO:0065007;GO:0043226;GO:0050789;GO:0043227;GO:0043229;GO:0044446;GO:0005737;GO:0044422;GO:0043231;GO:0048583;GO:0050794;GO:0005634;GO:0048518
B9J08_000540	GO:0008150;GO:0006323;GO:0005575;GO:0009987;GO:0018995;GO:0051301;GO:0071103;GO:0033643;GO:0030261;GO:0022402;GO:0006996;GO:0033647;GO:0033646;GO:0044464;GO:0042025;GO:0065007;GO:0033648;GO:0051276;GO:0007059
B9J08_000562	GO:0044464;GO:0043229;GO:0043227;GO:0043226;GO:0043231;GO:0044424;GO:0005575;GO:0005634;GO:0008150;GO:0003674;GO:0044444;GO:0032501;GO:0071840;GO:0016043;GO:0009987;GO:0016491;GO:0009507
B9J08_000571	GO:0009987;GO:0008150;GO:0005575;GO:0044464;GO:0044424;GO:0007017;GO:0044422;GO:0044461;GO:0003674;GO:0005488;GO:0071840;GO:0016043;GO:0044430;GO:0044444;GO:0044446;GO:0005737;GO:0006996;GO:0071973;GO:0001578
B9J08_000586	GO:0005575;GO:0044425;GO:0044422;GO:0044424;GO:0044429;GO:0044446;GO:0044464;GO:0031224;GO:0016021;GO:0044444;GO:0044455;GO:0003674;GO:0005515;GO:0098796;GO:0005488;GO:0098800;GO:0032991;GO:0032592;GO:0008150
B9J08_000595	GO:0008150;GO:0005575;GO:0044464;GO:0044424;GO:0043226;GO:0009987;GO:0043229;GO:0043227;GO:0005634;GO:0043231;GO:0050794;GO:0065007;GO:0006996;GO:0050789;GO:0022402;GO:0044446;GO:0044422;GO:1903047;GO:0071840;GO:0016043
B9J08_000597	GO:0005575;GO:0044464;GO:0044424;GO:0044425;GO:0044444;GO:0031224;GO:0016021;GO:0043226;GO:0043229;GO:0043227;GO:0043231;GO:0008150;GO:0050789;GO:0065007;GO:0050794;GO:0005783;GO:0007165;GO:0009987
B9J08_000600	GO:0008150;GO:0044237;GO:0008152;GO:0071704;GO:0006807;GO:1901360;GO:0046483;GO:0006725;GO:0044238;GO:0043170;GO:0006139;GO:0003674;GO:0009987;GO:0090304;GO:0034641;GO:0005575;GO:0003824;GO:0016740
B9J08_000608	GO:0005575;GO:0044425;GO:0008150;GO:0044432;GO:0044422;GO:0044464;GO:0044424;GO:0044444;GO:0044446;GO:0031224;GO:0016021;GO:0009987;GO:0031090;GO:0051179;GO:0008104;GO:0033036;GO:0006810;GO:0045184;GO:0005789
B9J08_000626	GO:0005575;GO:0044424;GO:0044444;GO:0044446;GO:0044464;GO:0044422;GO:0044429;GO:0044425;GO:0031224;GO:0016021;GO:0007005;GO:0008150;GO:0044455;GO:0055085;GO:0051179;GO:0006810;GO:0051234;GO:0051641;GO:0051649;GO:0007007
B9J08_000642	GO:0005575;GO:0044424;GO:0044464;GO:0097159;GO:1901363;GO:0003676;GO:0008150;GO:0005488;GO:0003677;GO:0003674;GO:0003700;GO:0044444;GO:0043226;GO:0140110;GO:0043229;GO:0043231;GO:0043227;GO:0141187;GO:0005737
B9J08_000652	GO:0005575;GO:0044425;GO:0031224;GO:0016021;GO:0016020;GO:0044464;GO:0044444;GO:0044424;GO:0008150;GO:0097478;GO:0005886;GO:0048471;GO:0031090;GO:0033643;GO:1990007;GO:0018995
B9J08_000653	GO:0008150;GO:0044464;GO:0005575;GO:0044424;GO:0009987;GO:0065007;GO:0050789;GO:0044428;GO:0044446;GO:0044422;GO:0031323;GO:0019222;GO:0044237;GO:0008152;GO:0050794;GO:0010468;GO:0080090;GO:0071704;GO:0060255;GO:0051171
B9J08_000663	GO:0009987;GO:0008150;GO:0003674;GO:0005575;GO:0007049;GO:0044464;GO:0005488;GO:0043167;GO:1901363;GO:0097159;GO:0043168;GO:1901265;GO:0008144;GO:0044424;GO:0000166;GO:0051128;GO:0003824;GO:0030554;GO:0097367
B9J08_000664	GO:0005575;GO:0044464;GO:0044425;GO:0008150;GO:0016021;GO:0005886;GO:0031224;GO:0016020;GO:0009987;GO:0009548;GO:0051179;GO:1990007;GO:0097478;GO:0051234;GO:0006810
B9J08_000672	GO:0008150;GO:0043170;GO:0071704;GO:0005575;GO:0009987;GO:0044237;GO:0044238;GO:0008152;GO:0044464;GO:0006725;GO:0044260;GO:0046483;GO:0006807;GO:0044424;GO:1901360;GO:0006139;GO:0090304;GO:0034641;GO:0022613
B9J08_000676	GO:0044464;GO:0005575;GO:0044424;GO:0044444;GO:0008150;GO:0019685;GO:0003674;GO:0043226;GO:0043229;GO:0043227;GO:0044446;GO:0042619;GO:0043231;GO:0003824;GO:0005737;GO:0016020;GO:0042618
B9J08_000702	GO:0008150;GO:0071704;GO:0044238;GO:0044424;GO:0005575;GO:0044464;GO:0008152;GO:0019538;GO:0043170;GO:0009987;GO:1901564;GO:0006807;GO:0044446;GO:0044444;GO:0003674;GO:0044422;GO:0006508;GO:0044428;GO:0005829
B9J08_000712	GO:0050789;GO:0008150;GO:0065007;GO:0005488;GO:0050794;GO:0043167;GO:0003674;GO:0046872;GO:0043169;GO:0005575;GO:0097478;GO:0019222;GO:0016020;GO:0031090;GO:0031323;GO:0044422;GO:0044464;GO:0044446;GO:0044424;GO:0007165
B9J08_000724	GO:0005575;GO:0044464;GO:0044424;GO:0008150;GO:0030684;GO:0003674;GO:0044444;GO:0044422;GO:0044085;GO:0043226;GO:0044446;GO:1990904;GO:0043229;GO:0016020;GO:0043227;GO:0016787;GO:0044391;GO:0003824;GO:0043231;GO:0022613
B9J08_000730	GO:0008150;GO:0005488;GO:0003674;GO:0005575;GO:0044464;GO:0044424;GO:0009987;GO:0065007;GO:0050789;GO:0016043;GO:0071840;GO:0044422;GO:0044444;GO:0005515;GO:0050794;GO:0044446;GO:0043169;GO:0051087;GO:0046872;GO:0045185
B9J08_000783	GO:0008150;GO:0009987;GO:0071704;GO:0043170;GO:0044260;GO:0044237;GO:0008152;GO:0044464;GO:0006807;GO:0044238;GO:0022402;GO:0046483;GO:0044424;GO:0005575;GO:0007131;GO:1901360;GO:0016043;GO:0006139;GO:0071840
B9J08_000799	GO:0008150;GO:0044464;GO:0005575;GO:0044424;GO:0065007;GO:0050789;GO:0009987;GO:0050794;GO:0043227;GO:0043231;GO:0043229;GO:0043226;GO:0005634;GO:0005737;GO:0007165;GO:0005488;GO:0003674;GO:0005515;GO:0019222;GO:0071840
B9J08_000806	GO:0044425;GO:0016021;GO:0005575;GO:0003674;GO:0031224;GO:0003824;GO:0008150;GO:0044464;GO:0009987;GO:0005488;GO:0006793;GO:0043167;GO:0046872;GO:0006796;GO:0044237;GO:0043169
B9J08_000807	GO:0044464;GO:0005575;GO:0044424;GO:0008150;GO:0050789;GO:0065007;GO:0050794;GO:0060255;GO:0010468;GO:0009889;GO:0019222;GO:0043226;GO:0031326;GO:0010556;GO:0031323;GO:0071704;GO:0043229;GO:2000112;GO:0051171;GO:0006807
B9J08_000817	GO:0005575;GO:0044424;GO:0044464;GO:0008150;GO:0043229;GO:0043226;GO:0043231;GO:0043227;GO:0009987;GO:0140535;GO:1902494;GO:0032991;GO:1990234;GO:0016043;GO:0071840;GO:0005634;GO:0044444;GO:0019222;GO:0005737
B9J08_000824	GO:0005575;GO:0044464;GO:0071555;GO:0071554;GO:0030312;GO:0005618;GO:0008150;GO:0045229;GO:0031505;GO:0071852;GO:0071840;GO:0022610;GO:0016043;GO:0009987;GO:0040007;GO:0044180;GO:0009277;GO:0030447;GO:0044181;GO:0044182
B9J08_000830	GO:0008150;GO:0005575;GO:0044464;GO:0044424;GO:0003674;GO:0009987;GO:0071704;GO:0006807;GO:1901564;GO:0008152;GO:0044238;GO:0003824;GO:0005737;GO:0019538;GO:0043170;GO:0005488;GO:0044237;GO:0016810;GO:0016787
B9J08_000834	GO:0005575;GO:0044464;GO:0008150;GO:0044424;GO:0009987;GO:0005737;GO:0044444;GO:0016020;GO:0008152;GO:0043228;GO:0044237;GO:0043232;GO:0005633;GO:0005829;GO:0005886;GO:0044419
B9J08_000846	GO:0044464;GO:0044424;GO:0044444;GO:0005575;GO:0032991;GO:0044429;GO:0044422;GO:0044446;GO:0098798;GO:0008150;GO:0140535;GO:0098796;GO:0008152;GO:0043229;GO:0043226;GO:0043231;GO:0043227;GO:0005739;GO:0098800;GO:0062151
B9J08_000859	GO:0005575;GO:0044425;GO:0044464;GO:0031225;GO:0008150;GO:0031224;GO:0005886;GO:0016020;GO:0005576;GO:0005618;GO:0044462;GO:0009987;GO:0071554;GO:0044085;GO:0016021;GO:0030312
B9J08_000890	GO:0005575;GO:0044464;GO:0008150;GO:0051179;GO:0051234;GO:0006810;GO:0031224;GO:0044425;GO:0030312;GO:0005618;GO:0016021;GO:0051704;GO:0009405;GO:0005737;GO:0016020;GO:0022610;GO:0044424
B9J08_000891	GO:0044419;GO:0044403;GO:0016032;GO:0003674;GO:0008150;GO:0019046;GO:0051704;GO:0019058;GO:0005575;GO:0019012;GO:0005198;GO:0044156;GO:0044009;GO:0019089;GO:0070011;GO:0004518;GO:0046755;GO:0044000;GO:0043170;GO:0051814
B9J08_000892	GO:0005575;GO:0044464;GO:0008150;GO:0030312;GO:0009277;GO:0009987;GO:0005618;GO:0005198;GO:0071554;GO:0045229;GO:0031224;GO:0005199;GO:0071840;GO:0005576;GO:0071555;GO:0044425;GO:0003674;GO:0044424
B9J08_000906	GO:0043226;GO:0043232;GO:0043228;GO:0043229;GO:0008150;GO:0005575;GO:0044424;GO:0044423;GO:0005737;GO:0000777;GO:0016788;GO:0016787;GO:0004518;GO:0044464;GO:0065007;GO:0005856;GO:0140640;GO:0044444;GO:0019028;GO:0009987
B9J08_000911	GO:0005575;GO:0008150;GO:0098772;GO:0005576;GO:0048018;GO:0065007;GO:0003674;GO:0030545;GO:0005179;GO:0030546;GO:0005515;GO:0048046;GO:0090066;GO:0065008;GO:0050789;GO:0032501;GO:0005488;GO:0009987;GO:0042127
B9J08_000919	GO:0005575;GO:0044425;GO:0044464;GO:0031224;GO:0008150;GO:0016020;GO:0031225;GO:0016021;GO:0005886;GO:0005576;GO:0065007;GO:0043229;GO:0003674;GO:0044444;GO:0043226;GO:0001558;GO:0044424
B9J08_000931	GO:0005575;GO:0008150;GO:0044464;GO:0009987;GO:0031224;GO:0016021;GO:0044425;GO:0044422;GO:0050877;GO:0007600;GO:0016020;GO:0043226;GO:0003008;GO:0023051;GO:0010646;GO:0044238;GO:0040011;GO:0005929
B9J08_000940	GO:0009987;GO:0005575;GO:0008150;GO:0003674;GO:0044464;GO:0044444;GO:0044424;GO:0043226;GO:0065007;GO:0005815;GO:0043227;GO:0043229;GO:0005737;GO:0005515;GO:0016772;GO:0140535;GO:0005634;GO:0004672;GO:0016301
B9J08_000943	GO:0005575;GO:0044464;GO:0008150;GO:0009987;GO:0044424;GO:0043226;GO:0043229;GO:0044444;GO:0043231;GO:0071840;GO:0043227;GO:0000910;GO:0016043;GO:0061640;GO:0022402;GO:0006996;GO:0005634;GO:0007010;GO:0000281
B9J08_000986	GO:0044464;GO:0005575;GO:0044424;GO:0043226;GO:0043229;GO:0043227;GO:0043231;GO:0008150;GO:0005634;GO:0044444;GO:0009987;GO:0005739;GO:0044422;GO:0044446;GO:0071840;GO:0016043
B9J08_001011	GO:0008150;GO:0003674;GO:0005488;GO:0003677;GO:0003676;GO:0097159;GO:1901363;GO:0009987;GO:0007049;GO:0044444;GO:0044424;GO:0051301;GO:0022402;GO:0005575;GO:0005935;GO:0140489;GO:0035822
B9J08_001028	GO:0005575;GO:0044464;GO:0044424;GO:0043226;GO:0043229;GO:0043227;GO:0043231;GO:0005634;GO:0008150;GO:0003674;GO:0005737;GO:0008284;GO:0065007;GO:0050789;GO:0042127;GO:0030312;GO:0005618;GO:0051234
B9J08_001050	GO:0051701;GO:0044419;GO:0051704;GO:0008150;GO:0051817;GO:0044003;GO:0035821;GO:0019048;GO:0044403;GO:0016032;GO:0052200;GO:0005575;GO:0052173;GO:0075136;GO:0039656;GO:0075140;GO:0051834
B9J08_001052	GO:0008150;GO:0071704;GO:0043414;GO:0044237;GO:0043170;GO:0032259;GO:0006807;GO:0044260;GO:0008152;GO:0008168;GO:0010468;GO:0005575;GO:0008757;GO:0044238;GO:0006725;GO:1901360;GO:0003674;GO:0016740;GO:0090304
B9J08_001053	GO:0005575;GO:0044425;GO:0016021;GO:0031224;GO:0044464;GO:0044424;GO:0044444;GO:0019706;GO:0019707;GO:0016409;GO:0044446;GO:0044422;GO:0044432;GO:0016020;GO:0008150;GO:0031090;GO:0044237;GO:0018345;GO:0016417
B9J08_001054	GO:0005575;GO:0008150;GO:0040011;GO:0044464;GO:0044462;GO:0051704;GO:0051234;GO:0006810;GO:0071702;GO:0051179;GO:0009405;GO:0048870;GO:0042597;GO:0071973;GO:0097590;GO:0097588;GO:0042330;GO:0006935
B9J08_001074	GO:0044425;GO:0031224;GO:0005575;GO:0016021;GO:0044094;GO:0018995;GO:0033643;GO:0044196;GO:0033644;GO:0044464;GO:0008150;GO:0051704;GO:0016020;GO:0140221;GO:0020002
B9J08_001100	GO:0005575;GO:0044464;GO:0044424;GO:0008150;GO:0043226;GO:0003674;GO:0043229;GO:0044444;GO:0005634;GO:0009987;GO:0043231;GO:0043227;GO:0005488;GO:0005829;GO:0022414;GO:0042578;GO:0044446;GO:0016791;GO:0005737
B9J08_001119	GO:0005575;GO:0008150;GO:0044424;GO:0044464;GO:0009987;GO:0003674;GO:0003676;GO:0097159;GO:1901363;GO:0003677;GO:0050794;GO:0005488;GO:0032991;GO:0065007;GO:0048523;GO:0140535;GO:0050789;GO:0048519;GO:0044428;GO:0044422
B9J08_001147	GO:0005575;GO:0044464;GO:0044425;GO:0044444;GO:0032991;GO:0044455;GO:0044424;GO:0098800;GO:0098796;GO:0098798;GO:0008150;GO:0044429;GO:0008152;GO:0044237;GO:0044446;GO:0044422;GO:0140535;GO:0009987;GO:0098803
B9J08_001180	GO:0005575;GO:0044464;GO:0008150;GO:0050794;GO:0044425;GO:0050789;GO:0009987;GO:0031224;GO:0016021;GO:0007165;GO:0065007;GO:0042597;GO:0003674;GO:0007218;GO:0030288;GO:0038023
B9J08_001189	GO:0005575;GO:0044425;GO:0044464;GO:0031224;GO:0016021;GO:0032991;GO:0003674;GO:0036094;GO:0098796;GO:1990351;GO:0005488;GO:0043167;GO:0043168;GO:0097367;GO:0140535;GO:0044459;GO:1902495;GO:0017076
B9J08_001195	GO:0008150;GO:0005575;GO:0044464;GO:0065007;GO:0009987;GO:0050794;GO:0044424;GO:0050789;GO:0005935;GO:0071704;GO:0005934;GO:0070828;GO:0032157;GO:0044422;GO:0070938;GO:0048518;GO:0008152;GO:0044446;GO:0007165
B9J08_001197	GO:0005575;GO:0008150;GO:0044464;GO:0044424;GO:0065007;GO:0005737;GO:0098590;GO:0007049;GO:0016020;GO:0032155;GO:0050789;GO:0044444;GO:0050794;GO:0005935;GO:0009987;GO:0032154;GO:0005934;GO:0051286;GO:0090510
B9J08_001208	GO:0005575;GO:0044424;GO:0044464;GO:0044444;GO:0043231;GO:0043227;GO:0043229;GO:0043226;GO:0005739;GO:0008150;GO:0008152;GO:0009987;GO:0044237;GO:0055114;GO:0043170;GO:0044260;GO:0022900;GO:0035639
