Gene ID,source_id,Product Description,Protein Length,Ortholog count,Paralog count,PFam ID,CDD ID,Gene3D ID,Hamap ID,NCBIfam ID,PANTHER ID,PRINTS ID,SFLD ID,PirSF ID,Prositefamilies ID,Smart ID,Superfamily ID,InterPro ID,Computed GO Component IDs,Computed GO Function IDs,Computed GO Process IDs
B9J08_000357,B9J08_000357-t37_1,hypothetical protein,125,10,0,,,,,,,,,,,,,,,,
B9J08_000361,B9J08_000361-t37_1,hypothetical protein,152,7,0,,,,,,,,,,,,,,,,
B9J08_000369,B9J08_000369-t37_1,hypothetical protein,105,3,0,,,,,,,,,,,,,,,,
B9J08_000375,B9J08_000375-t37_1,hypothetical protein,169,23,0,,,,,,,,,,,,,,,,
B9J08_000380,B9J08_000380-t37_1,hypothetical protein,1019,22,0,,,,,,,,,,,,,,,,
B9J08_000403,B9J08_000403-t37_1,hypothetical protein,248,9,0,,,,,,,,,,,,,,,,
B9J08_000429,B9J08_000429-t37_1,hypothetical protein,371,28,0,,,,,,,,,,,,,,,,
B9J08_000438,B9J08_000438-t37_1,hypothetical protein,279,147,4,,,,,,,,,,,,,,,,
B9J08_000439,B9J08_000439-t37_1,hypothetical protein,96,22,0,,,,,,,,,,,,,,,,
B9J08_000440,B9J08_000440-t37_1,hypothetical protein,351,22,0,,,,,,,,,,,,,,,,
B9J08_000441,B9J08_000441-t37_1,hypothetical protein,281,18,0,,,,,,,,,,,,,,,,
B9J08_000448,B9J08_000448-t37_1,hypothetical protein,545,22,0,,,,,,,,,,,,,,,,
B9J08_000456,B9J08_000456-t37_1,hypothetical protein,207,18,0,,,,,,,,,,,,,,,,
B9J08_000472,B9J08_000472-t37_1,hypothetical protein,271,11,0,,,,,,,,,,,,,,,,
B9J08_000481,B9J08_000481-t37_1,hypothetical protein,237,25,0,,,,,,,,,,,,,,,,
B9J08_000502,B9J08_000502-t37_1,hypothetical protein,134,21,0,,,,,,,,,,,,,,,,
B9J08_000505,B9J08_000505-t37_1,hypothetical protein,285,8,0,,,,,,,,,,,,,,,,
B9J08_000521,B9J08_000521-t37_1,hypothetical protein,336,13,0,,,,,,,,,,,,,,,,
B9J08_000540,B9J08_000540-t37_1,hypothetical protein,233,7,0,,,,,,,,,,,,,,,,
B9J08_000562,B9J08_000562-t37_1,hypothetical protein,551,5,0,,,,,,,,,,,,,,,,
B9J08_000571,B9J08_000571-t37_1,hypothetical protein,319,25,0,,,,,,,,,,,,,,,,
B9J08_000586,B9J08_000586-t37_1,hypothetical protein,150,22,0,,,,,,,,,,,,,,,,
B9J08_000595,B9J08_000595-t37_1,hypothetical protein,302,17,0,,,,,,,,,,,,,,,,
B9J08_000597,B9J08_000597-t37_1,hypothetical protein,473,7,0,,,,,,,,,,,,,,,,
B9J08_000600,B9J08_000600-t37_1,hypothetical protein,444,21,0,,,,,,,,,,,,,,,,
B9J08_000608,B9J08_000608-t37_1,hypothetical protein,244,22,0,,,,,,,,,,,,,,,,
B9J08_000626,B9J08_000626-t37_1,hypothetical protein,459,28,0,,,,,,,,,,,,,,,,
B9J08_000642,B9J08_000642-t37_1,hypothetical protein,475,8,0,,,,,,,,,,,,,,,,
B9J08_000652,B9J08_000652-t37_1,hypothetical protein,255,8,0,,,,,,,,,,,,,,,,
B9J08_000653,B9J08_000653-t37_1,hypothetical protein,578,22,0,,,,,,,,,,,,,,,,
B9J08_000663,B9J08_000663-t37_1,hypothetical protein,166,9,0,,,,,,,,,,,,,,,,
B9J08_000664,B9J08_000664-t37_1,hypothetical protein,391,12,0,,,,,,,,,,,,,,,,
B9J08_000672,B9J08_000672-t37_1,hypothetical protein,327,7,0,,,,,,,,,,,,,,,,
B9J08_000676,B9J08_000676-t37_1,hypothetical protein,164,5,0,,,,,,,,,,,,,,,,
B9J08_000702,B9J08_000702-t37_1,hypothetical protein,140,9,0,,,,,,,,,,,,,,,,
B9J08_000712,B9J08_000712-t37_1,hypothetical protein,519,9,0,,,,,,,,,,,,,,,,
B9J08_000724,B9J08_000724-t37_1,hypothetical protein,147,22,0,,,,,,,,,,,,,,,,
B9J08_000730,B9J08_000730-t37_1,hypothetical protein,381,23,0,,,,,,,,,,,,,,,,
B9J08_000783,B9J08_000783-t37_1,hypothetical protein,574,5,0,,,,,,,,,,,,,,,,
B9J08_000799,B9J08_000799-t37_1,hypothetical protein,603,34,0,,,,,,,,,,,,,,,,
B9J08_000806,B9J08_000806-t37_1,hypothetical protein,303,24,0,,,,,,,,,,,,,,,,
B9J08_000807,B9J08_000807-t37_1,hypothetical protein,277,12,0,,,,,,,,,,,,,,,,
B9J08_000817,B9J08_000817-t37_1,hypothetical protein,94,10,0,,,,,,,,,,,,,,,,
B9J08_000824,B9J08_000824-t37_1,hypothetical protein,208,23,0,,,,,,,,,,,,,,,,
B9J08_000830,B9J08_000830-t37_1,hypothetical protein,318,23,0,,,,,,,,,,,,,,,,
B9J08_000834,B9J08_000834-t37_1,hypothetical protein,421,23,0,,,,,,,,,,,,,,,,
B9J08_000846,B9J08_000846-t37_1,hypothetical protein,93,18,0,,,,,,,,,,,,,,,,
B9J08_000859,B9J08_000859-t37_1,hypothetical protein,499,4,0,,,,,,,,,,,,,,,,
B9J08_000890,B9J08_000890-t37_1,hypothetical protein,207,8,0,,,,,,,,,,,,,,,,
B9J08_000891,B9J08_000891-t37_1,hypothetical protein,155,3,0,,,,,,,,,,,,,,,,
B9J08_000892,B9J08_000892-t37_1,hypothetical protein,247,7,0,,,,,,,,,,,,,,,,
B9J08_000906,B9J08_000906-t37_1,hypothetical protein,74,8,0,,,,,,,,,,,,,,,,
B9J08_000911,B9J08_000911-t37_1,hypothetical protein,186,6,0,,,,,,,,,,,,,,,,
B9J08_000919,B9J08_000919-t37_1,hypothetical protein,234,19,0,,,,,,,,,,,,,,,,
B9J08_000931,B9J08_000931-t37_1,hypothetical protein,669,5,0,,,,,,,,,,,,,,,,
B9J08_000940,B9J08_000940-t37_1,hypothetical protein,306,8,0,,,,,,,,,,,,,,,,
B9J08_000943,B9J08_000943-t37_1,hypothetical protein,458,8,0,,,,,,,,,,,,,,,,
B9J08_000986,B9J08_000986-t37_1,hypothetical protein,164,12,0,,,,,,,,,,,,,,,,
B9J08_001011,B9J08_001011-t37_1,hypothetical protein,461,12,0,,,,,,,,,,,,,,,,
B9J08_001028,B9J08_001028-t37_1,hypothetical protein,395,378,0,,,,,,,,,,,,,,,,
B9J08_001050,B9J08_001050-t37_1,hypothetical protein,185,4,0,,,,,,,,,,,,,,,,
B9J08_001052,B9J08_001052-t37_1,hypothetical protein,666,15,2,,,,,,,,,,,,,,,,
B9J08_001053,B9J08_001053-t37_1,hypothetical protein,440,3,0,,,,,,,,,,,,,,,,
B9J08_001054,B9J08_001054-t37_1,hypothetical protein,123,18,4,,,,,,,,,,,,,,,,
B9J08_001074,B9J08_001074-t37_1,hypothetical protein,104,2,0,,,,,,,,,,,,,,,,
B9J08_001100,B9J08_001100-t37_1,hypothetical protein,198,23,0,,,,,,,,,,,,,,,,
B9J08_001119,B9J08_001119-t37_1,hypothetical protein,655,18,0,,,,,,,,,,,,,,,,
B9J08_001147,B9J08_001147-t37_1,hypothetical protein,109,22,0,,,,,,,,,,,,,,,,
B9J08_001180,B9J08_001180-t37_1,hypothetical protein,402,13,0,,,,,,,,,,,,,,,,
B9J08_001189,B9J08_001189-t37_1,hypothetical protein,508,8,0,,,,,,,,,,,,,,,,
B9J08_001195,B9J08_001195-t37_1,hypothetical protein,1158,21,0,,,,,,,,,,,,,,,,
B9J08_001197,B9J08_001197-t37_1,hypothetical protein,838,23,0,,,,,,,,,,,,,,,,
B9J08_001208,B9J08_001208-t37_1,hypothetical protein,701,27,0,,,,,,,,,,,,,,,,
B9J08_001214,B9J08_001214-t37_1,hypothetical protein,588,22,0,,,,,,,,,,,,,,,,
B9J08_001219,B9J08_001219-t37_1,hypothetical protein,344,12,0,,,,,,,,,,,,,,,,
B9J08_001223,B9J08_001223-t37_1,hypothetical protein,82,15,0,,,,,,,,,,,,,,,,
B9J08_001226,B9J08_001226-t37_1,hypothetical protein,253,24,0,,,,,,,,,,,,,,,,
B9J08_001234,B9J08_001234-t37_1,hypothetical protein,165,23,0,,,,,,,,,,,,,,,,
B9J08_001268,B9J08_001268-t37_1,hypothetical protein,276,5,0,,,,,,,,,,,,,,,,
B9J08_001287,B9J08_001287-t37_1,hypothetical protein,208,5,0,,,,,,,,,,,,,,,,
B9J08_001290,B9J08_001290-t37_1,hypothetical protein,671,12,0,,,,,,,,,,,,,,,,
B9J08_001308,B9J08_001308-t37_1,hypothetical protein,276,23,0,,,,,,,,,,,,,,,,
B9J08_001313,B9J08_001313-t37_1,hypothetical protein,125,6,0,,,,,,,,,,,,,,,,
B9J08_001314,B9J08_001314-t37_1,hypothetical protein,743,20,0,,,,,,,,,,,,,,,,
B9J08_001317,B9J08_001317-t37_1,hypothetical protein,119,9,0,,,,,,,,,,,,,,,,
B9J08_001321,B9J08_001321-t37_1,hypothetical protein,639,9,0,,,,,,,,,,,,,,,,
B9J08_001339,B9J08_001339-t37_1,hypothetical protein,148,147,4,,,,,,,,,,,,,,,,
B9J08_001341,B9J08_001341-t37_1,hypothetical protein,230,7,0,,,,,,,,,,,,,,,,
B9J08_001342,B9J08_001342-t37_1,hypothetical protein,296,9,0,,,,,,,,,,,,,,,,
B9J08_001361,B9J08_001361-t37_1,hypothetical protein,306,10,1,,,,,,,,,,,,,,,,
B9J08_001370,B9J08_001370-t37_1,hypothetical protein,436,5,0,,,,,,,,,,,,,,,,
B9J08_001426,B9J08_001426-t37_1,hypothetical protein,229,20,0,,,,,,,,,,,,,,,,
B9J08_001437,B9J08_001437-t37_1,hypothetical protein,257,18,0,,,,,,,,,,,,,,,,
B9J08_001440,B9J08_001440-t37_1,hypothetical protein,243,21,0,,,,,,,,,,,,,,,,
B9J08_001441,B9J08_001441-t37_1,hypothetical protein,180,16,0,,,,,,,,,,,,,,,,
B9J08_001456,B9J08_001456-t37_1,hypothetical protein,795,24,0,,,,,,,,,,,,,,,,
B9J08_001459,B9J08_001459-t37_1,hypothetical protein,513,19,0,,,,,,,,,,,,,,,,
B9J08_001466,B9J08_001466-t37_1,hypothetical protein,208,4,0,,,,,,,,,,,,,,,,
B9J08_001468,B9J08_001468-t37_1,hypothetical protein,550,11,1,,,,,,,,,,,,,,,,
B9J08_001470,B9J08_001470-t37_1,hypothetical protein,524,23,0,,,,,,,,,,,,,,,,
B9J08_001472,B9J08_001472-t37_1,hypothetical protein,99,18,0,,,,,,,,,,,,,,,,
B9J08_001479,B9J08_001479-t37_1,hypothetical protein,459,11,1,,,,,,,,,,,,,,,,
B9J08_001480,B9J08_001480-t37_1,hypothetical protein,669,3,0,,,,,,,,,,,,,,,,
B9J08_001481,B9J08_001481-t37_1,hypothetical protein,278,1,0,,,,,,,,,,,,,,,,
B9J08_001482,B9J08_001482-t37_1,hypothetical protein,79,13,0,,,,,,,,,,,,,,,,
B9J08_001485,B9J08_001485-t37_1,hypothetical protein,141,25,0,,,,,,,,,,,,,,,,
B9J08_001486,B9J08_001486-t37_1,hypothetical protein,427,471,0,,,,,,,,,,,,,,,,
B9J08_001490,B9J08_001490-t37_1,hypothetical protein,580,9,0,,,,,,,,,,,,,,,,
B9J08_001491,B9J08_001491-t37_1,hypothetical protein,301,8,0,,,,,,,,,,,,,,,,
B9J08_001500,B9J08_001500-t37_1,hypothetical protein,80,9,0,,,,,,,,,,,,,,,,
B9J08_001517,B9J08_001517-t37_1,hypothetical protein,811,4,0,,,,,,,,,,,,,,,,
B9J08_001520,B9J08_001520-t37_1,hypothetical protein,293,5,0,,,,,,,,,,,,,,,,
B9J08_001522,B9J08_001522-t37_1,hypothetical protein,434,24,0,,,,,,,,,,,,,,,,
B9J08_001548,B9J08_001548-t37_1,hypothetical protein,136,1864,17,,,,,,,,,,,,,,,,
B9J08_001549,B9J08_001549-t37_1,hypothetical protein,152,7,0,,,,,,,,,,,,,,,,
B9J08_001551,B9J08_001551-t37_1,hypothetical protein,149,43,5,,,,,,,,,,,,,,,,
B9J08_001556,B9J08_001556-t37_1,hypothetical protein,239,21,0,,,,,,,,,,,,,,,,
B9J08_001617,B9J08_001617-t37_1,hypothetical protein,378,21,0,,,,,,,,,,,,,,,,
B9J08_001638,B9J08_001638-t37_1,hypothetical protein,213,21,0,,,,,,,,,,,,,,,,
B9J08_001639,B9J08_001639-t37_1,hypothetical protein,147,70,0,,,,,,,,,,,,,,,,
B9J08_001659,B9J08_001659-t37_1,hypothetical protein,157,17,0,,,,,,,,,,,,,,,,
B9J08_001663,B9J08_001663-t37_1,hypothetical protein,249,17,0,,,,,,,,,,,,,,,,
B9J08_001666,B9J08_001666-t37_1,hypothetical protein,521,162,0,,,,,,,,,,,,,,,,
B9J08_001680,B9J08_001680-t37_1,hypothetical protein,118,17,0,,,,,,,,,,,,,,,,
B9J08_001683,B9J08_001683-t37_1,hypothetical protein,336,21,0,,,,,,,,,,,,,,,,
B9J08_001700,B9J08_001700-t37_1,hypothetical protein,676,18,0,,,,,,,,,,,,,,,,
B9J08_001714,B9J08_001714-t37_1,hypothetical protein,116,6,0,,,,,,,,,,,,,,,,
B9J08_001719,B9J08_001719-t37_1,hypothetical protein,191,7,0,,,,,,,,,,,,,,,,
B9J08_001725,B9J08_001725-t37_1,hypothetical protein,129,21,0,,,,,,,,,,,,,,,,
B9J08_001731,B9J08_001731-t37_1,hypothetical protein,607,22,0,,,,,,,,,,,,,,,,
B9J08_001746,B9J08_001746-t37_1,hypothetical protein,264,19,0,,,,,,,,,,,,,,,,
B9J08_001750,B9J08_001750-t37_1,hypothetical protein,133,7,0,,,,,,,,,,,,,,,,
B9J08_001751,B9J08_001751-t37_1,hypothetical protein,119,20,0,,,,,,,,,,,,,,,,
B9J08_001755,B9J08_001755-t37_1,hypothetical protein,85,9,0,,,,,,,,,,,,,,,,
B9J08_001760,B9J08_001760-t37_1,hypothetical protein,341,34,0,,,,,,,,,,,,,,,,
B9J08_001781,B9J08_001781-t37_1,hypothetical protein,180,1,0,,,,,,,,,,,,,,,,
B9J08_001792,B9J08_001792-t37_1,hypothetical protein,105,15,0,,,,,,,,,,,,,,,,
B9J08_001812,B9J08_001812-t37_1,hypothetical protein,368,26,0,,,,,,,,,,,,,,,,
B9J08_001830,B9J08_001830-t37_1,hypothetical protein,574,21,0,,,,,,,,,,,,,,,,
B9J08_001831,B9J08_001831-t37_1,hypothetical protein,352,21,0,,,,,,,,,,,,,,,,
B9J08_001862,B9J08_001862-t37_1,hypothetical protein,482,18,0,,,,,,,,,,,,,,,,
B9J08_001866,B9J08_001866-t37_1,hypothetical protein,511,21,0,,,,,,,,,,,,,,,,
B9J08_001867,B9J08_001867-t37_1,hypothetical protein,138,18,0,,,,,,,,,,,,,,,,
B9J08_001882,B9J08_001882-t37_1,hypothetical protein,335,24,0,,,,,,,,,,,,,,,,
B9J08_001894,B9J08_001894-t37_1,hypothetical protein,282,20,0,,,,,,,,,,,,,,,,
B9J08_001918,B9J08_001918-t37_1,hypothetical protein,581,7,0,,,,,,,,,,,,,,,,
B9J08_001932,B9J08_001932-t37_1,hypothetical protein,440,11,0,,,,,,,,,,,,,,,,
B9J08_001942,B9J08_001942-t37_1,hypothetical protein,413,20,0,,,,,,,,,,,,,,,,
B9J08_001949,B9J08_001949-t37_1,hypothetical protein,133,4,0,,,,,,,,,,,,,,,,
B9J08_001954,B9J08_001954-t37_1,hypothetical protein,799,19,0,,,,,,,,,,,,,,,,
B9J08_001962,B9J08_001962-t37_1,hypothetical protein,259,8,0,,,,,,,,,,,,,,,,
B9J08_001970,B9J08_001970-t37_1,hypothetical protein,395,7,0,,,,,,,,,,,,,,,,
B9J08_001978,B9J08_001978-t37_1,hypothetical protein,125,21,0,,,,,,,,,,,,,,,,
B9J08_001980,B9J08_001980-t37_1,hypothetical protein,147,19,0,,,,,,,,,,,,,,,,
B9J08_001988,B9J08_001988-t37_1,hypothetical protein,146,14,2,,,,,,,,,,,,,,,,
B9J08_002007,B9J08_002007-t37_1,hypothetical protein,748,18,0,,,,,,,,,,,,,,,,
B9J08_002012,B9J08_002012-t37_1,hypothetical protein,315,21,0,,,,,,,,,,,,,,,,
B9J08_002015,B9J08_002015-t37_1,hypothetical protein,477,21,0,,,,,,,,,,,,,,,,
B9J08_002021,B9J08_002021-t37_1,hypothetical protein,289,21,0,,,,,,,,,,,,,,,,
B9J08_002028,B9J08_002028-t37_1,hypothetical protein,104,14,0,,,,,,,,,,,,,,,,
B9J08_002031,B9J08_002031-t37_1,hypothetical protein,239,14,0,,,,,,,,,,,,,,,,
B9J08_002036,B9J08_002036-t37_1,hypothetical protein,466,24,0,,,,,,,,,,,,,,,,
B9J08_002037,B9J08_002037-t37_1,hypothetical protein,377,37,0,,,,,,,,,,,,,,,,
B9J08_002049,B9J08_002049-t37_1,hypothetical protein,387,22,0,,,,,,,,,,,,,,,,
B9J08_002055,B9J08_002055-t37_1,hypothetical protein,185,8,0,,,,,,,,,,,,,,,,
B9J08_002082,B9J08_002082-t37_1,hypothetical protein,446,25,0,,,,,,,,,,,,,,,,
B9J08_002084,B9J08_002084-t37_1,hypothetical protein,212,24,0,,,,,,,,,,,,,,,,
B9J08_002086,B9J08_002086-t37_1,hypothetical protein,472,22,0,,,,,,,,,,,,,,,,
B9J08_002118,B9J08_002118-t37_1,hypothetical protein,126,6,0,,,,,,,,,,,,,,,,
B9J08_002119,B9J08_002119-t37_1,hypothetical protein,668,8,0,,,,,,,,,,,,,,,,
B9J08_002141,B9J08_002141-t37_1,hypothetical protein,306,19,0,,,,,,,,,,,,,,,,
B9J08_002156,B9J08_002156-t37_1,hypothetical protein,537,18,0,,,,,,,,,,,,,,,,
B9J08_002161,B9J08_002161-t37_1,hypothetical protein,300,19,0,,,,,,,,,,,,,,,,
B9J08_002163,B9J08_002163-t37_1,hypothetical protein,113,24,0,,,,,,,,,,,,,,,,
B9J08_002176,B9J08_002176-t37_1,hypothetical protein,392,22,0,,,,,,,,,,,,,,,,
B9J08_002204,B9J08_002204-t37_1,hypothetical protein,351,16,0,,,,,,,,,,,,,,,,
B9J08_002205,B9J08_002205-t37_1,hypothetical protein,431,24,0,,,,,,,,,,,,,,,,
B9J08_002218,B9J08_002218-t37_1,hypothetical protein,147,0,0,,,,,,,,,,,,,,,,
B9J08_002228,B9J08_002228-t37_1,hypothetical protein,127,6,0,,,,,,,,,,,,,,,,
B9J08_002234,B9J08_002234-t37_1,hypothetical protein,248,8,0,,,,,,,,,,,,,,,,
B9J08_002244,B9J08_002244-t37_1,hypothetical protein,157,7,0,,,,,,,,,,,,,,,,
B9J08_002247,B9J08_002247-t37_1,hypothetical protein,230,5,0,,,,,,,,,,,,,,,,
B9J08_002248,B9J08_002248-t37_1,hypothetical protein,309,14,2,,,,,,,,,,,,,,,,
B9J08_002255,B9J08_002255-t37_1,hypothetical protein,134,5,0,,,,,,,,,,,,,,,,
B9J08_002256,B9J08_002256-t37_1,hypothetical protein,279,6,0,,,,,,,,,,,,,,,,
B9J08_002270,B9J08_002270-t37_1,hypothetical protein,467,22,0,,,,,,,,,,,,,,,,
B9J08_002282,B9J08_002282-t37_1,hypothetical protein,310,22,0,,,,,,,,,,,,,,,,
B9J08_002286,B9J08_002286-t37_1,hypothetical protein,366,22,0,,,,,,,,,,,,,,,,
B9J08_002288,B9J08_002288-t37_1,hypothetical protein,83,12,0,,,,,,,,,,,,,,,,
B9J08_002295,B9J08_002295-t37_1,hypothetical protein,291,25,1,,,,,,,,,,,,,,,,
B9J08_002296,B9J08_002296-t37_1,hypothetical protein,196,25,1,,,,,,,,,,,,,,,,
B9J08_002309,B9J08_002309-t37_1,hypothetical protein,114,6,0,,,,,,,,,,,,,,,,
B9J08_002314,B9J08_002314-t37_1,hypothetical protein,371,14,0,,,,,,,,,,,,,,,,
B9J08_002319,B9J08_002319-t37_1,hypothetical protein,489,19,1,,,,,,,,,,,,,,,,
B9J08_002330,B9J08_002330-t37_1,hypothetical protein,305,9,0,,,,,,,,,,,,,,,,
B9J08_002356,B9J08_002356-t37_1,hypothetical protein,241,5,0,,,,,,,,,,,,,,,,
B9J08_002372,B9J08_002372-t37_1,hypothetical protein,111,14,0,,,,,,,,,,,,,,,,
B9J08_002384,B9J08_002384-t37_1,hypothetical protein,173,23,0,,,,,,,,,,,,,,,,
B9J08_002397,B9J08_002397-t37_1,hypothetical protein,617,20,0,,,,,,,,,,,,,,,,
B9J08_002407,B9J08_002407-t37_1,hypothetical protein,204,5,0,,,,,,,,,,,,,,,,
B9J08_002441,B9J08_002441-t37_1,hypothetical protein,235,24,0,,,,,,,,,,,,,,,,
B9J08_002471,B9J08_002471-t37_1,hypothetical protein,79,4,0,,,,,,,,,,,,,,,,
B9J08_002475,B9J08_002475-t37_1,hypothetical protein,998,580,0,,,,,,,,,,,,,,,,
B9J08_002486,B9J08_002486-t37_1,hypothetical protein,143,8,0,,,,,,,,,,,,,,,,
B9J08_002492,B9J08_002492-t37_1,hypothetical protein,317,19,0,,,,,,,,,,,,,,,,
B9J08_002493,B9J08_002493-t37_1,hypothetical protein,82,47,2,,,,,,,,,,,,,,,,
B9J08_002498,B9J08_002498-t37_1,hypothetical protein,174,6,0,,,,,,,,,,,,,,,,
B9J08_002507,B9J08_002507-t37_1,hypothetical protein,120,5,0,,,,,,,,,,,,,,,,
B9J08_002509,B9J08_002509-t37_1,hypothetical protein,473,8,0,,,,,,,,,,,,,,,,
B9J08_002511,B9J08_002511-t37_1,hypothetical protein,147,24,0,,,,,,,,,,,,,,,,
B9J08_002515,B9J08_002515-t37_1,hypothetical protein,195,20,0,,,,,,,,,,,,,,,,
B9J08_002522,B9J08_002522-t37_1,hypothetical protein,373,24,0,,,,,,,,,,,,,,,,
B9J08_002525,B9J08_002525-t37_1,hypothetical protein,221,22,0,,,,,,,,,,,,,,,,
B9J08_002540,B9J08_002540-t37_1,hypothetical protein,386,46,1,,,,,,,,,,,,,,,,
B9J08_002541,B9J08_002541-t37_1,hypothetical protein,481,23,0,,,,,,,,,,,,,,,,
B9J08_002545,B9J08_002545-t37_1,hypothetical protein,595,24,0,,,,,,,,,,,,,,,,
B9J08_002552,B9J08_002552-t37_1,hypothetical protein,322,11,0,,,,,,,,,,,,,,,,
B9J08_002561,B9J08_002561-t37_1,hypothetical protein,190,0,0,,,,,,,,,,,,,,,,
B9J08_002574,B9J08_002574-t37_1,hypothetical protein,237,14,0,,,,,,,,,,,,,,,,
B9J08_002579,B9J08_002579-t37_1,hypothetical protein,157,7,0,,,,,,,,,,,,,,,,
B9J08_002584,B9J08_002584-t37_1,hypothetical protein,613,15,2,,,,,,,,,,,,,,,,
B9J08_002592,B9J08_002592-t37_1,hypothetical protein,121,21,0,,,,,,,,,,,,,,,,
B9J08_002593,B9J08_002593-t37_1,hypothetical protein,348,9,0,,,,,,,,,,,,,,,,
B9J08_002613,B9J08_002613-t37_1,hypothetical protein,427,21,0,,,,,,,,,,,,,,,,
B9J08_002616,B9J08_002616-t37_1,hypothetical protein,305,40,0,,,,,,,,,,,,,,,,
B9J08_002621,B9J08_002621-t37_1,hypothetical protein,247,21,0,,,,,,,,,,,,,,,,
B9J08_002624,B9J08_002624-t37_1,hypothetical protein,67,2,0,,,,,,,,,,,,,,,,
B9J08_002626,B9J08_002626-t37_1,hypothetical protein,161,21,0,,,,,,,,,,,,,,,,
B9J08_002640,B9J08_002640-t37_1,hypothetical protein,113,7,0,,,,,,,,,,,,,,,,
B9J08_002641,B9J08_002641-t37_1,hypothetical protein,952,40,0,,,,,,,,,,,,,,,,
B9J08_002650,B9J08_002650-t37_1,hypothetical protein,735,21,0,,,,,,,,,,,,,,,,
B9J08_002655,B9J08_002655-t37_1,hypothetical protein,688,9,0,,,,,,,,,,,,,,,,
B9J08_002656,B9J08_002656-t37_1,hypothetical protein,297,21,0,,,,,,,,,,,,,,,,
B9J08_002681,B9J08_002681-t37_1,hypothetical protein,114,0,0,,,,,,,,,,,,,,,,
B9J08_002695,B9J08_002695-t37_1,hypothetical protein,118,8,0,,,,,,,,,,,,,,,,
B9J08_002709,B9J08_002709-t37_1,hypothetical protein,289,8,0,,,,,,,,,,,,,,,,
B9J08_002727,B9J08_002727-t37_1,hypothetical protein,503,11,0,,,,,,,,,,,,,,,,
B9J08_002729,B9J08_002729-t37_1,hypothetical protein,170,21,0,,,,,,,,,,,,,,,,
B9J08_002730,B9J08_002730-t37_1,hypothetical protein,276,9,0,,,,,,,,,,,,,,,,
B9J08_002731,B9J08_002731-t37_1,hypothetical protein,350,23,0,,,,,,,,,,,,,,,,
