Gene ID,Threshold,GO ID,ProtNote Probability,ProtNote Rank,Description
B9J08_000113,0.5,GO:0005524,0.9368,16,ATP binding
B9J08_000114,0.5,GO:0005524,0.9675,14,ATP binding
B9J08_000121,0.5,GO:0003676,0.5851,9,nucleic acid binding
B9J08_000122,0.5,GO:0046872,0.8814,6,metal ion binding
B9J08_000127,0.5,GO:0005739,0.7986,12,mitochondrion
B9J08_000127,0.5,GO:0016491,0.5268,19,oxidoreductase activity
B9J08_000131,0.5,GO:0046872,0.9762,1,metal ion binding
B9J08_000133,0.5,GO:0005524,0.9911,11,ATP binding
B9J08_000140,0.5,GO:0004129,0.9037,18,cytochrome-c oxidase activity
B9J08_000141,0.5,GO:0000159,0.764,19,protein phosphatase type 2A complex
B9J08_000141,0.5,GO:0019888,0.7633,20,protein phosphatase regulator activity
B9J08_000144,0.5,GO:0008152,0.5378,11,metabolic process
B9J08_000145,0.5,GO:0030479,0.9476,3,actin cortical patch
B9J08_000145,0.5,GO:0005515,0.8521,18,protein binding
B9J08_000145,0.5,GO:0006897,0.8337,19,endocytosis
B9J08_000149,0.5,GO:0046872,0.7638,8,metal ion binding
B9J08_000150,0.5,GO:0006099,0.9616,9,tricarboxylic acid cycle
B9J08_000150,0.5,GO:0046872,0.9358,13,metal ion binding
B9J08_000152,0.5,GO:0005634,0.7427,10,nucleus
B9J08_000155,0.5,GO:0007059,0.5668,11,chromosome segregation
B9J08_000164,0.5,GO:0000166,0.9886,4,nucleotide binding
B9J08_000164,0.5,GO:0005524,0.981,15,ATP binding
B9J08_000168,0.5,GO:0016491,0.7511,12,oxidoreductase activity
B9J08_000170,0.5,GO:0016020,0.5329,14,membrane
B9J08_000171,0.5,GO:0005524,0.9698,14,ATP binding
B9J08_000172,0.5,GO:0022857,0.9662,7,transmembrane transporter activity
B9J08_000173,0.5,GO:0046872,0.9292,11,metal ion binding
B9J08_000173,0.5,GO:0009055,0.8905,19,electron transfer activity
B9J08_000173,0.5,GO:0020037,0.8901,20,heme binding
B9J08_000175,0.5,GO:0000166,0.9628,3,nucleotide binding
B9J08_000175,0.5,GO:0005524,0.939,10,ATP binding
B9J08_000175,0.5,GO:0005215,0.9163,17,transporter activity
B9J08_000177,0.5,GO:0005829,0.5078,10,cytosol
B9J08_000179,0.5,GO:0005730,0.7394,11,nucleolus
B9J08_000181,0.5,GO:0000902,0.6853,12,cell morphogenesis
B9J08_000182,0.5,GO:0046872,0.691,8,metal ion binding
B9J08_000182,0.5,GO:0005737,0.5391,11,cytoplasm
B9J08_000184,0.5,GO:0005515,0.8989,6,protein binding
B9J08_000186,0.5,GO:0009052,0.9649,9,"pentose-phosphate shunt, non-oxidative branch"
B9J08_000186,0.5,GO:0004751,0.9437,11,ribose-5-phosphate isomerase activity
B9J08_000187,0.5,GO:0005525,0.9925,7,GTP binding
B9J08_000188,0.5,GO:0017111,0.946,15,nucleoside-triphosphatase activity
B9J08_000188,0.5,GO:0000166,0.9422,18,nucleotide binding
B9J08_000188,0.5,GO:0005524,0.9397,19,ATP binding
B9J08_000193,0.5,GO:0008168,0.8058,5,methyltransferase activity
B9J08_000193,0.5,GO:0008757,0.6674,7,S-adenosylmethionine-dependent methyltransferase activity
B9J08_000193,0.5,GO:0008276,0.5812,10,protein methyltransferase activity
B9J08_000203,0.5,GO:0006412,0.9686,14,translation
B9J08_000206,0.5,GO:0008270,0.6538,18,zinc ion binding
B9J08_000209,0.5,GO:0030295,0.9958,2,protein kinase activator activity
B9J08_000213,0.5,GO:0005525,0.9879,18,GTP binding
B9J08_000216,0.5,GO:0046872,0.7263,11,metal ion binding
B9J08_000216,0.5,GO:0016787,0.6795,19,hydrolase activity
B9J08_000220,0.5,GO:0005886,0.6094,7,plasma membrane
B9J08_000220,0.5,GO:0016020,0.5876,8,membrane
B9J08_000222,0.5,GO:0003824,0.8213,6,catalytic activity
B9J08_000222,0.5,GO:0005739,0.6904,12,mitochondrion
B9J08_000223,0.5,GO:0005525,0.8661,15,GTP binding
B9J08_000226,0.5,GO:0003676,0.966,11,nucleic acid binding
B9J08_000230,0.5,GO:0030170,0.9952,12,pyridoxal phosphate binding
B9J08_000231,0.5,GO:0005743,0.8306,19,mitochondrial inner membrane
B9J08_000234,0.5,GO:0003677,0.8727,9,DNA binding
B9J08_000235,0.5,GO:0032956,0.543,9,regulation of actin cytoskeleton organization
B9J08_000235,0.5,GO:0007165,0.5078,13,signal transduction
B9J08_000236,0.5,GO:0006457,0.7687,6,protein folding
B9J08_000236,0.5,GO:0051085,0.7529,8,chaperone cofactor-dependent protein refolding
B9J08_000236,0.5,GO:0051087,0.7273,10,chaperone binding
B9J08_000236,0.5,GO:0051082,0.7097,12,unfolded protein binding
B9J08_000237,0.5,GO:0005886,0.8139,15,plasma membrane
B9J08_000242,0.5,GO:0005524,0.9824,10,ATP binding
B9J08_000243,0.5,GO:0006810,0.9828,12,transport
B9J08_000248,0.5,GO:0005524,0.958,20,ATP binding
B9J08_000253,0.5,GO:0016491,0.6502,10,oxidoreductase activity
B9J08_000258,0.5,GO:0005375,0.8057,7,copper ion transmembrane transporter activity
B9J08_000261,0.5,GO:0050660,0.7606,10,flavin adenine dinucleotide binding
B9J08_000262,0.5,GO:0008324,0.9889,9,cation transmembrane transporter activity
B9J08_000264,0.5,GO:0005524,0.9701,12,ATP binding
B9J08_000264,0.5,GO:0051082,0.9326,18,unfolded protein binding
B9J08_000269,0.5,GO:0005525,0.9908,14,GTP binding
B9J08_000271,0.5,GO:0031966,0.9049,8,mitochondrial membrane
B9J08_000272,0.5,GO:0015031,0.9115,12,protein transport
B9J08_000274,0.5,GO:0000015,0.9995,1,phosphopyruvate hydratase complex
B9J08_000274,0.5,GO:0004634,0.9957,2,phosphopyruvate hydratase activity
B9J08_000274,0.5,GO:0006096,0.9932,5,glycolytic process
B9J08_000274,0.5,GO:0000287,0.9775,17,magnesium ion binding
B9J08_000275,0.5,GO:0004298,0.9871,13,threonine-type endopeptidase activity
B9J08_000275,0.5,GO:0051603,0.985,15,proteolysis involved in cellular protein catabolic process
B9J08_000275,0.5,GO:0004175,0.981,19,endopeptidase activity
B9J08_000276,0.5,GO:0005524,0.9769,13,ATP binding
B9J08_000282,0.5,GO:0046872,0.7406,8,metal ion binding
B9J08_000282,0.5,GO:0005634,0.7378,9,nucleus
B9J08_000284,0.5,GO:0003824,0.7692,3,catalytic activity
B9J08_000285,0.5,GO:0005524,0.9776,14,ATP binding
B9J08_000286,0.5,GO:0005730,0.5975,15,nucleolus
B9J08_000287,0.5,GO:0005525,0.9938,6,GTP binding
B9J08_000288,0.5,GO:0005524,0.9875,12,ATP binding
B9J08_000290,0.5,GO:0005524,0.9751,13,ATP binding
B9J08_000296,0.5,GO:0000145,0.9232,5,exocyst
B9J08_000296,0.5,GO:0006887,0.8654,16,exocytosis
B9J08_000299,0.5,GO:0005525,0.9974,8,GTP binding
B9J08_000301,0.5,GO:0022857,0.6253,12,transmembrane transporter activity
B9J08_000306,0.5,GO:0003824,0.7818,2,catalytic activity
B9J08_000307,0.5,GO:0004725,0.8957,8,protein tyrosine phosphatase activity
B9J08_000307,0.5,GO:0016311,0.8349,15,dephosphorylation
B9J08_000320,0.5,GO:0009070,0.8733,18,serine family amino acid biosynthetic process
B9J08_000321,0.5,GO:0022857,0.8657,12,transmembrane transporter activity
B9J08_000321,0.5,GO:0055085,0.7628,14,transmembrane transport
B9J08_000321,0.5,GO:0016020,0.7288,15,membrane
B9J08_000322,0.5,GO:0045454,0.9856,1,cell redox homeostasis
B9J08_000322,0.5,GO:0006662,0.8646,13,glycerol ether metabolic process
B9J08_000322,0.5,GO:0015035,0.8013,16,protein disulfide oxidoreductase activity
B9J08_000326,0.5,GO:0016491,0.8769,3,oxidoreductase activity
B9J08_000327,0.5,GO:0003676,0.7369,6,nucleic acid binding
B9J08_000328,0.5,GO:0003747,0.9175,6,translation release factor activity
B9J08_000328,0.5,GO:0016149,0.8817,12,"translation release factor activity, codon specific"
B9J08_000328,0.5,GO:0006415,0.8613,16,translational termination
B9J08_000335,0.5,GO:0005525,0.9518,16,GTP binding
B9J08_000340,0.5,GO:0005524,0.9904,12,ATP binding
B9J08_000341,0.5,GO:0005634,0.9182,10,nucleus
B9J08_000342,0.5,GO:0022857,0.8835,8,transmembrane transporter activity
B9J08_000342,0.5,GO:0005743,0.8,17,mitochondrial inner membrane
B9J08_000344,0.5,GO:0005758,0.6631,18,mitochondrial intermembrane space
B9J08_000347,0.5,GO:0022857,0.9252,8,transmembrane transporter activity
B9J08_000348,0.5,GO:0003677,0.9926,10,DNA binding
B9J08_000348,0.5,GO:0003700,0.9897,13,DNA-binding transcription factor activity
B9J08_000348,0.5,GO:0005634,0.9631,20,nucleus
B9J08_000350,0.5,GO:0016491,0.9807,2,oxidoreductase activity
B9J08_000351,0.5,GO:0005737,0.7405,9,cytoplasm
B9J08_000352,0.5,GO:0008168,0.8277,5,methyltransferase activity
B9J08_000353,0.5,GO:0046872,0.9263,10,metal ion binding
B9J08_000354,0.5,GO:0005509,0.5407,20,calcium ion binding
B9J08_000355,0.5,GO:0000166,0.9901,5,nucleotide binding
B9J08_000355,0.5,GO:0005524,0.984,11,ATP binding
B9J08_000356,0.5,GO:0000166,0.9973,11,nucleotide binding
B9J08_000359,0.5,GO:0032511,0.7899,11,late endosome to vacuole transport via multivesicular body sorting pathway
B9J08_000362,0.5,GO:0016787,0.6415,13,hydrolase activity
B9J08_000362,0.5,GO:0016799,0.5603,18,"hydrolase activity, hydrolyzing N-glycosyl compounds"
B9J08_000363,0.5,GO:0005737,0.8863,6,cytoplasm
B9J08_000363,0.5,GO:0034599,0.5766,18,cellular response to oxidative stress
B9J08_000364,0.5,GO:0005524,0.9887,13,ATP binding
B9J08_000367,0.5,GO:0016491,0.9911,14,oxidoreductase activity
B9J08_000368,0.5,GO:0022857,0.861,12,transmembrane transporter activity
B9J08_000368,0.5,GO:0055085,0.6954,20,transmembrane transport
B9J08_000370,0.5,GO:0016491,0.964,2,oxidoreductase activity
B9J08_000370,0.5,GO:0008152,0.7647,4,metabolic process
B9J08_000370,0.5,GO:0016616,0.6394,7,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
B9J08_000371,0.5,GO:0005525,0.9797,1,GTP binding
B9J08_000377,0.5,GO:0004045,0.672,10,aminoacyl-tRNA hydrolase activity
B9J08_000378,0.5,GO:0003677,0.7371,9,DNA binding
B9J08_000379,0.5,GO:0000162,0.9946,16,tryptophan biosynthetic process
B9J08_000381,0.5,GO:0005515,0.9024,8,protein binding
B9J08_000381,0.5,GO:0043130,0.7164,12,ubiquitin binding
B9J08_000381,0.5,GO:0000045,0.6732,16,autophagosome assembly
B9J08_000381,0.5,GO:0005829,0.661,18,cytosol
B9J08_000381,0.5,GO:0031468,0.6566,20,nuclear envelope reassembly
B9J08_000382,0.5,GO:0008652,0.9722,18,cellular amino acid biosynthetic process
B9J08_000389,0.5,GO:0003824,0.8858,3,catalytic activity
B9J08_000390,0.5,GO:0005743,0.8324,20,mitochondrial inner membrane
B9J08_000393,0.5,GO:0008168,0.9172,5,methyltransferase activity
B9J08_000393,0.5,GO:0005737,0.6354,19,cytoplasm
B9J08_000398,0.5,GO:0004190,0.9125,3,aspartic-type endopeptidase activity
B9J08_000398,0.5,GO:0008233,0.7716,13,peptidase activity
B9J08_000401,0.5,GO:0005634,0.9761,6,nucleus
B9J08_000404,0.5,GO:0005515,0.7173,12,protein binding
B9J08_000405,0.5,GO:0005216,0.8955,13,ion channel activity
B9J08_000408,0.5,GO:0018279,0.8098,6,protein N-linked glycosylation via asparagine
B9J08_000410,0.5,GO:0005634,0.7969,6,nucleus
B9J08_000413,0.5,GO:0050833,0.8784,17,pyruvate transmembrane transporter activity
B9J08_000414,0.5,GO:0005634,0.9302,6,nucleus
B9J08_000418,0.5,GO:0016491,0.9319,5,oxidoreductase activity
B9J08_000418,0.5,GO:0006811,0.8198,17,ion transport
B9J08_000418,0.5,GO:0000293,0.8021,20,ferric-chelate reductase activity
B9J08_000419,0.5,GO:0051536,0.9542,12,iron-sulfur cluster binding
B9J08_000419,0.5,GO:0046872,0.9122,16,metal ion binding
B9J08_000422,0.5,GO:0005634,0.9382,8,nucleus
B9J08_000425,0.5,GO:0005739,0.5927,16,mitochondrion
B9J08_000428,0.5,GO:0001522,0.8498,6,pseudouridine synthesis
B9J08_000428,0.5,GO:0009982,0.8124,18,pseudouridine synthase activity
B9J08_000431,0.5,GO:0005525,0.9963,17,GTP binding
B9J08_000432,0.5,GO:0005524,0.9932,15,ATP binding
B9J08_000434,0.5,GO:0005471,0.9463,20,ATP:ADP antiporter activity
B9J08_000435,0.5,GO:0000166,0.9915,7,nucleotide binding
B9J08_000435,0.5,GO:0005524,0.99,11,ATP binding
B9J08_000435,0.5,GO:0016020,0.9829,17,membrane
B9J08_000436,0.5,GO:0005886,0.7503,9,plasma membrane
B9J08_000436,0.5,GO:0016020,0.7284,10,membrane
B9J08_000442,0.5,GO:0005524,0.9831,17,ATP binding
B9J08_000442,0.5,GO:0000166,0.9829,18,nucleotide binding
B9J08_000443,0.5,GO:0005935,0.5363,17,cellular bud neck
B9J08_000444,0.5,GO:0008525,0.9498,13,phosphatidylcholine transporter activity
B9J08_000444,0.5,GO:0048194,0.9366,18,Golgi vesicle budding
B9J08_000447,0.5,GO:0003676,0.9164,10,nucleic acid binding
B9J08_000447,0.5,GO:0003677,0.8237,13,DNA binding
B9J08_000449,0.5,GO:0006865,0.8277,13,amino acid transport
B9J08_000449,0.5,GO:0015171,0.6776,20,amino acid transmembrane transporter activity
B9J08_000450,0.5,GO:0022857,0.6345,12,transmembrane transporter activity
B9J08_000450,0.5,GO:0055085,0.5364,15,transmembrane transport
B9J08_000451,0.5,GO:0008270,0.9645,3,zinc ion binding
B9J08_000452,0.5,GO:0008608,0.5927,9,attachment of spindle microtubules to kinetochore
B9J08_000452,0.5,GO:0042729,0.5368,13,DASH complex
B9J08_000458,0.5,GO:0005524,0.9915,16,ATP binding
B9J08_000460,0.5,GO:0003824,0.9648,12,catalytic activity
B9J08_000460,0.5,GO:0030170,0.9512,19,pyridoxal phosphate binding
B9J08_000462,0.5,GO:0016787,0.9946,1,hydrolase activity
B9J08_000462,0.5,GO:0004721,0.9318,17,phosphoprotein phosphatase activity
B9J08_000465,0.5,GO:0009073,0.9824,19,aromatic amino acid family biosynthetic process
B9J08_000467,0.5,GO:0003676,0.9629,4,nucleic acid binding
B9J08_000467,0.5,GO:0003677,0.9135,11,DNA binding
B9J08_000476,0.5,GO:0005524,0.9773,10,ATP binding
B9J08_000479,0.5,GO:0000166,0.9917,5,nucleotide binding
B9J08_000479,0.5,GO:0005524,0.991,9,ATP binding
B9J08_000480,0.5,GO:0000166,0.9965,6,nucleotide binding
B9J08_000480,0.5,GO:0005524,0.9958,10,ATP binding
B9J08_000482,0.5,GO:0008324,0.804,12,cation transmembrane transporter activity
B9J08_000482,0.5,GO:0055085,0.6463,18,transmembrane transport
B9J08_000483,0.5,GO:0005524,0.994,6,ATP binding
B9J08_000484,0.5,GO:0006546,0.991,7,glycine catabolic process
B9J08_000485,0.5,GO:0016192,0.8754,12,vesicle-mediated transport
B9J08_000485,0.5,GO:0016020,0.8245,16,membrane
B9J08_000485,0.5,GO:0031201,0.8223,17,SNARE complex
B9J08_000485,0.5,GO:0005484,0.7987,19,SNAP receptor activity
B9J08_000485,0.5,GO:0006906,0.7931,20,vesicle fusion
B9J08_000487,0.5,GO:0016491,0.5269,11,oxidoreductase activity
B9J08_000488,0.5,GO:0016817,0.9977,4,"hydrolase activity, acting on acid anhydrides"
B9J08_000488,0.5,GO:0005524,0.9973,10,ATP binding
B9J08_000489,0.5,GO:0005634,0.5376,9,nucleus
B9J08_000490,0.5,GO:0005634,0.5398,8,nucleus
B9J08_000491,0.5,GO:0016491,0.515,14,oxidoreductase activity
B9J08_000494,0.5,GO:0022857,0.8127,8,transmembrane transporter activity
B9J08_000494,0.5,GO:0016020,0.6357,11,membrane
B9J08_000494,0.5,GO:0005886,0.5083,20,plasma membrane
B9J08_000498,0.5,GO:0005737,0.823,14,cytoplasm
B9J08_000498,0.5,GO:0000287,0.7966,15,magnesium ion binding
B9J08_000498,0.5,GO:0004427,0.6744,16,inorganic diphosphatase activity
B9J08_000499,0.5,GO:0003824,0.6708,5,catalytic activity
B9J08_000499,0.5,GO:0003677,0.5788,17,DNA binding
B9J08_000501,0.5,GO:0005886,0.8817,5,plasma membrane
B9J08_000501,0.5,GO:0016020,0.7942,8,membrane
B9J08_000503,0.5,GO:0022857,0.8591,8,transmembrane transporter activity
B9J08_000503,0.5,GO:0016020,0.6944,14,membrane
B9J08_000503,0.5,GO:0005886,0.6597,15,plasma membrane
B9J08_000507,0.5,GO:0016491,0.9864,11,oxidoreductase activity
B9J08_000507,0.5,GO:0006099,0.9617,17,tricarboxylic acid cycle
B9J08_000508,0.5,GO:0005524,0.9002,14,ATP binding
B9J08_000509,0.5,GO:0016787,0.5512,15,hydrolase activity
B9J08_000509,0.5,GO:0008081,0.517,17,phosphoric diester hydrolase activity
B9J08_000511,0.5,GO:0102338,0.99,3,3-oxo-lignoceronyl-CoA synthase activity
B9J08_000511,0.5,GO:0102756,0.9885,4,very-long-chain 3-ketoacyl-CoA synthase activity
B9J08_000511,0.5,GO:0102337,0.9826,11,3-oxo-cerotoyl-CoA synthase activity
B9J08_000511,0.5,GO:0102336,0.9813,14,3-oxo-arachidoyl-CoA synthase activity
B9J08_000511,0.5,GO:0006633,0.9676,20,fatty acid biosynthetic process
B9J08_000517,0.5,GO:0006811,0.9976,6,ion transport
B9J08_000520,0.5,GO:0005515,0.5649,11,protein binding
B9J08_000523,0.5,GO:0004222,0.9748,7,metalloendopeptidase activity
B9J08_000524,0.5,GO:0005524,0.9569,20,ATP binding
B9J08_000526,0.5,GO:0005515,0.7841,4,protein binding
B9J08_000528,0.5,GO:0046872,0.7341,8,metal ion binding
B9J08_000528,0.5,GO:0004784,0.6511,17,superoxide dismutase activity
B9J08_000528,0.5,GO:0005759,0.6317,18,mitochondrial matrix
B9J08_000529,0.5,GO:0035091,0.7159,16,phosphatidylinositol binding
B9J08_000529,0.5,GO:0032266,0.6297,20,phosphatidylinositol-3-phosphate binding
B9J08_000537,0.5,GO:0005730,0.897,14,nucleolus
B9J08_000537,0.5,GO:0003676,0.8839,15,nucleic acid binding
B9J08_000542,0.5,GO:0005737,0.7528,10,cytoplasm
B9J08_000542,0.5,GO:0004725,0.6698,15,protein tyrosine phosphatase activity
B9J08_000543,0.5,GO:0045454,0.9942,1,cell redox homeostasis
B9J08_000543,0.5,GO:0006662,0.966,7,glycerol ether metabolic process
B9J08_000543,0.5,GO:0015036,0.9247,15,disulfide oxidoreductase activity
B9J08_000543,0.5,GO:0015035,0.8856,19,protein disulfide oxidoreductase activity
B9J08_000545,0.5,GO:0016282,0.9993,1,eukaryotic 43S preinitiation complex
B9J08_000545,0.5,GO:0033290,0.9988,3,eukaryotic 48S preinitiation complex
B9J08_000545,0.5,GO:0001732,0.9988,4,formation of cytoplasmic translation initiation complex
B9J08_000545,0.5,GO:0003743,0.9979,8,translation initiation factor activity
B9J08_000548,0.5,GO:0015693,0.932,3,magnesium ion transport
B9J08_000548,0.5,GO:0015095,0.8863,6,magnesium ion transmembrane transporter activity
B9J08_000548,0.5,GO:0006811,0.7649,20,ion transport
B9J08_000549,0.5,GO:0005524,0.9857,11,ATP binding
B9J08_000552,0.5,GO:0005524,0.9926,9,ATP binding
B9J08_000553,0.5,GO:0003735,0.611,20,structural constituent of ribosome
B9J08_000555,0.5,GO:0046872,0.83,19,metal ion binding
B9J08_000556,0.5,GO:0016020,0.746,12,membrane
B9J08_000556,0.5,GO:0000139,0.582,18,Golgi membrane
B9J08_000558,0.5,GO:0022857,0.5087,14,transmembrane transporter activity
B9J08_000559,0.5,GO:0046294,0.8552,13,formaldehyde catabolic process
B9J08_000560,0.5,GO:0005634,0.6184,12,nucleus
B9J08_000561,0.5,GO:0003779,0.9469,11,actin binding
B9J08_000561,0.5,GO:0030479,0.9293,13,actin cortical patch
B9J08_000561,0.5,GO:0006897,0.8904,19,endocytosis
B9J08_000565,0.5,GO:0003735,0.6781,15,structural constituent of ribosome
B9J08_000573,0.5,GO:0000166,0.9861,4,nucleotide binding
B9J08_000573,0.5,GO:0005524,0.9738,14,ATP binding
B9J08_000575,0.5,GO:0003676,0.616,6,nucleic acid binding
B9J08_000576,0.5,GO:0006629,0.9968,8,lipid metabolic process
B9J08_000576,0.5,GO:0016042,0.9963,9,lipid catabolic process
B9J08_000577,0.5,GO:0003824,0.7671,4,catalytic activity
B9J08_000581,0.5,GO:0050660,0.6263,13,flavin adenine dinucleotide binding
B9J08_000582,0.5,GO:0022857,0.8991,6,transmembrane transporter activity
B9J08_000582,0.5,GO:0016020,0.6415,14,membrane
B9J08_000584,0.5,GO:0005515,0.803,13,protein binding
B9J08_000587,0.5,GO:0003779,0.8883,4,actin binding
B9J08_000587,0.5,GO:0042989,0.8562,6,sequestering of actin monomers
B9J08_000587,0.5,GO:0003785,0.8189,8,actin monomer binding
B9J08_000590,0.5,GO:0046872,0.97,2,metal ion binding
B9J08_000590,0.5,GO:0008270,0.7417,13,zinc ion binding
B9J08_000591,0.5,GO:0005886,0.7461,10,plasma membrane
B9J08_000591,0.5,GO:0016020,0.6884,12,membrane
B9J08_000592,0.5,GO:0008270,0.9726,10,zinc ion binding
B9J08_000594,0.5,GO:0005515,0.5866,15,protein binding
B9J08_000596,0.5,GO:0005524,0.9612,15,ATP binding
B9J08_000598,0.5,GO:0005737,0.6325,19,cytoplasm
B9J08_000602,0.5,GO:0004301,0.9533,11,epoxide hydrolase activity
B9J08_000602,0.5,GO:0008270,0.9307,15,zinc ion binding
B9J08_000602,0.5,GO:0005737,0.8886,19,cytoplasm
B9J08_000607,0.5,GO:0022857,0.7619,13,transmembrane transporter activity
B9J08_000607,0.5,GO:0055085,0.5449,18,transmembrane transport
B9J08_000611,0.5,GO:0016579,0.9346,16,protein deubiquitination
B9J08_000614,0.5,GO:0005886,0.9168,5,plasma membrane
B9J08_000614,0.5,GO:0031505,0.7221,16,fungal-type cell wall organization
B9J08_000614,0.5,GO:0031225,0.7036,17,anchored component of membrane
B9J08_000614,0.5,GO:0009277,0.6943,18,fungal-type cell wall
B9J08_000616,0.5,GO:0016192,0.8017,15,vesicle-mediated transport
B9J08_000625,0.5,GO:0006099,0.9027,18,tricarboxylic acid cycle
B9J08_000627,0.5,GO:0019706,0.9999,4,protein-cysteine S-palmitoyltransferase activity
B9J08_000631,0.5,GO:0005737,0.5603,8,cytoplasm
B9J08_000633,0.5,GO:0006457,0.7306,8,protein folding
B9J08_000636,0.5,GO:0046872,0.9654,11,metal ion binding
B9J08_000640,0.5,GO:0016491,0.5315,12,oxidoreductase activity
B9J08_000643,0.5,GO:0005524,0.9948,5,ATP binding
